Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties
Andy Dalton,#14,QB,3.0,81,67.0,0.0,2.0,12.0,81.1,79.1,-,64.2,60.0,0 (0)
Chuba Hubbard,#30,HB,17.0,679,312.0,110.0,240.0,17.0,77.2,62.1,61.6,79.4,45.0,0 (0)
Taylor Moton,#72,T,17.0,"1,148",0.0,730.0,0.0,418.0,74.6,-,78.1,-,65.6,4 (0)
Adam Thielen,#19,WR,17.0,"1,045",678.0,5.0,0.0,362.0,72.7,75.3,46.5,-,42.9,5 (0)
Ikem Ekwonu,#79,T,17.0,"1,148",0.0,730.0,0.0,418.0,67.4,-,62.3,-,77.0,12 (2)
Laviska Shenault Jr.,#05,WR,8.0,93,52.0,0.0,11.0,30.0,67.4,66.6,-,64.8,61.2,0 (0)
Raheem Blackshear,#03,HB,11.0,50,31.0,2.0,16.0,1.0,63.7,53.9,44.4,68.8,60.0,0 (0)
Ihmir Smith-Marsette,#11,WR,13.0,123,60.0,0.0,8.0,55.0,63.6,63.7,-,69.8,69.4,3 (0)
Bradley Bozeman,#56,C,17.0,"1,148",0.0,730.0,0.0,418.0,62.2,60.0,48.9,-,67.5,5 (0)
Johnny Hekker,#10,P,2.0,2,1.0,0.0,1.0,0.0,61.0,60.3,-,60.0,-,0 (0)
Stephen Sullivan,#84,TE,11.0,171,133.0,3.0,0.0,35.0,60.9,61.4,73.7,-,49.8,0 (0)
Miles Sanders,#06,HB,16.0,406,227.0,38.0,133.0,8.0,60.8,68.0,23.3,60.4,63.9,0 (0)
Alex Cook,#27,S,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Chandler Wooten,#57,LB,1.0,1,0.0,1.0,0.0,0.0,60.0,-,62.7,-,-,0 (0)
Claudin Cherelus,#53,LB,1.0,1,0.0,1.0,0.0,0.0,60.0,-,62.7,-,-,0 (0)
DJ Chark Jr.,#17,WR,15.0,771,521.0,0.0,0.0,250.0,60.0,60.0,-,-,49.5,0 (0)
Sam Franklin Jr.,#42,S,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Jeremy Chinn,#21,S,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Tae Davis,#33,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
David Sharpe,#74,T,1.0,1,0.0,1.0,0.0,0.0,60.0,-,68.5,-,-,0 (0)
Kamu Grugier-Hill,#54,LB,2.0,2,0.0,1.0,0.0,1.0,60.0,-,62.7,-,60.0,0 (0)
JJ Jansen,#44,LS,2.0,2,0.0,1.0,0.0,1.0,60.0,-,61.5,-,60.0,0 (0)
Amare Barno,#90,ED,2.0,2,1.0,0.0,0.0,1.0,59.0,58.2,-,-,60.0,0 (0)
Matthias Farley,#41,S,1.0,1,1.0,0.0,0.0,0.0,58.9,56.8,-,-,-,0 (0)
Dicaprio Bootle,#32,CB,1.0,1,1.0,0.0,0.0,0.0,58.5,58.2,-,-,-,0 (0)
Cade Mays,#68,G,10.0,434,0.0,267.0,0.0,167.0,58.3,-,43.0,-,71.2,4 (0)
Gabe Jackson,#69,G,4.0,194,0.0,110.0,0.0,84.0,58.1,-,48.9,-,63.1,1 (0)
Ian Thomas,#80,TE,12.0,218,82.0,16.0,0.0,120.0,56.9,55.2,32.7,-,62.1,2 (0)
Brady Christensen,#70,G,1.0,77,0.0,46.0,0.0,31.0,56.7,-,51.4,-,57.5,0 (0)
Bryce Young,#09,QB,16.0,"1,067",663.0,0.0,8.0,396.0,56.4,53.0,-,78.1,60.0,6 (1)
Tommy Tremble,#82,TE,16.0,556,264.0,22.0,0.0,270.0,55.6,62.0,62.0,-,45.5,3 (0)
Terrace Marshall Jr.,#88,WR,9.0,334,229.0,0.0,0.0,105.0,54.8,56.6,-,-,40.0,1 (0)
Jonathan Mingo,#15,WR,15.0,908,572.0,6.0,0.0,330.0,54.7,52.6,76.4,-,70.6,2 (0)
Mike Strachan,#86,WR,4.0,54,32.0,0.0,0.0,22.0,54.6,55.7,-,-,45.6,0 (0)
Giovanni Ricci,#45,TE,3.0,12,5.0,1.0,0.0,6.0,50.9,58.2,70.2,-,40.9,0 (0)
Calvin Throckmorton,#72,G,8.0,508,0.0,357.0,0.0,151.0,50.6,-,55.7,-,44.2,1 (0)
Austin Corbett,#63,G,4.0,257,0.0,176.0,0.0,81.0,47.9,-,44.5,-,51.0,1 (0)
J.D. DiRenzo,#65,G,3.0,6,0.0,1.0,0.0,5.0,46.2,-,8.1,-,57.4,0 (0)
Hayden Hurst,#81,TE,9.0,318,244.0,5.0,0.0,69.0,44.7,53.1,78.7,-,28.3,2 (0)
Brett Toth,#64,G,1.0,74,0.0,44.0,0.0,30.0,44.1,-,32.3,-,49.0,1 (0)
Justin McCray,#67,G,3.0,77,0.0,41.0,0.0,36.0,41.0,-,39.5,-,49.2,2 (0)
Nash Jensen,#66,G,7.0,302,0.0,171.0,0.0,131.0,34.7,-,33.7,-,38.6,1 (0)
Chandler Zavala,#62,G,7.0,374,0.0,249.0,0.0,125.0,26.2,-,7.1,-,41.5,3 (0)
