Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties,Team
Andy Dalton,#14,QB,3.0,81,67.0,0.0,2.0,12.0,81.1,79.1,-,64.2,60.0,0 (0),carolina-panthers
Adam Thielen,#19,WR,17.0,"1,045",678.0,5.0,0.0,362.0,72.7,75.3,46.5,-,42.9,5 (0),carolina-panthers
Justin McCray,#67,G,3.0,77,0.0,41.0,0.0,36.0,41.0,-,39.5,-,49.2,2 (0),carolina-panthers
Gabe Jackson,#69,G,4.0,194,0.0,110.0,0.0,84.0,58.1,-,48.9,-,63.1,1 (0),carolina-panthers
Taylor Moton,#72,T,17.0,"1,148",0.0,730.0,0.0,418.0,74.6,-,78.1,-,65.6,4 (0),carolina-panthers
David Sharpe,#74,T,1.0,1,0.0,1.0,0.0,0.0,60.0,-,68.5,-,-,0 (0),carolina-panthers
Mike Boone,#22,HB,9.0,102,79.0,13.0,5.0,5.0,41.5,51.3,14.5,40.2,41.8,0 (0),houston-texans
Austin Corbett,#63,G,4.0,257,0.0,176.0,0.0,81.0,47.9,-,44.5,-,51.0,1 (0),carolina-panthers
Bradley Bozeman,#56,C,17.0,"1,148",0.0,730.0,0.0,418.0,62.2,60.0,48.9,-,67.5,5 (0),carolina-panthers
Ian Thomas,#80,TE,12.0,218,82.0,16.0,0.0,120.0,56.9,55.2,32.7,-,62.1,2 (0),carolina-panthers
Hayden Hurst,#81,TE,9.0,318,244.0,5.0,0.0,69.0,44.7,53.1,78.7,-,28.3,2 (0),carolina-panthers
Miles Sanders,#06,HB,16.0,406,227.0,38.0,133.0,8.0,60.8,68.0,23.3,60.4,63.9,0 (0),carolina-panthers
Giovanni Ricci,#45,TE,3.0,12,5.0,1.0,0.0,6.0,50.9,58.2,70.2,-,40.9,0 (0),carolina-panthers
Stephen Sullivan,#84,TE,11.0,171,133.0,3.0,0.0,35.0,60.9,61.4,73.7,-,49.8,0 (0),carolina-panthers
Mike Strachan,#86,WR,4.0,54,32.0,0.0,0.0,22.0,54.6,55.7,-,-,45.6,0 (0),carolina-panthers
Chuba Hubbard,#30,HB,17.0,679,312.0,110.0,240.0,17.0,77.2,62.1,61.6,79.4,45.0,0 (0),carolina-panthers
Ihmir Smith-Marsette,#11,WR,13.0,123,60.0,0.0,8.0,55.0,63.6,63.7,-,69.8,69.4,3 (0),carolina-panthers
Brady Christensen,#70,G,1.0,77,0.0,46.0,0.0,31.0,56.7,-,51.4,-,57.5,0 (0),carolina-panthers
Tommy Tremble,#82,TE,16.0,556,264.0,22.0,0.0,270.0,55.6,62.0,62.0,-,45.5,3 (0),carolina-panthers
Ikem Ekwonu,#79,T,17.0,"1,148",0.0,730.0,0.0,418.0,67.4,-,62.3,-,77.0,12 (2),carolina-panthers
Cade Mays,#68,G,10.0,434,0.0,267.0,0.0,167.0,58.3,-,43.0,-,71.2,4 (0),carolina-panthers
Raheem Blackshear,#03,HB,11.0,50,31.0,2.0,16.0,1.0,63.7,53.9,44.4,68.8,60.0,0 (0),carolina-panthers
Chandler Zavala,#62,G,7.0,374,0.0,249.0,0.0,125.0,26.2,-,7.1,-,41.5,3 (0),carolina-panthers
J.D. DiRenzo,#65,G,3.0,6,0.0,1.0,0.0,5.0,46.2,-,8.1,-,57.4,0 (0),carolina-panthers
Nash Jensen,#66,G,7.0,302,0.0,171.0,0.0,131.0,34.7,-,33.7,-,38.6,1 (0),carolina-panthers
Jonathan Mingo,#15,WR,15.0,908,572.0,6.0,0.0,330.0,54.7,52.6,76.4,-,70.6,2 (0),carolina-panthers
Bryce Young,#09,QB,16.0,"1,067",663.0,0.0,8.0,396.0,56.4,53.0,-,78.1,60.0,6 (1),carolina-panthers
