season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2023,CAR,LS,LS,44.0,ACT,J.J. Jansen,Jeffrey,Jansen,1986-01-20,74.0,235,Notre Dame,00-0026027,,,,,,,,,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tjayadghvr8xmlsw0nn4",,18,REG,A01,J.J.,JAN681650,33557,32004a41-4e68-1650-bdb2-b3ecc68bb736,2008,2008.0,,
2023,CAR,QB,QB,14.0,ACT,Andy Dalton,Andrew,Dalton,1987-10-29,74.0,220,Texas Christian,00-0027973,14012.0,d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1,24822.0,7355.0,6187.0,DaltAn00,12841.0,829.0,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xrwmjyexhhwpoxhtrhl2",,18,REG,A01,Andy,DAL659900,37110,32004441-4c65-9900-551d-a31a0423b3ca,2011,2011.0,CIN,35.0
2023,CAR,P,P,10.0,ACT,Johnny Hekker,John,Hekker,1990-02-08,77.0,241,Oregon State,00-0028872,15153.0,380435a9-1833-4381-a12b-498a43732798,26350.0,8381.0,7252.0,,14409.0,1202.0,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rh1qt7cwusun5o56bwyh",,18,REG,A01,Johnny,HEK403291,38815,32004845-4b40-3291-c2a9-69e708d367a1,2012,2012.0,,
2023,CAR,WR,WR,19.0,ACT,Adam Thielen,Adam,Thielen,1990-08-22,74.0,200,Minn. State-Mankato,00-0030035,16460.0,2fa2b2da-4aa9-44b5-b27e-56876dfe2ad4,27277.0,8986.0,8288.0,ThieAd00,15534.0,1689.0,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kmldtl8p9h7h5dzvkwsw",SLOT_WR,18,REG,A01,Adam,THI510348,40488,32005448-4951-0348-440c-28f32f21652b,2013,2013.0,,
2023,CAR,OL,C,67.0,RES,Justin McCray,Justin,McCray,1992-05-31,75.0,317,Central Florida,00-0030792,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tihyxej2wcfcbnjwqrks",,18,REG,R01,Justin,MCC669589,41630,32004d43-4366-9589-e173-a6e82264f371,2014,2014.0,,
2023,CAR,TE,TE,85.0,DEV,Jordan Matthews,Jordan,Matthews,1992-07-16,75.0,215,Vanderbilt,00-0031299,16763.0,7b96a836-666b-47b6-a0a7-9dbb0b4c53e8,27570.0,9273.0,8677.0,MattJo00,15974.0,1800.0,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lzmaxofoalitaiiuchm7",,18,REG,P07,Jordan,MAT569663,41271,32004d41-5456-9663-2598-657f4f0af257,2014,2014.0,PHI,42.0
2023,CAR,OL,G,69.0,ACT,Gabe Jackson,Gabriel,Jackson,1991-07-12,75.0,336,Mississippi State,00-0031367,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ayii0hagj1u5f1kzuxqy",G,18,REG,A01,Gabe,JAC178303,41310,32004a41-4317-8303-e9e6-8ce1a32211aa,2014,2014.0,OAK,81.0
2023,CAR,LB,ILB,7.0,RES,Shaq Thompson,Sha'Quille,Thompson,1994-04-21,72.0,230,Washington,00-0031550,2978313.0,3bf0711c-793a-47e7-bcbd-a0ddf350fef4,28413.0,10034.0,9458.0,ThomSh01,16786.0,2330.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wiokwxurjbmenmtrtrjo",,18,REG,R01,Shaq,GRE573058,42368,32004752-4557-3058-1e14-49205886a081,2015,2015.0,CAR,25.0
2023,CAR,DB,CB,13.0,ACT,Troy Hill,Troy,Hill,1991-08-29,70.0,184,Oregon,00-0031785,2525933.0,5b9acfe7-f166-4a55-85f6-a654799b08dd,28972.0,10423.0,9881.0,,17294.0,2826.0,8,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/karwwsiwtjpu0hsc9ost",SLOT_CB,18,REG,A01,Troy,HIL626234,42816,32004849-4c62-6234-c338-b96f6c77b845,2015,2015.0,,
2023,CAR,DL,DE,96.0,ACT,DeShawn Williams,DeShawn,Williams,1992-12-29,73.0,292,Clemson,00-0031795,2576508.0,9492f51a-22eb-465f-b3bb-aaee81ce76f5,28982.0,10793.0,9891.0,WillDe04,17295.0,2827.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bapcfixbhpeqj6t3z1e9",INTERIOR_LINE,18,REG,A01,DeShawn,WIL234247,42826,32005749-4c23-4247-e489-2dc2c1c8cc57,2015,2015.0,,
2023,CAR,DL,DE,94.0,RES,Henry Anderson,Henry,Anderson,1991-08-03,78.0,301,Stanford,00-0032269,2517752.0,2d3a6c81-183f-431b-9b3f-d7f1ce2b294b,28481.0,10324.0,9526.0,AndeHe00,16854.0,2398.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/whijicwi8dymk1zhlafi",,18,REG,R01,Henry,AND287484,42436,3200414e-4428-7484-fe5c-ce7b869feb75,2015,2015.0,IND,93.0
2023,CAR,LB,ILB,40.0,ACT,Deion Jones,Deion,Jones,1994-11-04,73.0,227,Louisiana State,00-0032388,2976545.0,a2a587d3-2971-41f5-a5d4-828d9cf1494e,29285.0,11080.0,10686.0,JoneDe01,17983.0,3222.0,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kzuoyquvgd79hv0bv254",OLB,18,REG,A01,Deion,JON233279,43341,32004a4f-4e23-3279-5d90-96adf149a483,2016,2016.0,ATL,52.0
2023,CAR,LB,ILB,54.0,ACT,Kamu Grugier-Hill,Caelan Kamuela,Grugier-Hill,1994-05-16,74.0,230,Eastern Illinois,00-0032437,3050851.0,bcbbd7af-5a61-41f2-bae6-1e034755e7ef,29442.0,11233.0,10842.0,GrugKa00,18124.0,3363.0,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xwbgovhlzpkahi8bxbkr",MLB,18,REG,A01,Kamu,GRU516162,43497,32004752-5551-6162-3876-4426f79b63c8,2016,2016.0,NE,208.0
