Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,CoverageSnaps,CoverageSnapsPercentage,CoverageGrade,CoveragePenalties,CoverageTargets,CoverageReceptionsAllowed,CoverageReceptionPercentage,CoverageYardsAllowed,CoverageYardsPerReceptionAllowed,CoverageYardsAfterCatchAllowed,CoverageAverageDepthOfTarget,CoverageLongestReceptionAllowed,CoverageForcedIncompletions,CoverageForcedIncompletionPercentage,CoveragePassBreakups,CoverageInterceptions,CoverageDrops,CoverageTouchdownsAllowed,CoveragePasserRatingAllowed,CoverageSnapsPerTarget,CoverageSnapsPerReceptionAllowed,CoverageTackles,CoverageAssists,CoverageMissedTackles,CoverageMissedTacklePercentage,CoverageStops
Jaylon Johnson,#33,CB,14.0,530.0,530.0,100.0,90.4,6 (1),50.0,25.0,50.0,195.0,7.8,115.0,8.7,36.0,9.0,18.0,6.0,4.0,3.0,1.0,33.3,10.1,20.2,25.0,0.0,5.0,16.7,13.0
Noah Sewell,#44,LB,3.0,4.0,4.0,100.0,78.8,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0
T.J. Edwards,#53,LB,17.0,686.0,609.0,88.8,75.4,0 (0),91.0,69.0,75.8,666.0,9.7,530.0,2.9,39.0,4.0,4.0,4.0,3.0,2.0,2.0,89.4,6.4,8.5,62.0,17.0,10.0,11.2,26.0
Zacch Pickens,#96,DI,17.0,149.0,1.0,0.7,74.7,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,1.0,33.3,2.0
Andrew Billings,#97,DI,17.0,267.0,2.0,0.7,73.8,3 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,50.0,1.0
Kyler Gordon,#06,CB,13.0,467.0,427.0,91.4,68.2,3 (0),60.0,43.0,71.7,393.0,9.1,194.0,7.7,28.0,4.0,7.0,3.0,2.0,0.0,2.0,86.3,6.7,9.4,36.0,8.0,5.0,10.2,17.0
Greg Stroman Jr.,#27,CB,5.0,115.0,102.0,88.7,67.6,1 (0),18.0,15.0,83.3,143.0,9.5,67.0,7.6,15.0,1.0,6.0,1.0,1.0,0.0,0.0,76.6,5.4,6.5,13.0,3.0,2.0,11.1,7.0
Joejuan Williams,#30,CB,1.0,8.0,8.0,100.0,67.4,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0
Rasheem Green,#94,ED,17.0,230.0,5.0,2.2,66.0,1 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,2.0
Terell Smith,#32,CB,11.0,262.0,262.0,100.0,65.4,1 (0),43.0,25.0,58.1,239.0,9.6,44.0,11.2,37.0,6.0,14.0,4.0,0.0,0.0,1.0,81.4,5.8,10.0,29.0,3.0,3.0,8.6,8.0
Jack Sanborn,#57,LB,17.0,213.0,192.0,90.1,63.8,1 (0),29.0,26.0,89.7,263.0,10.1,194.0,3.0,51.0,1.0,3.0,1.0,1.0,1.0,0.0,90.1,6.3,7.0,20.0,5.0,4.0,13.8,12.0
Khalid Kareem,#52,ED,1.0,22.0,1.0,4.5,63.1,0 (0),1.0,0.0,0.0,0.0,,0.0,7.0,,1.0,100.0,1.0,0.0,0.0,0.0,39.6,1.0,,1.0,0.0,0.0,0.0,0.0
Dominique Robinson,#90,ED,11.0,165.0,10.0,6.1,62.9,2 (0),1.0,1.0,100.0,5.0,5.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,10.0,10.0,1.0,1.0,1.0,33.3,1.0
Justin Jones,#93,DI,17.0,500.0,13.0,2.6,62.8,2 (0),2.0,2.0,100.0,34.0,17.0,25.0,4.5,34.0,0.0,0.0,0.0,0.0,1.0,0.0,118.8,6.0,6.0,5.0,5.0,4.0,28.6,6.0
Jaquan Brisker,#09,S,15.0,596.0,572.0,96.0,62.4,3 (0),47.0,31.0,66.0,290.0,9.4,100.0,8.7,45.0,6.0,13.0,5.0,1.0,2.0,3.0,95.2,11.7,17.7,44.0,8.0,2.0,3.7,16.0
A.J. Thomas,#38,S,1.0,6.0,6.0,100.0,61.8,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
Jaylon Jones,#31,CB,10.0,99.0,96.0,97.0,61.0,2 (0),15.0,11.0,73.3,90.0,8.2,26.0,5.9,17.0,0.0,0.0,0.0,0.0,0.0,0.0,88.2,6.0,8.2,8.0,3.0,1.0,8.3,2.0
Dylan Cole,#55,LB,1.0,1.0,1.0,100.0,60.5,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
Duron Harmon,#30,S,2.0,55.0,54.0,98.2,60.1,0 (0),2.0,1.0,50.0,6.0,6.0,4.0,1.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,56.3,25.0,50.0,5.0,0.0,0.0,0.0,1.0
Eddie Jackson,#04,S,12.0,419.0,417.0,99.5,60.0,2 (1),18.0,12.0,66.7,203.0,16.9,43.0,19.1,57.0,4.0,22.0,3.0,1.0,0.0,3.0,121.1,22.3,33.4,20.0,2.0,3.0,12.0,4.0
Tyrique Stevenson,#29,CB,16.0,553.0,553.0,100.0,59.1,7 (2),110.0,72.0,65.5,836.0,11.6,343.0,9.9,70.0,14.0,13.0,13.0,4.0,1.0,9.0,100.4,4.8,7.4,52.0,6.0,6.0,9.4,15.0
Tremaine Edmunds,#49,LB,15.0,589.0,546.0,92.7,58.3,2 (2),70.0,58.0,82.9,611.0,10.5,391.0,4.8,75.0,2.0,3.0,2.0,4.0,1.0,5.0,103.0,7.5,9.0,45.0,20.0,7.0,9.7,14.0
Quindell Johnson,#26,S,3.0,23.0,23.0,100.0,56.6,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,1.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Gervon Dexter Sr.,#99,DI,17.0,299.0,2.0,0.7,55.2,1 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,4.0,0.0,4.0,50.0,7.0
Yannick Ngakoue,#91,ED,13.0,426.0,18.0,4.2,52.6,2 (0),1.0,0.0,0.0,0.0,,0.0,15.0,,0.0,0.0,0.0,0.0,0.0,0.0,39.6,18.0,,1.0,1.0,3.0,60.0,4.0
DeMarcus Walker,#95,ED,17.0,485.0,10.0,2.1,52.3,2 (0),3.0,3.0,100.0,18.0,6.0,19.0,-0.3,16.0,0.0,0.0,0.0,0.0,0.0,1.0,131.3,3.3,3.3,2.0,2.0,5.0,55.6,5.0
Montez Sweat,#98,ED,9.0,283.0,4.0,1.4,52.0,0 (0),1.0,1.0,100.0,14.0,14.0,19.0,-5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,118.8,4.0,4.0,3.0,0.0,0.0,0.0,7.0
Elijah Hicks,#22,S,12.0,324.0,322.0,99.4,40.2,0 (0),14.0,11.0,78.6,160.0,14.5,51.0,11.4,48.0,1.0,7.0,1.0,0.0,0.0,4.0,153.9,21.8,27.7,9.0,5.0,6.0,30.0,2.0
Josh Blackwell,#39,CB,3.0,12.0,11.0,91.7,24.8,0 (0),4.0,4.0,100.0,79.0,19.8,39.0,10.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,118.8,2.8,2.8,1.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
