OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Rank,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Player,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_JerseyNumber,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Position,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_GamesPlayed,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnaps.1,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingGrade,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPenalties,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedSacks,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedHits,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedHurries,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotal,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedEfficiency,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnaps.1,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetGrade,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedSacks,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedHits,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedHurries,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotal,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedEfficiency
1.0,Tyler Scott,#13,WR,17.0,271.0,8.0,3.0,80.6,0 (0),8.0,3.0,0.0,0.0,0.0,0.0,100.0,150.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
2.0,Darrynton Evans,#25,HB,5.0,45.0,9.0,20.0,73.9,0 (0),9.0,20.5,0.0,0.0,1.0,1.0,94.4,21.0,3.0,14.3,80.3,3.0,15.0,0.0,0.0,0.0,0.0,100.0
3.0,Equanimeous St. Brown,#19,WR,7.0,118.0,2.0,1.7,72.0,0 (0),2.0,1.8,0.0,0.0,0.0,0.0,100.0,62.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
4.0,Braxton Jones,#70,T,11.0,421.0,421.0,100.0,70.8,3 (1),401.0,100.0,2.0,2.0,28.0,32.0,95.8,203.0,203.0,100.0,60.7,193.0,100.0,2.0,2.0,22.0,26.0,92.7
5.0,Teven Jenkins,#76,G,12.0,397.0,397.0,100.0,68.6,1 (0),378.0,100.0,3.0,3.0,11.0,17.0,97.4,187.0,187.0,100.0,63.7,177.0,100.0,3.0,2.0,8.0,13.0,95.5
6.0,Marcedes Lewis,#84,TE,16.0,106.0,64.0,60.4,68.4,1 (0),61.0,61.0,0.0,0.0,1.0,1.0,99.2,14.0,4.0,28.6,74.4,4.0,28.6,0.0,0.0,0.0,0.0,100.0
7.0,Ja'Tyre Carter,#69,G,4.0,100.0,100.0,100.0,67.2,0 (0),98.0,100.0,1.0,0.0,4.0,5.0,96.9,45.0,45.0,100.0,53.4,44.0,100.0,1.0,0.0,3.0,4.0,94.3
8.0,Roschon Johnson,#23,HB,15.0,270.0,68.0,25.2,64.8,1 (1),65.0,25.5,2.0,0.0,4.0,6.0,93.8,163.0,36.0,22.1,68.5,34.0,21.9,1.0,0.0,2.0,3.0,94.1
9.0,Cole Kmet,#85,TE,17.0,508.0,65.0,12.8,64.3,0 (0),61.0,12.6,0.0,0.0,1.0,1.0,99.2,239.0,15.0,6.3,75.9,15.0,6.6,0.0,0.0,0.0,0.0,100.0
10.0,Trent Taylor,#15,WR,13.0,65.0,1.0,1.5,62.4,0 (0),1.0,1.6,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
11.0,Chase Claypool,#10,WR,3.0,94.0,1.0,1.1,61.6,1 (0),1.0,1.1,0.0,0.0,0.0,0.0,100.0,45.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
12.0,Darnell Wright,#58,T,17.0,646.0,646.0,100.0,61.4,4 (1),618.0,100.0,7.0,3.0,41.0,51.0,95.3,303.0,303.0,100.0,62.9,291.0,100.0,3.0,0.0,29.0,32.0,94.0
13.0,Robert Tonyan,#18,TE,17.0,183.0,8.0,4.4,59.7,1 (0),8.0,4.7,0.0,0.0,1.0,1.0,93.7,91.0,1.0,1.1,65.8,1.0,1.1,0.0,0.0,0.0,0.0,100.0
14.0,Khari Blasingame,#35,FB,16.0,78.0,31.0,39.7,57.0,0 (0),30.0,40.5,2.0,0.0,0.0,2.0,93.3,26.0,3.0,11.5,29.3,3.0,12.5,0.0,0.0,0.0,0.0,100.0
15.0,Cody Whitehair,#65,G,14.0,454.0,454.0,100.0,55.0,0 (0),438.0,100.0,3.0,4.0,15.0,22.0,97.1,211.0,211.0,100.0,53.2,205.0,100.0,2.0,3.0,12.0,17.0,95.4
16.0,Khalil Herbert,#24,HB,12.0,183.0,31.0,16.9,53.3,0 (0),29.0,16.6,0.0,0.0,3.0,3.0,94.8,68.0,6.0,8.8,35.0,6.0,9.1,0.0,0.0,2.0,2.0,83.3
17.0,Nate Davis,#64,G,11.0,384.0,384.0,100.0,47.9,5 (5),364.0,100.0,1.0,7.0,21.0,29.0,95.9,180.0,180.0,100.0,26.0,172.0,100.0,0.0,7.0,17.0,24.0,93.0
18.0,Larry Borom,#75,T,8.0,225.0,225.0,100.0,45.2,0 (0),217.0,100.0,3.0,6.0,16.0,25.0,93.5,100.0,100.0,100.0,43.9,98.0,100.0,2.0,2.0,10.0,14.0,91.8
