Player,JerseyNumber,Position,GamesPlayed,ReceivingTargets,ReceivingReceptions,ReceivingReceptionPercentage,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingOverallGrade,ReceivingGrade,ReceivingDrops,ReceivingFumbles,ReceivingPassBlockingGrade,ReceivingPassSnaps,ReceivingRoutesRun,ReceivingTargetPercentage,ReceivingPassBlockingSnaps,ReceivingPassBlockingSnapsPercentage,ReceivingSnapsInTheSlot,ReceivingSnapsInTheSlotPercentage,ReceivingSnapsWide,ReceivingSnapsWidePercentage,ReceivingSnapsInline,ReceivingSnapsInlinePercentage,ReceivingYardsAfterCatch,ReceivingYardsAfterCatchPerReception,ReceivingYardsPerRouteRun,ReceivingAverageDepthOfTarget,ReceivingLongestReception,ReceivingDrops.1,ReceivingDropPercentage,ReceivingContestedTargets,ReceivingContestedCatches,ReceivingContestedCatchPercentage,ReceivingInterceptionsThrownWhenTargeted,ReceivingFumbles.1,ReceivingMissedTacklesForced,ReceivingFirstDowns,ReceivingPasserRatingWhenTargeted,ReceivingPenalties
DJ Moore,#02,WR,17.0,132.0,96.0,72.7,"1,364",14.2,8.0,89.3,89.5,90.5,57.4,-,615.0,591.0,96.1,0.0,0.0,133.0,21.6,480.0,78.0,0.0,0.0,550.0,5.7,2.31,11.9,58.0,2.0,2.0,28.0,15.0,53.6,2.0,1.0,16.0,64.0,119.6,2 (1)
Cole Kmet,#85,TE,17.0,88.0,73.0,83.0,719,9.8,6.0,73.7,77.7,90.4,50.9,64.3,508.0,425.0,83.7,65.0,12.8,242.0,47.6,51.0,10.0,210.0,41.3,294.0,4.0,1.69,7.0,53.0,1.0,1.4,9.0,4.0,44.4,3.0,1.0,7.0,36.0,109.2,3 (0)
Khalil Herbert,#24,HB,12.0,26.0,20.0,76.9,134,6.7,1.0,77.9,67.5,84.1,72.8,53.3,183.0,146.0,79.8,31.0,16.9,11.0,6.0,4.0,2.2,1.0,0.5,134.0,6.7,0.92,1.5,23.0,0.0,0.0,1.0,1.0,100.0,2.0,1.0,6.0,10.0,68.4,0 (0)
Marcedes Lewis,#84,TE,16.0,5.0,4.0,80.0,29,7.3,1.0,77.1,65.3,72.1,67.0,68.4,106.0,39.0,36.8,64.0,60.4,0.0,0.0,0.0,0.0,103.0,97.2,28.0,7.0,0.74,3.0,16.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,130.4,2 (0)
Darrynton Evans,#25,HB,5.0,10.0,7.0,70.0,49,7.0,0.0,69.8,64.6,52.1,80.6,73.9,45.0,35.0,77.8,9.0,20.0,2.0,4.4,2.0,4.4,1.0,2.2,67.0,9.6,1.4,-1.7,17.0,1.0,12.5,1.0,0.0,0.0,0.0,0.0,3.0,2.0,80.8,0 (0)
Collin Johnson,#80,WR,3.0,1.0,1.0,100.0,11,11.0,0.0,66.9,64.0,64.7,61.2,-,15.0,14.0,93.3,0.0,0.0,6.0,40.0,9.0,60.0,0.0,0.0,4.0,4.0,0.79,7.0,11.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,112.5,0 (0)
Roschon Johnson,#23,HB,15.0,42.0,34.0,81.0,209,6.1,0.0,65.8,60.7,71.6,65.9,64.8,270.0,190.0,70.4,68.0,25.2,7.0,2.6,19.0,7.0,7.0,2.6,252.0,7.4,1.1,-1.0,24.0,2.0,5.6,1.0,0.0,0.0,0.0,0.0,10.0,6.0,87.4,1 (1)
Darnell Mooney,#11,WR,15.0,55.0,31.0,56.4,414,13.4,1.0,55.2,58.9,41.0,77.1,39.6,489.0,466.0,95.3,4.0,0.8,320.0,65.4,159.0,32.5,3.0,0.6,185.0,6.0,0.89,11.3,41.0,5.0,13.9,11.0,2.0,18.2,4.0,0.0,4.0,20.0,56.2,1 (1)
D'Onta Foreman,#21,HB,9.0,15.0,11.0,73.3,77,7.0,1.0,74.0,58.3,60.2,67.8,29.5,128.0,96.0,75.0,29.0,22.7,6.0,4.7,7.0,5.5,0.0,0.0,69.0,6.3,0.8,1.4,17.0,1.0,8.3,1.0,0.0,0.0,0.0,0.0,4.0,6.0,106.8,1 (0)
Equanimeous St. Brown,#19,WR,7.0,6.0,5.0,83.3,62,12.4,0.0,55.1,56.3,74.6,68.8,72.0,118.0,111.0,94.1,2.0,1.7,35.0,29.7,81.0,68.6,2.0,1.7,6.0,1.2,0.56,8.8,21.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,109.7,0 (0)
