Player,JerseyNumber,Position,GamesPlayed,RunBlockingTotalSnaps,RunBlockingTotalSnaps.1,RunBlockingTotalSnapsPercentage,RunBlockingGrade,RunBlockingPenalties,RunBlockingTotalSnapsInZoneScheme,RunBlockingTotalSnapsInZoneSchemePercentage,RunBlockingGradeInZoneScheme,RunBlockingTotalSnapsInGapScheme,RunBlockingTotalSnapsInGapSchemePercentage,RunBlockingGradeInGapScheme
Max Scharping,#74,C,2.0,8.0,8.0,100.0,78.2,0 (0),4.0,50.0,64.8,4.0,50.0,76.1
Tanner Hudson,#87,TE,10.0,34.0,34.0,100.0,74.5,0 (0),18.0,52.9,60.8,14.0,41.2,65.6
Alex Cappa,#65,G,17.0,350.0,350.0,100.0,67.3,1 (0),134.0,38.3,64.0,178.0,50.9,62.6
Tee Higgins,#05,WR,12.0,154.0,154.0,100.0,66.8,0 (0),65.0,42.2,61.6,77.0,50.0,62.7
Ted Karras,#64,C,17.0,350.0,350.0,100.0,64.2,0 (0),134.0,38.3,64.5,178.0,50.9,66.4
Cordell Volson,#67,G,17.0,357.0,357.0,100.0,64.0,0 (0),138.0,38.7,73.7,181.0,50.7,45.7
Drew Sample,#89,TE,17.0,217.0,217.0,100.0,61.5,0 (0),72.0,33.2,61.1,117.0,53.9,58.0
Stanley Morgan,#17,WR,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,1.0,100.0,60.0
Chris Evans,#25,HB,2.0,4.0,2.0,50.0,60.0,0 (0),0.0,0.0,-,1.0,50.0,60.0
Kwamie Lassiter II,#18,WR,1.0,3.0,3.0,100.0,60.0,0 (0),3.0,100.0,60.0,0.0,0.0,-
A.J. McCarron,#04,QB,2.0,10.0,10.0,100.0,60.0,0 (0),6.0,60.0,60.0,4.0,40.0,60.0
Jake Browning,#06,QB,9.0,167.0,156.0,93.4,60.0,0 (0),64.0,41.0,60.0,84.0,53.8,60.0
Joe Burrow,#09,QB,10.0,180.0,163.0,90.6,60.0,0 (0),67.0,41.1,60.0,92.0,56.4,60.0
Joe Mixon,#28,HB,17.0,289.0,28.0,9.7,59.9,1 (1),1.0,3.6,60.0,1.0,3.6,60.0
Shedrick Jackson,#12,WR,1.0,2.0,2.0,100.0,59.4,0 (0),1.0,50.0,60.0,1.0,50.0,60.0
Chase Brown,#30,HB,8.0,49.0,5.0,10.2,58.7,0 (0),2.0,40.0,58.6,0.0,0.0,-
Cody Ford,#61,G,12.0,45.0,45.0,100.0,58.1,0 (0),14.0,31.1,65.2,27.0,60.0,54.6
Jackson Carman,#79,T,1.0,7.0,7.0,100.0,57.7,0 (0),4.0,57.1,49.3,3.0,42.9,68.0
Orlando Brown Jr.,#75,T,17.0,344.0,344.0,100.0,57.1,1 (0),133.0,38.7,74.3,174.0,50.6,43.9
Andrei Iosivas,#80,WR,15.0,107.0,107.0,100.0,54.5,1 (1),43.0,40.2,69.3,48.0,44.9,56.4
Jonah Williams,#73,T,17.0,357.0,357.0,100.0,54.0,0 (0),138.0,38.7,53.3,181.0,50.7,58.6
Irv Smith Jr.,#81,TE,12.0,87.0,87.0,100.0,53.8,1 (0),41.0,47.1,54.3,37.0,42.5,56.1
Trayveon Williams,#32,HB,13.0,31.0,16.0,51.6,52.5,0 (0),0.0,0.0,-,1.0,6.3,54.9
Mitchell Wilcox,#84,TE,16.0,139.0,139.0,100.0,45.8,0 (0),49.0,35.3,41.9,68.0,48.9,53.0
Ja'Marr Chase,#01,WR,16.0,258.0,255.0,98.8,45.1,1 (1),102.0,40.0,68.6,138.0,54.1,61.9
Charlie Jones,#15,WR,4.0,14.0,12.0,85.7,37.6,0 (0),6.0,50.0,58.1,6.0,50.0,59.8
Trenton Irwin,#16,WR,16.0,150.0,150.0,100.0,31.0,0 (0),54.0,36.0,57.9,81.0,54.0,52.8
Tyler Boyd,#83,WR,17.0,213.0,211.0,99.1,30.4,0 (0),87.0,41.2,58.6,113.0,53.6,49.0
,,,,,,,,,,,,,,
