RECEIVING_2023_RECEIVING_2023_Rank,RECEIVING_2023_RECEIVING_2023_Player,RECEIVING_2023_RECEIVING_2023_JerseyNumber,RECEIVING_2023_RECEIVING_2023_Position,RECEIVING_2023_RECEIVING_2023_GamesPlayed,RECEIVING_2023_RECEIVING_2023_ReceivingTargets,RECEIVING_2023_RECEIVING_2023_ReceivingReceptions,RECEIVING_2023_RECEIVING_2023_ReceivingReceptionPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYards,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingTouchdowns,RECEIVING_2023_RECEIVING_2023_ReceivingOverallGrade,RECEIVING_2023_RECEIVING_2023_ReceivingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingDrops,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingPassSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingRoutesRun,RECEIVING_2023_RECEIVING_2023_ReceivingTargetPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnapsPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlot,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlotPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWide,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWidePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInline,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInlinePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatch,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatchPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerRouteRun,RECEIVING_2023_RECEIVING_2023_ReceivingAverageDepthOfTarget,RECEIVING_2023_RECEIVING_2023_ReceivingLongestReception,RECEIVING_2023_RECEIVING_2023_ReceivingDrops.1,RECEIVING_2023_RECEIVING_2023_ReceivingDropPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingContestedTargets,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatches,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatchPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingInterceptionsThrownWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles.1,RECEIVING_2023_RECEIVING_2023_ReceivingMissedTacklesForced,RECEIVING_2023_RECEIVING_2023_ReceivingFirstDowns,RECEIVING_2023_RECEIVING_2023_ReceivingPasserRatingWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingPenalties
1.0,Ja'Marr Chase,#01,WR,16.0,140.0,100.0,71.4,"1,216",12.2,7.0,85.3,86.7,85.7,58.8,-,631.0,600.0,95.1,0.0,0.0,148.0,23.5,479.0,75.9,0.0,0.0,553.0,5.5,2.03,9.1,76.0,4.0,3.8,25.0,11.0,44.0,2.0,1.0,17.0,63.0,108.5,2 (1)
2.0,Chase Brown,#30,HB,10.0,15.0,14.0,93.3,156,11.1,1.0,63.9,81.1,64.7,48.0,26.7,44.0,35.0,79.5,8.0,18.2,6.0,13.6,2.0,4.5,0.0,0.0,192.0,13.7,4.46,-2.9,54.0,1.0,6.7,0.0,0.0,,0.0,0.0,7.0,4.0,132.2,1 (0)
3.0,Tanner Hudson,#87,TE,12.0,49.0,39.0,79.6,352,9.0,1.0,73.0,72.5,81.8,78.0,52.2,242.0,225.0,93.0,2.0,0.8,121.0,50.0,54.0,22.3,64.0,26.4,146.0,3.7,1.56,5.5,26.0,1.0,2.5,6.0,3.0,50.0,1.0,0.0,5.0,21.0,94.9,1 (0)
4.0,Tee Higgins,#05,WR,12.0,74.0,42.0,56.8,656,15.6,5.0,72.1,70.9,45.9,78.5,65.7,419.0,396.0,94.5,1.0,0.2,73.0,17.4,345.0,82.3,1.0,0.2,235.0,5.6,1.66,13.1,80.0,6.0,12.5,23.0,8.0,34.8,1.0,0.0,4.0,33.0,103.2,3 (1)
5.0,Joe Mixon,#28,HB,17.0,62.0,52.0,83.9,376,7.2,3.0,71.1,68.8,67.2,91.3,29.7,462.0,373.0,80.7,71.0,15.4,16.0,3.5,22.0,4.8,0.0,0.0,482.0,9.3,1.01,-2.0,45.0,4.0,7.1,2.0,0.0,0.0,1.0,0.0,17.0,14.0,101.3,2 (1)
6.0,Charlie Jones,#15,WR,8.0,9.0,7.0,77.8,64,9.1,0.0,65.8,67.9,52.5,85.6,-,30.0,30.0,100.0,0.0,0.0,21.0,70.0,9.0,30.0,0.0,0.0,34.0,4.9,2.13,8.8,35.0,1.0,12.5,0.0,0.0,,0.0,0.0,0.0,3.0,96.3,0 (0)
7.0,Tyler Boyd,#83,WR,17.0,91.0,67.0,73.6,667,10.0,2.0,59.5,64.4,73.8,81.5,66.2,611.0,577.0,94.4,1.0,0.2,521.0,85.3,89.0,14.6,0.0,0.0,287.0,4.3,1.16,7.2,64.0,3.0,4.3,15.0,6.0,40.0,4.0,0.0,11.0,28.0,83.0,2 (0)
8.0,Andrei Iosivas,#80,WR,15.0,25.0,15.0,60.0,116,7.7,4.0,61.2,62.1,51.5,73.8,-,159.0,151.0,95.0,0.0,0.0,27.0,17.0,132.0,83.0,0.0,0.0,34.0,2.3,0.77,9.4,16.0,2.0,11.8,5.0,2.0,40.0,1.0,0.0,0.0,11.0,94.3,1 (1)
9.0,Trenton Irwin,#16,WR,16.0,33.0,25.0,75.8,316,12.6,1.0,57.0,60.8,86.1,24.3,59.1,279.0,262.0,93.9,2.0,0.7,96.0,34.4,180.0,64.5,3.0,1.1,113.0,4.5,1.21,10.6,32.0,0.0,0.0,4.0,2.0,50.0,2.0,1.0,1.0,15.0,90.0,0 (0)
10.0,Kwamie Lassiter II,#18,WR,1.0,1.0,1.0,100.0,2,2.0,0.0,58.4,60.1,64.7,61.2,-,2.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,4.0,4.0,1.0,-2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,79.2,0 (0)
11.0,Jake Browning,#06,QB,9.0,1.0,1.0,100.0,-7,-7.0,0.0,79.3,59.8,64.7,54.6,60.9,301.0,2.0,0.7,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,-7.0,-7.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,79.2,8 (0)
12.0,Shedrick Jackson,#12,WR,1.0,1.0,0.0,0.0,0,,0.0,60.7,58.8,-,-,65.4,3.0,2.0,66.7,1.0,33.3,1.0,33.3,2.0,66.7,0.0,0.0,0.0,,0.0,31.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,0 (0)
13.0,Drew Sample,#89,TE,17.0,27.0,22.0,81.5,163,7.4,2.0,60.0,52.9,61.5,75.1,68.1,279.0,190.0,68.1,84.0,30.1,15.0,5.4,20.0,7.2,159.0,57.0,171.0,7.8,0.86,0.6,22.0,2.0,8.3,1.0,1.0,100.0,1.0,0.0,2.0,9.0,101.1,0 (0)
