Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside,Team
DJ Reader,#98,DI,14.0,535,217.0,314.0,4.0,82.2,75.3,29.0,79.1,59.8,34.0,2.0,5.0,27.0,0.0,30.0,5.0,7.0,16.7,22.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,2 (0),534.0,1.0,0.0,0.0,0.0,106.0,421.0,7.0,0.0,cincinnati-bengals
Mike Hilton,#21,CB,17.0,876,285.0,51.0,540.0,77.4,64.2,58.7,61.7,80.4,6.0,2.0,1.0,3.0,1.0,66.0,13.0,15.0,16.0,37.0,1.0,77.0,56.0,72.7,492.0,8.8,314.0,43.0,0.0,2.0,4.0,78.5,2 (2),20.0,125.0,34.0,678.0,19.0,0.0,0.0,0.0,20.0,cincinnati-bengals
Josh Tupou,#68,DI,14.0,287,150.0,137.0,0.0,52.1,50.3,53.5,55.7,60.0,6.0,0.0,2.0,4.0,0.0,14.0,6.0,2.0,9.1,9.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),287.0,0.0,0.0,0.0,0.0,88.0,198.0,1.0,0.0,cincinnati-bengals
Chidobe Awuzie,#22,CB,15.0,722,273.0,3.0,446.0,62.6,68.0,72.1,56.2,62.3,0.0,0.0,0.0,0.0,0.0,46.0,10.0,4.0,6.7,15.0,0.0,56.0,38.0,67.9,488.0,12.8,189.0,66.0,3.0,0.0,3.0,112.8,4 (0),5.0,74.0,1.0,53.0,589.0,0.0,0.0,0.0,5.0,cincinnati-bengals
Trey Hendrickson,#91,ED,17.0,742,243.0,469.0,30.0,82.3,51.0,60.9,90.7,47.5,79.0,20.0,10.0,49.0,1.0,17.0,3.0,6.0,23.1,30.0,3.0,4.0,4.0,100.0,37.0,9.3,19.0,12.0,0.0,0.0,0.0,105.2,4 (0),738.0,2.0,0.0,0.0,2.0,0.0,7.0,10.0,721.0,cincinnati-bengals
Jalen Davis,#35,CB,12.0,53,18.0,0.0,35.0,51.4,72.4,36.2,-,46.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,25.0,1.0,0.0,6.0,4.0,66.7,43.0,10.8,7.0,25.0,1.0,0.0,1.0,127.1,0 (0),0.0,9.0,0.0,34.0,10.0,0.0,0.0,0.0,0.0,cincinnati-bengals
B.J. Hill,#92,DI,17.0,776,269.0,499.0,8.0,67.7,63.3,58.3,65.8,67.9,42.0,5.0,14.0,23.0,1.0,33.0,16.0,3.0,5.8,22.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,2.0,0.0,0.0,3 (0),775.0,1.0,0.0,0.0,0.0,54.0,586.0,114.0,21.0,cincinnati-bengals
Sam Hubbard,#94,ED,15.0,713,250.0,409.0,54.0,61.9,61.1,60.9,57.5,73.6,40.0,6.0,13.0,21.0,0.0,35.0,19.0,7.0,11.5,30.0,0.0,3.0,3.0,100.0,46.0,15.3,31.0,35.0,0.0,0.0,0.0,118.8,3 (0),699.0,12.0,0.0,2.0,0.0,0.0,8.0,19.0,672.0,cincinnati-bengals
Nick Scott,#33,S,17.0,569,181.0,28.0,360.0,44.0,53.6,61.0,75.0,38.8,5.0,0.0,1.0,4.0,0.0,37.0,20.0,9.0,13.6,12.0,0.0,27.0,20.0,74.1,306.0,15.3,88.0,46.0,1.0,0.0,0.0,123.4,1 (0),22.0,194.0,247.0,86.0,20.0,0.0,0.0,0.0,22.0,cincinnati-bengals
Germaine Pratt,#57,LB,17.0,975,392.0,53.0,530.0,63.3,57.3,66.4,63.5,65.3,12.0,3.0,0.0,9.0,0.0,77.0,40.0,14.0,10.7,35.0,2.0,64.0,48.0,75.0,458.0,9.5,288.0,34.0,1.0,2.0,1.0,86.6,1 (0),108.0,790.0,6.0,59.0,12.0,0.0,0.0,0.0,108.0,cincinnati-bengals
Joe Bachie,#49,LB,6.0,10,4.0,2.0,4.0,55.5,68.3,73.3,59.6,45.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,18.0,18.0,0.0,18.0,0.0,0.0,0.0,118.8,0 (0),4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,cincinnati-bengals
Logan Wilson,#55,LB,17.0,"1,068",402.0,55.0,611.0,62.6,66.5,76.6,60.1,57.9,9.0,2.0,2.0,5.0,0.0,89.0,40.0,11.0,7.9,32.0,2.0,77.0,62.0,80.5,697.0,11.2,380.0,29.0,4.0,4.0,4.0,100.1,1 (0),54.0,921.0,15.0,74.0,4.0,0.0,0.0,0.0,54.0,cincinnati-bengals
Akeem Davis-Gaither,#59,LB,11.0,98,50.0,8.0,40.0,58.7,57.3,55.0,69.8,56.7,0.0,0.0,0.0,0.0,0.0,12.0,4.0,3.0,15.8,4.0,0.0,7.0,7.0,100.0,56.0,8.0,20.0,20.0,0.0,0.0,0.0,100.0,0 (0),20.0,70.0,0.0,8.0,0.0,0.0,0.0,0.0,20.0,cincinnati-bengals
Markus Bailey,#51,LB,8.0,29,16.0,1.0,12.0,60.8,73.3,77.7,60.0,49.5,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,118.8,0 (0),5.0,18.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,cincinnati-bengals
Cam Sample,#96,ED,17.0,375,155.0,208.0,12.0,61.6,61.8,82.2,62.4,49.8,22.0,2.0,5.0,15.0,1.0,22.0,4.0,1.0,3.7,12.0,0.0,3.0,3.0,100.0,18.0,6.0,4.0,9.0,1.0,0.0,0.0,131.3,1 (0),374.0,0.0,0.0,0.0,1.0,0.0,22.0,61.0,291.0,cincinnati-bengals
Jay Tufele,#97,DI,10.0,96,54.0,42.0,0.0,47.8,47.2,56.3,54.3,60.0,1.0,0.0,0.0,1.0,0.0,5.0,6.0,1.0,8.3,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),96.0,0.0,0.0,0.0,0.0,4.0,86.0,6.0,0.0,cincinnati-bengals
Joseph Ossai,#58,ED,14.0,177,60.0,109.0,8.0,68.4,64.2,31.0,64.1,65.9,11.0,1.0,6.0,4.0,0.0,6.0,3.0,3.0,25.0,5.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,39.6,0 (0),175.0,1.0,0.0,0.0,1.0,0.0,9.0,40.0,126.0,cincinnati-bengals
