Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,BlockingTotalSnaps,BlockingTotalSnapsPercentage,RunBlockingSnaps,PassBlockingSnaps,OffenseOverallGrade,RunBlockingGrade,PassBlockingGrade,PressuresAllowedTotalSnaps,PressuresAllowedTotalSnapsPercentage,PressuresAllowedSacks,PressuresAllowedHits,PressuresAllowedHurries,PressuresAllowedTotal,PressuresAllowedEfficiency,Penalties,SnapsAtLeftTackle,SnapsAtLeftGuard,SnapsAtCenter,SnapsAtRightGuard,SnapsAtRightTackle,SnapsAtInlineTightEnd
Harrison Bryant,#88,TE,18.0,429,251,58.5,228.0,23.0,57.0,49.6,80.2,22.0,11.8,0.0,0.0,0.0,0.0,100.0,0 (0),1.0,0,0,0,0.0,262.0
Jack Conklin,#78,T,1.0,22,22,100.0,7.0,15.0,74.5,71.7,78.9,15.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0,0,0,22.0,0.0
David Bell,#18,WR,16.0,260,97,37.3,91.0,6.0,63.6,51.1,78.0,5.0,3.1,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0,0,0,0.0,4.0
Donovan Peoples-Jones,#11,WR,7.0,439,203,46.2,199.0,4.0,51.3,53.9,77.9,4.0,1.8,0.0,0.0,0.0,0.0,100.0,1 (0),0.0,0,0,0,0.0,1.0
Cedric Tillman,#19,WR,14.0,609,232,38.1,226.0,6.0,55.5,56.2,76.4,6.0,1.7,0.0,1.0,0.0,1.0,91.7,1 (0),0.0,0,0,0,0.0,16.0
Dawand Jones,#79,T,11.0,712,712,100.0,293.0,419.0,64.7,53.5,73.0,391.0,100.0,3.0,3.0,15.0,21.0,96.9,2 (0),0.0,0,0,1,710.0,1.0
Ethan Pocic,#55,C,16.0,"1,070","1,070",100.0,435.0,635.0,70.8,68.0,72.9,593.0,100.0,1.0,2.0,16.0,19.0,98.3,6 (1),0.0,0,"1,070",0,0.0,0.0
Joel Bitonio,#75,G,16.0,"1,107","1,107",100.0,442.0,665.0,67.9,60.8,71.0,624.0,100.0,3.0,4.0,28.0,35.0,97.0,4 (1),0.0,"1,107",0,0,0.0,0.0
Amari Cooper,#02,WR,16.0,952,324,34.0,323.0,1.0,79.9,57.8,68.1,1.0,0.2,0.0,0.0,0.0,0.0,100.0,1 (0),0.0,0,0,0,0.0,0.0
David Njoku,#85,TE,17.0,"1,021",427,41.8,370.0,57.0,68.2,54.4,67.5,55.0,9.0,1.0,0.0,2.0,3.0,96.4,2 (1),5.0,0,0,0,4.0,644.0
Wyatt Teller,#77,G,17.0,"1,254","1,254",100.0,495.0,759.0,72.7,74.0,67.3,712.0,100.0,7.0,4.0,20.0,31.0,97.3,6 (2),0.0,1,0,"1,253",0.0,0.0
Nick Harris,#53,C,18.0,313,307,98.1,138.0,169.0,59.5,58.7,66.3,164.0,97.0,0.0,0.0,3.0,3.0,99.1,2 (0),0.0,0,222,18,0.0,13.0
Jerome Ford,#34,HB,18.0,672,86,12.8,22.0,64.0,68.3,67.1,64.8,62.0,15.2,1.0,0.0,3.0,4.0,96.0,0 (0),0.0,0,0,0,0.0,40.0
Pierre Strong Jr.,#20,HB,15.0,169,29,17.2,11.0,18.0,60.6,60.2,62.4,16.0,18.0,0.0,0.0,1.0,1.0,96.9,0 (0),0.0,0,0,0,0.0,9.0
Jedrick Wills Jr.,#71,T,8.0,569,569,100.0,250.0,319.0,54.0,54.5,60.1,297.0,100.0,3.0,5.0,21.0,29.0,94.6,6 (0),565.0,0,0,0,0.0,4.0
Kareem Hunt,#27,HB,16.0,367,61,16.6,18.0,43.0,69.8,65.0,58.4,40.0,21.1,1.0,0.0,1.0,2.0,96.2,0 (0),0.0,0,0,0,0.0,25.0
Michael Dunn,#68,G,13.0,266,266,100.0,120.0,146.0,61.1,63.0,55.8,137.0,100.0,1.0,1.0,3.0,5.0,97.8,2 (0),1.0,203,0,4,0.0,58.0
Geron Christian,#64,T,10.0,675,675,100.0,235.0,440.0,45.0,34.4,54.7,417.0,100.0,5.0,6.0,28.0,39.0,94.7,4 (0),672.0,0,0,0,0.0,3.0
Luke Wypler,#56,G,2.0,57,57,100.0,23.0,34.0,64.6,65.9,54.5,34.0,100.0,0.0,1.0,1.0,2.0,97.1,0 (0),0.0,0,19,35,0.0,1.0
James Hudson III,#66,T,16.0,622,621,99.8,252.0,369.0,44.7,50.7,48.4,348.0,99.7,5.0,8.0,23.0,36.0,94.1,9 (2),35.0,0,0,0,558.0,28.0
Leroy Watson,#69,T,5.0,60,60,100.0,27.0,33.0,49.8,51.0,46.2,33.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),32.0,0,0,0,17.0,11.0
