RECEIVING_2023_RECEIVING_2023_Rank,RECEIVING_2023_RECEIVING_2023_Player,RECEIVING_2023_RECEIVING_2023_JerseyNumber,RECEIVING_2023_RECEIVING_2023_Position,RECEIVING_2023_RECEIVING_2023_GamesPlayed,RECEIVING_2023_RECEIVING_2023_ReceivingTargets,RECEIVING_2023_RECEIVING_2023_ReceivingReceptions,RECEIVING_2023_RECEIVING_2023_ReceivingReceptionPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYards,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingTouchdowns,RECEIVING_2023_RECEIVING_2023_ReceivingOverallGrade,RECEIVING_2023_RECEIVING_2023_ReceivingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingDrops,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingPassSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingRoutesRun,RECEIVING_2023_RECEIVING_2023_ReceivingTargetPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnapsPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlot,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlotPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWide,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWidePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInline,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInlinePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatch,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatchPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerRouteRun,RECEIVING_2023_RECEIVING_2023_ReceivingAverageDepthOfTarget,RECEIVING_2023_RECEIVING_2023_ReceivingLongestReception,RECEIVING_2023_RECEIVING_2023_ReceivingDrops.1,RECEIVING_2023_RECEIVING_2023_ReceivingDropPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingContestedTargets,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatches,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatchPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingInterceptionsThrownWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles.1,RECEIVING_2023_RECEIVING_2023_ReceivingMissedTacklesForced,RECEIVING_2023_RECEIVING_2023_ReceivingFirstDowns,RECEIVING_2023_RECEIVING_2023_ReceivingPasserRatingWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingPenalties
1.0,Amari Cooper,#02,WR,16.0,127.0,76.0,59.8,"1,309",17.2,5.0,79.9,79.6,55.4,50.0,68.1,629.0,592.0,94.1,1.0,0.2,136.0,21.6,491.0,78.1,0.0,0.0,279.0,3.7,2.21,14.1,75.0,5.0,6.2,30.0,16.0,53.3,6.0,2.0,5.0,54.0,88.3,1 (0)
2.0,David Njoku,#85,TE,17.0,131.0,88.0,67.2,975,11.1,6.0,68.2,70.5,52.8,29.4,67.5,651.0,558.0,85.7,57.0,8.8,225.0,34.6,66.0,10.1,356.0,54.7,625.0,7.1,1.75,5.4,45.0,9.0,9.3,24.0,11.0,45.8,4.0,2.0,23.0,39.0,91.6,2 (1)
3.0,Kareem Hunt,#27,HB,16.0,27.0,20.0,74.1,93,4.7,1.0,69.8,67.0,71.5,90.2,58.4,203.0,151.0,74.4,43.0,21.2,4.0,2.0,5.0,2.5,25.0,12.3,122.0,6.1,0.62,-1.5,13.0,1.0,4.8,0.0,0.0,,0.0,0.0,0.0,6.0,90.5,0 (0)
4.0,Nick Chubb,#24,HB,2.0,4.0,4.0,100.0,21,5.3,0.0,81.6,65.4,72.1,79.9,25.8,22.0,16.0,72.7,6.0,27.3,1.0,4.5,2.0,9.1,1.0,4.5,20.0,5.0,1.31,0.3,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,88.5,0 (0)
5.0,David Bell,#18,WR,16.0,29.0,22.0,75.9,221,10.0,3.0,63.6,63.6,60.3,74.9,78.0,169.0,158.0,93.5,6.0,3.6,86.0,50.9,79.0,46.7,3.0,1.8,85.0,3.9,1.4,6.4,41.0,2.0,8.3,4.0,3.0,75.0,1.0,0.0,0.0,11.0,117.2,0 (0)
6.0,Elijah Moore,#08,WR,18.0,101.0,61.0,60.4,652,10.7,2.0,58.9,60.6,65.6,51.1,0.0,647.0,608.0,94.0,1.0,0.2,285.0,44.0,346.0,53.5,0.0,0.0,206.0,3.4,1.07,11.2,42.0,5.0,7.6,11.0,4.0,36.4,3.0,1.0,9.0,29.0,73.5,1 (0)
7.0,Harrison Bryant,#88,TE,18.0,26.0,17.0,65.4,146,8.6,3.0,57.0,59.4,69.0,25.8,80.2,196.0,165.0,84.2,23.0,11.7,48.0,24.5,13.0,6.6,108.0,55.1,73.0,4.3,0.88,6.6,47.0,1.0,5.6,3.0,1.0,33.3,2.0,0.0,1.0,6.0,86.4,0 (0)
8.0,Jordan Akins,#84,TE,18.0,21.0,15.0,71.4,132,8.8,0.0,53.6,57.8,51.5,73.0,43.5,137.0,128.0,93.4,7.0,5.1,47.0,34.3,11.0,8.0,79.0,57.7,58.0,3.9,1.03,5.5,28.0,2.0,11.8,4.0,3.0,75.0,0.0,0.0,1.0,6.0,87.8,0 (0)
9.0,Cedric Tillman,#19,WR,14.0,42.0,21.0,50.0,224,10.7,0.0,55.5,55.4,71.3,75.0,76.4,382.0,358.0,93.7,6.0,1.6,147.0,38.5,224.0,58.6,11.0,2.9,67.0,3.2,0.63,12.2,23.0,1.0,4.5,7.0,2.0,28.6,5.0,0.0,4.0,12.0,26.4,1 (0)
10.0,Jerome Ford,#34,HB,18.0,64.0,48.0,75.0,334,7.0,5.0,68.3,55.3,30.8,82.9,64.8,435.0,349.0,80.2,64.0,14.7,15.0,3.4,17.0,3.9,40.0,9.2,328.0,6.8,0.96,0.5,50.0,9.0,15.8,3.0,2.0,66.7,0.0,0.0,11.0,17.0,112.4,0 (0)
11.0,Donovan Peoples-Jones,#11,WR,7.0,17.0,8.0,47.1,97,12.1,0.0,51.3,51.1,76.5,82.2,77.9,240.0,218.0,90.8,4.0,1.7,80.0,33.3,160.0,66.7,0.0,0.0,22.0,2.8,0.44,11.9,29.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,4.0,40.6,1 (0)
