RUSHING_2023_RUSHING_2023_Rank,RUSHING_2023_RUSHING_2023_Player,RUSHING_2023_RUSHING_2023_JerseyNumber,RUSHING_2023_RUSHING_2023_Position,RUSHING_2023_RUSHING_2023_GamesPlayed,RUSHING_2023_RUSHING_2023_RushingTotalSnaps,RUSHING_2023_RUSHING_2023_RushingAttempts,RUSHING_2023_RUSHING_2023_RushingYards,RUSHING_2023_RUSHING_2023_RushingYardsPerAttempt,RUSHING_2023_RUSHING_2023_RushingTouchdowns,RUSHING_2023_RUSHING_2023_RushingFumbles,RUSHING_2023_RUSHING_2023_RushingOverallGrade,RUSHING_2023_RUSHING_2023_RushingGrade,RUSHING_2023_RUSHING_2023_RushingFumbles.1,RUSHING_2023_RUSHING_2023_RushingRunBlockingGrade,RUSHING_2023_RUSHING_2023_RushingYardsAfterContact,RUSHING_2023_RUSHING_2023_RushingYardsAfterContactPerAttempt,RUSHING_2023_RUSHING_2023_RushingMissedTacklesForced,RUSHING_2023_RUSHING_2023_RushingLongestRush,RUSHING_2023_RUSHING_2023_Rushing10PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingYardsInZoneScheme,RUSHING_2023_RUSHING_2023_RushingYardsInGapScheme,RUSHING_2023_RUSHING_2023_RushingScrambles,RUSHING_2023_RUSHING_2023_RushingScrambleYards,RUSHING_2023_RUSHING_2023_RushingDesignedYards,RUSHING_2023_RUSHING_2023_Rushing15PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingBreakawayYards,RUSHING_2023_RUSHING_2023_RushingBreakawayPercentage,RUSHING_2023_RUSHING_2023_RushingFirstDowns,RUSHING_2023_RUSHING_2023_RushingPenalties,RUSHING_2023_RUSHING_2023_RushingReceivingGrade,RUSHING_2023_RUSHING_2023_RushingPassBlockingGrade,RUSHING_2023_RUSHING_2023_RushingTargets,RUSHING_2023_RUSHING_2023_RushingReceptions,RUSHING_2023_RUSHING_2023_RushingReceivingYards,RUSHING_2023_RUSHING_2023_RushingReceivingSnaps,RUSHING_2023_RUSHING_2023_RushingYardsPerRouteRun,RUSHING_2023_RUSHING_2023_RushingDrops,RUSHING_2023_RUSHING_2023_RushingElusiveRating
1.0,Jeff Driskel,#12,QB,1.0,21.0,7.0,33.0,4.7,0.0,0.0,66.4,83.4,78.7,60.0,22.0,3.14,2.0,13.0,2.0,0.0,2.0,3.0,26.0,7.0,0.0,0.0,0.0,4.0,1 (0),-,-,0.0,0.0,0.0,0.0,,0.0,0.0
2.0,Nick Chubb,#24,HB,2.0,32.0,28.0,170.0,6.1,0.0,0.0,81.6,81.8,79.9,60.0,113.0,4.04,7.0,20.0,6.0,13.0,14.0,0.0,0.0,170.0,2.0,37.0,21.8,8.0,0 (0),65.4,25.8,4.0,4.0,21.0,16.0,1.31,0.0,88.3
3.0,Jerome Ford,#34,HB,18.0,237.0,213.0,830.0,3.9,4.0,1.0,68.3,71.5,82.9,67.1,611.0,2.87,43.0,69.0,23.0,86.0,118.0,0.0,0.0,830.0,8.0,266.0,32.0,34.0,0 (0),55.3,64.8,64.0,48.0,334.0,349.0,0.96,9.0,59.3
4.0,Joe Flacco,#15,QB,6.0,140.0,12.0,15.0,1.3,0.0,4.0,72.8,69.1,65.4,61.2,20.0,1.67,0.0,8.0,0.0,0.0,1.0,2.0,10.0,5.0,0.0,0.0,0.0,5.0,1 (0),-,-,0.0,0.0,0.0,0.0,,0.0,0.0
5.0,Kareem Hunt,#27,HB,16.0,164.0,143.0,437.0,3.1,10.0,0.0,69.8,68.7,90.2,65.0,307.0,2.15,9.0,16.0,6.0,41.0,92.0,0.0,0.0,437.0,2.0,32.0,7.3,40.0,0 (0),67.0,58.4,27.0,20.0,93.0,151.0,0.62,1.0,11.9
6.0,Deshaun Watson,#04,QB,6.0,165.0,27.0,142.0,5.3,1.0,5.0,67.3,63.4,38.5,60.9,95.0,3.52,4.0,16.0,7.0,2.0,4.0,18.0,105.0,37.0,0.0,0.0,0.0,10.0,3 (0),-,-,0.0,0.0,0.0,0.0,,0.0,49.4
7.0,P.J. Walker,#10,QB,6.0,108.0,13.0,30.0,2.3,0.0,4.0,29.7,63.3,26.9,60.5,57.0,4.38,2.0,9.0,0.0,2.0,1.0,4.0,17.0,13.0,0.0,0.0,0.0,3.0,1 (0),-,-,0.0,0.0,0.0,0.0,,0.0,0.0
7.0,Pierre Strong Jr.,#20,HB,15.0,75.0,63.0,291.0,4.6,1.0,2.0,60.6,63.3,57.5,60.2,215.0,3.41,9.0,40.0,7.0,24.0,35.0,0.0,0.0,291.0,3.0,75.0,25.8,10.0,0 (0),49.1,62.4,8.0,5.0,47.0,73.0,0.64,1.0,55.2
9.0,Marquise Goodwin,#03,WR,13.0,45.0,4.0,33.0,8.3,0.0,0.0,50.5,60.2,71.1,58.9,17.0,4.25,0.0,20.0,2.0,0.0,0.0,0.0,0.0,33.0,2.0,37.0,112.1,2.0,0 (0),49.5,-,14.0,4.0,67.0,86.0,0.78,1.0,53.1
10.0,Dorian Thompson-Robinson,#17,QB,8.0,82.0,14.0,65.0,4.6,0.0,2.0,49.3,58.4,36.0,60.8,47.0,3.36,2.0,12.0,1.0,2.0,5.0,5.0,40.0,25.0,0.0,0.0,0.0,4.0,1 (0),-,-,0.0,0.0,0.0,0.0,,0.0,0.0
11.0,Cedric Tillman,#19,WR,14.0,227.0,1.0,8.0,8.0,0.0,0.0,55.5,56.6,75.0,56.2,2.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1 (0),55.4,76.4,42.0,21.0,224.0,358.0,0.63,1.0,36.4
12.0,Harrison Bryant,#88,TE,18.0,233.0,5.0,8.0,1.6,0.0,1.0,57.0,55.7,25.8,49.6,4.0,0.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0 (0),59.4,80.2,26.0,17.0,146.0,165.0,0.88,1.0,3.6
13.0,Elijah Moore,#08,WR,18.0,319.0,9.0,11.0,1.2,0.0,1.0,58.9,51.5,51.1,42.3,19.0,2.11,1.0,19.0,1.0,2.0,5.0,0.0,0.0,11.0,1.0,19.0,172.7,2.0,1 (0),60.6,0.0,101.0,61.0,652.0,608.0,1.07,5.0,30.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
