season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2023,CLE,QB,QB,15.0,ACT,Joe Flacco,Joseph,Flacco,1985-01-16,78.0,245,Delaware,00-0026158,11252.0,64797df2-efd3-4b27-86ee-1d48f7edb09f,8795.0,5648.0,4332.0,FlacJo00,611.0,19.0,15,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dwsbpmlhoqud0puidizt",QB,19,WC,A01,Joe,FLA009602,33099,3200464c-4100-9602-96e8-665718e215c0,2008,2008.0,BAL,18.0
2023,CLE,OL,G,76.0,DEV,Rodger Saffold,Rodger,Saffold,1988-06-06,77.0,325,Indiana,00-0027648,,,,,,,,,13,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bhsp53lhsdcaxg3jvn7u",,19,WC,P07,Rodger,SAF408541,35472,32005341-4640-8541-2bbc-ef7e27a3a3bb,2010,2010.0,STL,33.0
2023,CLE,DB,FS,26.0,RES,Rodney McLeod Jr.,Rodney,McLeod,1990-06-23,70.0,195,Virginia,00-0028899,15222.0,b7253ed5-d2c3-4757-8b54-5176fe9f45df,26356.0,8509.0,7271.0,,14419.0,1205.0,11,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ettne7rdpnkozuyhx8be",,19,WC,R01,Rodney,MCL709174,38843,32004d43-4c70-9174-2092-304976fe0fa0,2012,2012.0,,
2023,CLE,LS,LS,47.0,ACT,Charley Hughlett,Robert,Hughlett,1990-05-16,76.0,248,Central Florida,00-0029008,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q4oi1ro4gxnfbj1rc3y5",,19,WC,A01,Charley,HUG732560,38955,32004855-4773-2560-c7ff-043ee5c39d10,2012,2012.0,,
2023,CLE,OL,T,72.0,DEV,Ty Nsekhe,Attauyo,Nsekhe,1985-10-27,80.0,330,Texas State,00-0029709,,,,,,,,,11,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dk5zezr11uc2gvvk8wmu",,19,WC,P02,Ty,NSE355964,36785,32004e53-4535-5964-6d91-dd94f572e4d9,2012,2012.0,,
2023,CLE,WR,WR,3.0,ACT,Marquise Goodwin,Marquise,Goodwin,1990-11-19,69.0,179,Texas,00-0030068,15839.0,bf52ff53-35a6-4696-ac6d-3fa952dc2c87,26701.0,8807.0,7859.0,GoodMa00,14865.0,1346.0,10,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cof5bbih1o9dtnonwmjp",WR,19,WC,A01,Marquise,GOO681722,40026,3200474f-4f68-1722-a2ec-9d5c7a13eba1,2013,2013.0,BUF,78.0
2023,CLE,K,K,7.0,INA,Dustin Hopkins,Dustin,Hopkins,1990-10-01,74.0,203,Florida State,00-0030098,15965.0,058c99fc-470c-4579-a165-03e043335cc1,26800.0,8896.0,,HopkDu00,14867.0,1348.0,10,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b8xhu9uud3finj0x9hpf",,19,WC,A01,Dustin,HOP165345,40125,3200484f-5016-5345-5687-66c5b0279290,2013,2013.0,BUF,177.0
2023,CLE,DB,SS,30.0,ACT,Duron Harmon,Duron,Harmon,1991-01-24,72.0,205,Rutgers,00-0030383,15842.0,a2802951-e573-4e8f-ad31-14b9ae5f8e7c,26714.0,8906.0,7872.0,HarmDu00,14887.0,1366.0,10,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/spklqujyj6a7dmacc74l",OLB,19,WC,A01,Duron,HAR195786,40039,32004841-5219-5786-e43b-d57a3d8ee96d,2013,2013.0,NE,91.0
2023,CLE,DL,DT,93.0,ACT,Shelby Harris,Shelby,Harris,1991-08-11,74.0,290,Illinois State,00-0031270,16837.0,20d66704-9c12-467f-a6ca-9cf9dc00730c,27763.0,9785.0,8869.0,HarrSh00,16319.0,2033.0,9,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lppu8txhvbs0h7ftxswg",INTERIOR_LINE,19,WC,A01,Shelby,HAR536152,41464,32004841-5253-6152-2588-5177254b0366,2014,2014.0,OAK,235.0
2023,CLE,OL,G,75.0,ACT,Joel Bitonio,Joel,Bitonio,1991-10-11,76.0,320,Nevada,00-0031426,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n3hrbipwg1bjfhfdg6gl",G,19,WC,A01,Joel,BIT316411,41264,32004249-5431-6411-4772-9ef0395824e9,2014,2014.0,CLE,35.0
