Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Matthew Adams,#40,LB,18.0,459.0,84.0,94.0,117.0,95.0,69.0,0.0,86.8,-,-,-,0 (0),10.0,1.0,2.0
Vincent Gray,#31,CB,1.0,17.0,6.0,3.0,6.0,2.0,0.0,0.0,81.6,-,-,-,0 (0),1.0,0.0,0.0
Denzel Ward,#21,CB,10.0,38.0,0.0,0.0,2.0,0.0,36.0,0.0,80.1,-,-,-,0 (0),0.0,0.0,0.0
Charley Hughlett,#47,LS,18.0,167.0,0.0,0.0,0.0,95.0,0.0,72.0,79.6,-,-,-,0 (0),3.0,3.0,0.0
Myles Garrett,#95,ED,16.0,66.0,0.0,0.0,1.0,0.0,65.0,0.0,75.8,-,-,-,1 (0),0.0,0.0,0.0
Shelby Harris,#93,DI,17.0,95.0,0.0,0.0,29.0,0.0,66.0,0.0,74.9,-,-,-,0 (0),0.0,0.0,0.0
Jordan Elliott,#96,DI,18.0,119.0,0.0,0.0,28.0,0.0,60.0,31.0,74.6,-,-,-,1 (0),0.0,0.0,0.0
Rodney McLeod,#26,S,10.0,106.0,0.0,0.0,21.0,50.0,35.0,0.0,72.1,-,-,-,0 (0),3.0,2.0,0.0
A.J. Green III,#38,CB,3.0,56.0,18.0,18.0,12.0,8.0,0.0,0.0,70.8,-,-,-,0 (0),1.0,0.0,0.0
Jeremiah Owusu-Koramoah,#06,LB,17.0,152.0,0.0,62.0,77.0,0.0,13.0,0.0,70.3,-,-,-,0 (0),2.0,2.0,1.0
Anthony Walker Jr.,#05,LB,12.0,115.0,19.0,0.0,9.0,45.0,42.0,0.0,69.0,-,-,-,0 (0),2.0,0.0,0.0
Mohamoud Diabate,#43,LB,17.0,314.0,75.0,88.0,78.0,61.0,12.0,0.0,68.7,-,-,-,0 (0),3.0,4.0,1.0
Ogbo Okoronkwo,#54,ED,12.0,23.0,0.0,0.0,21.0,0.0,2.0,0.0,68.3,-,-,-,0 (0),0.0,0.0,0.0
Za'Darius Smith,#99,ED,13.0,23.0,0.0,0.0,21.0,0.0,2.0,0.0,68.3,-,-,-,0 (0),0.0,0.0,0.0
Sione Takitaki,#44,LB,16.0,139.0,37.0,0.0,9.0,33.0,60.0,0.0,67.9,-,-,-,0 (0),1.0,1.0,0.0
Jordan Kunaszyk,#51,LB,6.0,150.0,35.0,30.0,29.0,30.0,26.0,0.0,66.9,-,-,-,0 (0),2.0,0.0,0.0
Isaiah McGuire,#57,ED,2.0,22.0,8.0,0.0,14.0,0.0,0.0,0.0,65.2,-,-,-,0 (0),0.0,0.0,0.0
Pierre Strong Jr.,#20,HB,16.0,280.0,70.0,82.0,74.0,54.0,0.0,0.0,65.1,55.3,-,-,0 (0),6.0,1.0,4.0
Juan Thornhill,#01,S,9.0,41.0,0.0,37.0,0.0,0.0,4.0,0.0,64.3,-,-,-,0 (0),1.0,0.0,0.0
James Proche II,#11,WR,11.0,136.0,53.0,6.0,70.0,7.0,0.0,0.0,64.2,61.4,58.6,-,0 (0),1.0,0.0,0.0
Dalvin Tomlinson,#94,DI,17.0,89.0,0.0,0.0,29.0,0.0,40.0,20.0,64.2,-,-,-,0 (0),0.0,0.0,0.0
Greg Newsome II,#00,CB,14.0,76.0,0.0,36.0,21.0,0.0,19.0,0.0,63.7,-,-,-,0 (0),0.0,0.0,0.0
Corey Bojorquez,#13,P,17.0,163.0,0.0,5.0,0.0,92.0,0.0,66.0,63.5,60.0,79.0,-,3 (0),0.0,0.0,0.0
Michael Dunn,#68,G,13.0,41.0,0.0,0.0,0.0,0.0,0.0,41.0,63.4,-,-,-,0 (0),0.0,0.0,0.0
James Hudson III,#66,T,17.0,65.0,0.0,0.0,0.0,0.0,0.0,65.0,63.3,-,-,-,0 (0),0.0,0.0,0.0
Wyatt Teller,#77,G,18.0,72.0,0.0,0.0,0.0,0.0,0.0,72.0,63.1,-,-,-,0 (0),0.0,0.0,0.0
Charlie Thomas III,#35,LB,3.0,40.0,9.0,19.0,12.0,0.0,0.0,0.0,62.9,-,-,-,0 (0),2.0,0.0,1.0
Tony Fields II,#42,LB,18.0,360.0,78.0,94.0,88.0,95.0,5.0,0.0,62.8,-,-,-,3 (2),5.0,2.0,1.0
Luke Wypler,#56,G,5.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,62.6,-,-,-,0 (0),0.0,0.0,0.0
Geron Christian,#64,T,10.0,36.0,0.0,0.0,0.0,0.0,0.0,36.0,62.5,-,-,-,0 (0),0.0,0.0,0.0
Grant Delpit,#22,S,13.0,136.0,0.0,61.0,12.0,17.0,46.0,0.0,62.3,-,-,-,1 (0),3.0,0.0,0.0
Jedrick Wills Jr.,#71,T,8.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,62.3,-,-,-,0 (0),0.0,0.0,0.0
Cedric Tillman,#19,WR,5.0,9.0,4.0,1.0,4.0,0.0,0.0,0.0,62.2,-,-,-,0 (0),0.0,0.0,0.0
Joel Bitonio,#75,G,12.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,61.8,-,-,-,0 (0),0.0,0.0,0.0
Dawand Jones,#79,T,4.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,61.6,-,-,-,0 (0),0.0,0.0,0.0
Leroy Watson,#69,T,8.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,61.4,-,-,-,0 (0),0.0,0.0,0.0
Ethan Pocic,#55,C,7.0,28.0,0.0,0.0,0.0,0.0,0.0,28.0,61.4,-,-,-,0 (0),0.0,0.0,0.0
Donovan Peoples-Jones,#11,WR,7.0,39.0,0.0,0.0,39.0,0.0,0.0,0.0,61.2,-,59.6,-,0 (0),0.0,0.0,0.0
Ty Nsekhe,#72,T,2.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,61.2,-,-,-,0 (0),0.0,0.0,0.0
Nick Harris,#53,C,5.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,61.1,-,-,-,0 (0),0.0,0.0,0.0
Maurice Hurst,#90,DI,12.0,50.0,0.0,0.0,3.0,0.0,47.0,0.0,61.1,-,-,-,0 (0),0.0,0.0,0.0
Dustin Hopkins,#07,K,15.0,138.0,0.0,76.0,0.0,0.0,0.0,62.0,60.9,59.4,-,84.4,0 (0),2.0,0.0,0.0
Matt Haack,#39,P,1.0,9.0,0.0,0.0,0.0,3.0,0.0,6.0,60.7,-,65.4,-,0 (0),0.0,0.0,0.0
Alex Wright,#91,ED,12.0,71.0,0.0,19.0,23.0,0.0,29.0,0.0,60.6,-,-,-,0 (0),0.0,0.0,0.0
Deon Jackson,#31,HB,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,60.4,-,-,-,0 (0),0.0,0.0,0.0
Jaelon Darden,#16,WR,1.0,9.0,4.0,0.0,5.0,0.0,0.0,0.0,60.2,66.7,62.3,-,0 (0),0.0,0.0,0.0
Riley Patterson,#36,K,3.0,23.0,0.0,13.0,0.0,0.0,0.0,10.0,60.2,59.5,-,55.7,0 (0),0.0,0.0,0.0
Jerome Ford,#34,HB,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,60.0,58.3,-,-,0 (0),0.0,0.0,0.0
Jack Conklin,#78,T,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Amari Cooper,#02,WR,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Kahlef Hailassie,#25,CB,8.0,102.0,5.0,38.0,47.0,6.0,6.0,0.0,59.8,-,-,-,1 (0),2.0,0.0,0.0
Sam Kamara,#92,ED,2.0,7.0,0.0,1.0,1.0,0.0,5.0,0.0,59.4,-,-,-,0 (0),0.0,0.0,0.0
Siaki Ika,#62,DI,1.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,59.3,-,-,-,0 (0),0.0,0.0,0.0
Elijah Moore,#08,WR,3.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0,59.0,-,61.8,-,0 (0),0.0,0.0,0.0
