DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Rank,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Player,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_JerseyNumber,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Position,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_GamesPlayed,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushTotalSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSnapsPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushGrade,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushPenalties,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushTotalPressures,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSacks,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushHits,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushHurries,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushPressureRate,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushWinPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushBattedPasses,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetTotalSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSnapsPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetGrade,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetTotalPressures,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSacks,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetHits,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetHurries,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetPressureRate,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetWinPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetBattedPasses
1.0,Micah Parsons,#11,ED,18.0,551.0,532.0,96.6,93.7,7 (1),106.0,16.0,19.0,71.0,12.4,24.2,0.0,278.0,269.0,96.8,93.7,75.0,13.0,12.0,50.0,17.9,31.3,0.0
2.0,Donovan Wilson,#06,S,16.0,473.0,20.0,4.2,80.7,4 (0),6.0,0.0,1.0,5.0,15.8,5.3,0.0,230.0,4.0,1.7,79.4,1.0,0.0,0.0,1.0,12.5,0.0,0.0
3.0,DeMarcus Lawrence,#90,ED,18.0,409.0,401.0,98.0,79.3,3 (1),48.0,4.0,5.0,39.0,7.1,14.3,3.0,198.0,196.0,99.0,76.3,30.0,2.0,2.0,26.0,9.2,19.0,2.0
4.0,Osa Odighizuwa,#97,DI,18.0,373.0,372.0,99.7,78.7,2 (1),44.0,3.0,10.0,31.0,6.9,13.8,0.0,165.0,165.0,100.0,83.8,32.0,3.0,4.0,25.0,11.8,21.6,0.0
5.0,Chauncey Golston,#99,DI,18.0,192.0,190.0,99.0,75.0,0 (0),20.0,2.0,1.0,17.0,6.2,15.3,0.0,98.0,98.0,100.0,78.9,14.0,2.0,1.0,11.0,8.7,19.6,0.0
6.0,Sam Williams,#54,ED,18.0,201.0,193.0,96.0,73.0,3 (0),24.0,5.0,3.0,16.0,8.1,10.7,0.0,121.0,114.0,94.2,81.5,20.0,5.0,3.0,12.0,12.1,15.5,0.0
7.0,Mazi Smith,#58,DI,18.0,156.0,156.0,100.0,70.0,0 (0),8.0,1.0,2.0,5.0,3.2,9.9,0.0,60.0,60.0,100.0,80.7,8.0,1.0,2.0,5.0,8.7,17.3,0.0
8.0,Dante Fowler Jr.,#56,ED,18.0,210.0,206.0,98.1,69.9,5 (1),36.0,5.0,2.0,29.0,10.7,14.1,0.0,131.0,128.0,97.7,66.8,27.0,3.0,1.0,23.0,12.8,17.9,0.0
9.0,Dorance Armstrong,#92,ED,18.0,300.0,290.0,96.7,69.7,1 (0),35.0,9.0,4.0,22.0,8.1,12.1,1.0,165.0,162.0,98.2,73.3,26.0,6.0,4.0,16.0,10.7,15.4,1.0
10.0,DaRon Bland,#26,CB,18.0,618.0,4.0,0.6,69.6,5 (0),2.0,0.0,1.0,1.0,25.0,0.0,0.0,299.0,2.0,0.7,54.5,1.0,0.0,0.0,1.0,25.0,0.0,0.0
11.0,Markquese Bell,#14,LB,18.0,422.0,21.0,5.0,67.8,3 (1),3.0,0.0,0.0,3.0,7.5,5.0,1.0,198.0,10.0,5.1,64.2,3.0,0.0,0.0,3.0,15.0,10.0,0.0
