OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Rank,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Player,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_JerseyNumber,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Position,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_GamesPlayed,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnaps.1,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingGrade,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPenalties,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedSacks,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedHits,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedHurries,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotal,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedEfficiency,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnaps.1,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetGrade,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedSacks,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedHits,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedHurries,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotal,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedEfficiency
1.0,Tyron Smith,#77,T,14.0,610.0,610.0,100.0,89.3,1 (0),569.0,100.0,3.0,1.0,17.0,21.0,97.9,280.0,280.0,100.0,85.8,260.0,100.0,2.0,1.0,8.0,11.0,97.5
2.0,Peyton Hendershot,#89,TE,9.0,75.0,9.0,12.0,85.1,0 (0),8.0,11.0,0.0,0.0,0.0,0.0,100.0,24.0,1.0,4.2,75.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.0,Sean McKeon,#84,TE,9.0,43.0,10.0,23.3,79.2,0 (0),10.0,24.4,0.0,0.0,0.0,0.0,100.0,6.0,1.0,16.7,74.4,1.0,20.0,0.0,0.0,0.0,0.0,100.0
4.0,Zack Martin,#70,G,16.0,655.0,655.0,100.0,75.1,2 (2),609.0,100.0,4.0,9.0,11.0,24.0,97.7,289.0,289.0,100.0,73.4,265.0,100.0,2.0,5.0,5.0,12.0,97.4
5.0,Jake Ferguson,#87,TE,18.0,647.0,34.0,5.3,73.1,0 (0),31.0,5.1,0.0,0.0,0.0,0.0,100.0,289.0,1.0,0.3,74.1,1.0,0.4,0.0,0.0,0.0,0.0,100.0
6.0,Tony Pollard,#20,HB,18.0,588.0,115.0,19.6,70.6,0 (0),108.0,19.7,2.0,2.0,3.0,7.0,95.8,246.0,47.0,19.1,77.6,42.0,18.5,1.0,1.0,0.0,2.0,96.4
7.0,Tyler Smith,#73,G,15.0,682.0,682.0,100.0,70.2,7 (2),635.0,100.0,1.0,2.0,14.0,17.0,98.6,299.0,299.0,100.0,70.0,275.0,100.0,1.0,1.0,7.0,9.0,98.2
8.0,KaVontae Turpin,#09,WR,16.0,102.0,1.0,1.0,66.2,0 (0),1.0,1.0,0.0,0.0,0.0,0.0,100.0,55.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
9.0,Tyler Biadasz,#63,C,17.0,728.0,728.0,100.0,64.6,2 (1),680.0,100.0,3.0,4.0,20.0,27.0,97.8,317.0,317.0,100.0,62.2,292.0,100.0,1.0,2.0,10.0,13.0,97.6
10.0,Asim Richards,#76,T,5.0,16.0,16.0,100.0,63.9,0 (0),15.0,100.0,0.0,0.0,1.0,1.0,96.7,3.0,3.0,100.0,18.2,3.0,100.0,0.0,0.0,1.0,1.0,83.3
11.0,Trent Sieg,#44,LS,1.0,1.0,1.0,100.0,63.8,0 (0),0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
12.0,Chuma Edoga,#71,T,12.0,251.0,251.0,100.0,63.7,2 (1),231.0,100.0,3.0,5.0,8.0,16.0,95.9,76.0,76.0,100.0,62.4,65.0,100.0,0.0,1.0,6.0,7.0,94.6
13.0,Luke Schoonmaker,#86,TE,18.0,162.0,37.0,22.8,58.1,0 (0),34.0,22.8,1.0,0.0,3.0,4.0,92.6,33.0,2.0,6.1,74.4,2.0,7.1,0.0,0.0,0.0,0.0,100.0
14.0,Brock Hoffman,#67,C,8.0,124.0,124.0,100.0,57.0,1 (0),115.0,100.0,0.0,0.0,5.0,5.0,97.8,38.0,38.0,100.0,47.7,34.0,100.0,0.0,0.0,3.0,3.0,95.6
15.0,T.J. Bass,#66,G,11.0,190.0,190.0,100.0,54.9,1 (0),180.0,100.0,1.0,0.0,5.0,6.0,98.1,66.0,66.0,100.0,44.9,62.0,100.0,1.0,0.0,4.0,5.0,95.2
16.0,Terence Steele,#78,T,18.0,809.0,809.0,100.0,48.9,2 (1),754.0,100.0,8.0,14.0,34.0,56.0,95.8,341.0,341.0,100.0,35.5,313.0,100.0,7.0,12.0,28.0,47.0,91.4
17.0,Deuce Vaughn,#42,HB,6.0,30.0,9.0,30.0,35.7,0 (0),9.0,31.0,0.0,0.0,2.0,2.0,88.9,12.0,4.0,33.3,29.7,4.0,36.4,0.0,0.0,1.0,1.0,87.5
18.0,Rico Dowdle,#23,HB,17.0,151.0,21.0,13.9,34.1,0 (0),18.0,12.9,0.0,0.0,4.0,4.0,88.9,65.0,12.0,18.5,28.6,11.0,18.6,0.0,0.0,4.0,4.0,81.8
19.0,Matt Waletzko,#79,T,1.0,4.0,4.0,100.0,26.0,0 (0),4.0,100.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,100.0,4.4,1.0,100.0,0.0,0.0,0.0,0.0,100.0
20.0,Hunter Luepke,#40,FB,17.0,53.0,7.0,13.2,20.2,0 (0),7.0,15.2,0.0,1.0,1.0,2.0,85.7,7.0,1.0,14.3,5.2,1.0,16.7,0.0,0.0,1.0,1.0,50.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
