OFFENSE_2023_OFFENSE_2023_Rank,OFFENSE_2023_OFFENSE_2023_Player,OFFENSE_2023_OFFENSE_2023_JerseyNumber,OFFENSE_2023_OFFENSE_2023_Position,OFFENSE_2023_OFFENSE_2023_GamesPlayed,OFFENSE_2023_OFFENSE_2023_OffenseTotalSnaps,OFFENSE_2023_OFFENSE_2023_OffensePassingSnaps,OFFENSE_2023_OFFENSE_2023_OffensePassBlockingSnaps,OFFENSE_2023_OFFENSE_2023_OffenseRushingSnaps,OFFENSE_2023_OFFENSE_2023_OffenseRunBlockingSnaps,OFFENSE_2023_OFFENSE_2023_OffenseOverallGrade,OFFENSE_2023_OFFENSE_2023_OffensePassingGrade,OFFENSE_2023_OFFENSE_2023_OffensePassBlockingGrade,OFFENSE_2023_OFFENSE_2023_OffenseRushingGrade,OFFENSE_2023_OFFENSE_2023_OffenseRunBlockingGrade,OFFENSE_2023_OFFENSE_2023_OffensePenalties
1.0,CeeDee Lamb,#88,WR,18.0,"1,078",742.0,0.0,15.0,321.0,90.9,91.2,-,77.8,54.3,6 (0)
2.0,Chauncey Golston,#99,DI,1.0,1,1.0,0.0,0.0,0.0,90.4,90.9,-,-,-,0 (0)
3.0,Dak Prescott,#04,QB,18.0,"1,210",784.0,0.0,30.0,396.0,90.0,87.0,-,78.6,60.2,5 (0)
4.0,Tyron Smith,#77,T,14.0,942,0.0,610.0,0.0,332.0,83.7,-,89.3,-,68.4,3 (0)
5.0,Tony Pollard,#20,HB,18.0,903,473.0,115.0,272.0,43.0,77.5,51.4,70.6,84.7,62.8,0 (0)
6.0,Jake Ferguson,#87,TE,18.0,955,613.0,34.0,0.0,308.0,74.5,76.6,73.1,-,59.6,4 (0)
7.0,Tyler Smith,#73,G,15.0,"1,037",0.0,682.0,0.0,355.0,74.4,-,70.2,-,80.7,13 (3)
8.0,Tyler Biadasz,#63,C,17.0,"1,123",0.0,728.0,0.0,395.0,69.2,-,64.6,-,68.3,4 (1)
9.0,Brandin Cooks,#03,WR,17.0,897,635.0,0.0,5.0,257.0,68.8,69.9,-,55.3,43.6,1 (1)
10.0,Zack Martin,#70,G,16.0,"1,003",0.0,655.0,0.0,348.0,68.0,-,75.1,-,62.3,3 (2)
11.0,KaVontae Turpin,#09,WR,17.0,155,101.0,1.0,10.0,43.0,67.7,69.8,66.2,60.0,54.6,1 (0)
12.0,Rico Dowdle,#23,HB,17.0,268,130.0,21.0,93.0,24.0,66.6,59.6,34.1,69.4,60.1,0 (0)
13.0,Jalen Brooks,#83,WR,7.0,77,35.0,0.0,0.0,42.0,65.1,62.3,-,-,74.7,0 (0)
14.0,Asim Richards,#76,T,5.0,40,0.0,16.0,0.0,24.0,64.8,-,63.9,-,63.0,0 (0)
15.0,Michael Gallup,#13,WR,18.0,675,474.0,0.0,0.0,201.0,63.4,64.5,-,-,37.6,0 (0)
16.0,Chuma Edoga,#71,T,13.0,420,0.0,251.0,0.0,169.0,61.4,-,63.7,-,56.8,3 (1)
17.0,Brandon Aubrey,#17,K,1.0,1,1.0,0.0,0.0,0.0,61.0,61.2,-,-,-,0 (0)
18.0,Trent Sieg,#44,LS,1.0,1,0.0,1.0,0.0,0.0,60.0,-,63.8,-,-,0 (0)
19.0,Cooper Rush,#10,QB,7.0,69,28.0,0.0,11.0,30.0,58.0,54.3,-,66.2,60.0,0 (0)
20.0,Hunter Luepke,#40,FB,18.0,154,46.0,7.0,6.0,95.0,56.7,56.0,20.2,68.1,55.6,0 (0)
21.0,Jalen Tolbert,#18,WR,18.0,513,321.0,0.0,0.0,192.0,56.5,58.0,-,-,42.2,1 (0)
22.0,Sean McKeon,#84,TE,9.0,100,33.0,10.0,0.0,57.0,54.8,43.3,79.2,-,61.8,2 (0)
23.0,Matt Waletzko,#79,T,1.0,7,0.0,4.0,0.0,3.0,54.3,-,26.0,-,59.4,0 (0)
24.0,T.J. Bass,#66,G,12.0,344,0.0,190.0,0.0,154.0,54.1,-,54.9,-,54.2,1 (0)
25.0,Bryan Anger,#05,P,1.0,1,1.0,0.0,0.0,0.0,53.8,56.9,-,-,-,0 (0)
26.0,Brock Hoffman,#67,C,8.0,222,0.0,124.0,0.0,98.0,53.7,-,57.0,-,54.3,3 (0)
27.0,Terence Steele,#78,T,18.0,"1,273",0.0,809.0,0.0,464.0,52.3,-,48.9,-,56.5,7 (1)
28.0,Luke Schoonmaker,#86,TE,18.0,388,125.0,37.0,0.0,226.0,49.8,43.6,58.1,-,59.1,1 (0)
29.0,Deuce Vaughn,#42,HB,6.0,61,21.0,9.0,24.0,7.0,46.4,76.0,35.7,40.9,60.0,0 (0)
30.0,Peyton Hendershot,#89,TE,9.0,162,66.0,9.0,1.0,86.0,44.2,41.4,85.1,57.6,56.9,2 (0)
,,,,,,,,,,,,,,,
