Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Noah Igbinoghene,#19,CB,6.0,93.0,12.0,30.0,20.0,3.0,28.0,0.0,76.6,-,-,-,0 (0),0.0,0.0,0.0
C.J. Goodwin,#29,CB,5.0,85.0,13.0,30.0,17.0,12.0,13.0,0.0,76.3,-,-,-,0 (0),3.0,0.0,0.0
Juanyeh Thomas,#30,S,17.0,337.0,69.0,105.0,58.0,42.0,63.0,0.0,75.7,-,-,-,2 (0),3.0,0.0,2.0
Trent Sieg,#44,LS,18.0,140.0,0.0,0.0,0.0,47.0,0.0,93.0,74.5,-,-,-,0 (0),2.0,0.0,0.0
Buddy Johnson,#57,LB,3.0,52.0,16.0,17.0,6.0,6.0,7.0,0.0,73.5,-,-,-,0 (0),1.0,1.0,0.0
Damone Clark,#33,LB,17.0,100.0,15.0,2.0,10.0,15.0,58.0,0.0,72.4,-,-,-,0 (0),1.0,0.0,0.0
Deuce Vaughn,#42,HB,6.0,31.0,10.0,8.0,13.0,0.0,0.0,0.0,69.8,60.0,62.4,-,0 (0),0.0,0.0,0.0
Malik Jefferson,#46,LB,4.0,83.0,21.0,18.0,15.0,14.0,15.0,0.0,68.9,-,-,-,0 (0),1.0,0.0,0.0
Malik Davis,#34,HB,3.0,47.0,16.0,11.0,7.0,13.0,0.0,0.0,68.7,-,-,-,0 (0),1.0,0.0,0.0
Hunter Luepke,#40,FB,18.0,287.0,82.0,111.0,46.0,47.0,1.0,0.0,68.5,55.8,-,-,0 (0),4.0,0.0,5.0
Rico Dowdle,#23,HB,14.0,88.0,26.0,52.0,10.0,0.0,0.0,0.0,68.1,58.1,-,-,0 (0),1.0,0.0,0.0
Markquese Bell,#14,LB,17.0,134.0,18.0,23.0,28.0,12.0,53.0,0.0,67.7,-,-,-,0 (0),0.0,0.0,0.0
Luke Schoonmaker,#86,TE,18.0,233.0,82.0,6.0,5.0,47.0,0.0,93.0,67.1,-,-,-,0 (0),2.0,1.0,1.0
T.J. Bass,#66,G,18.0,93.0,0.0,0.0,0.0,0.0,0.0,93.0,65.3,-,-,-,0 (0),0.0,0.0,0.0
Peyton Hendershot,#89,TE,9.0,118.0,42.0,33.0,20.0,23.0,0.0,0.0,65.1,-,-,-,0 (0),1.0,1.0,0.0
Sean McKeon,#84,TE,9.0,142.0,40.0,55.0,23.0,24.0,0.0,0.0,64.7,-,-,-,1 (0),0.0,1.0,0.0
Bryan Anger,#05,P,18.0,140.0,0.0,0.0,0.0,47.0,0.0,93.0,64.2,-,87.5,-,1 (0),1.0,0.0,0.0
Terence Steele,#78,T,17.0,87.0,0.0,0.0,0.0,0.0,0.0,87.0,64.0,-,-,-,0 (0),0.0,0.0,0.0
Brock Hoffman,#67,C,18.0,93.0,0.0,0.0,0.0,0.0,0.0,93.0,63.5,-,-,-,0 (0),0.0,0.0,0.0
Tyler Smith,#73,G,15.0,69.0,0.0,0.0,0.0,0.0,0.0,69.0,63.3,-,-,-,0 (0),0.0,0.0,0.0
Princeton Fant,#48,TE,2.0,29.0,10.0,17.0,1.0,1.0,0.0,0.0,63.2,-,-,-,0 (0),0.0,0.0,0.0
Dorance Armstrong,#92,ED,18.0,104.0,0.0,0.0,40.0,0.0,64.0,0.0,62.7,-,-,-,0 (0),0.0,0.0,0.0
Dante Fowler Jr.,#56,ED,3.0,6.0,0.0,0.0,4.0,0.0,2.0,0.0,62.7,-,-,-,0 (0),0.0,0.0,0.0
Sam Williams,#54,ED,18.0,321.0,59.0,113.0,60.0,24.0,65.0,0.0,62.6,-,-,-,5 (0),4.0,0.0,1.0
Jalen Tolbert,#18,WR,18.0,289.0,76.0,105.0,51.0,21.0,36.0,0.0,62.5,-,52.5,-,1 (0),2.0,0.0,2.0
Asim Richards,#76,T,7.0,38.0,0.0,0.0,0.0,0.0,0.0,38.0,62.0,-,-,-,0 (0),0.0,0.0,0.0
Tyron Smith,#77,T,3.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,61.7,-,-,-,0 (0),0.0,0.0,0.0
Sheldrick Redwine,#36,S,1.0,12.0,3.0,8.0,0.0,0.0,1.0,0.0,61.5,-,-,-,0 (0),0.0,0.0,0.0
Leighton Vander Esch,#55,LB,5.0,19.0,0.0,0.0,2.0,0.0,17.0,0.0,61.2,-,-,-,0 (0),0.0,0.0,0.0
Brandon Aubrey,#17,K,18.0,207.0,0.0,114.0,0.0,0.0,0.0,93.0,61.1,90.2,-,90.2,0 (0),0.0,0.0,0.0
KaVontae Turpin,#09,WR,17.0,131.0,73.0,2.0,56.0,0.0,0.0,0.0,61.1,67.9,85.3,-,0 (0),0.0,0.0,0.0
Eric Saubert,#47,TE,1.0,14.0,6.0,2.0,4.0,2.0,0.0,0.0,61.1,-,-,-,0 (0),0.0,0.0,0.0
Sean Harlow,#65,C,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,61.0,-,-,-,0 (0),0.0,0.0,0.0
