player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Russell Wilson,2022,5,245.0,49.0,165.0,0.235,300.542747,60.108549,202.40634,00-0029263,2023,DEN,QB,QB,3.0,1988-11-29,SEA,75.0,35.0
Jarrett Stidham,2023,2,10.0,5.0,5.0,0.022,11.36121,5.680605,5.680605,00-0035264,2023,DEN,QB,QB,4.0,1996-08-08,NE,133.0,27.0
Ben DiNucci,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0036384,2023,DEN,QB,QB,11.0,1996-11-24,DAL,231.0,27.0
Samaje Perine,2023,2,7.5,3.75,3.0,0.017,8.520907,4.260454,3.408363,00-0033526,2023,DEN,RB,RB,25.0,1995-09-16,WAS,114.0,28.0
Javonte Williams,2021,4,8.865754,2.216439,6.718251,0.012,12.407198,3.1018,9.40187,00-0036997,2023,DEN,RB,RB,33.0,2000-04-25,DEN,35.0,24.0
Dwayne Washington,2023,1,1.165,1.165,0.0,0.005,1.323581,1.323581,0.0,00-0032450,2023,DEN,RB,RB,39.0,1994-04-24,DET,236.0,30.0
Tyler Badie,2023,1,0.245667,0.245667,0.0,0.001,0.279107,0.279107,0.0,00-0037085,2023,DEN,RB,RB,36.0,1999-02-07,BAL,196.0,25.0
Jaleel McLaughlin,2023,3,2.71,0.903333,0.055,0.004,3.078888,1.026296,0.062487,00-0038794,2023,DEN,RB,RB,38.0,2000-09-13,,,23.0
Michael Burton,2023,1,1.3175,1.3175,1.06625,0.006,1.496839,1.496839,1.211389,00-0031595,2023,DEN,RB,FB,20.0,1992-02-01,DET,168.0,32.0
Courtland Sutton,2021,4,60.0,15.0,34.848944,0.082,83.967123,20.991781,48.769426,00-0034348,2023,DEN,WR,WR,14.0,1995-10-10,DEN,40.0,28.0
Tim Patrick,2021,3,30.0,10.0,18.504,0.055,41.983562,13.994521,25.895461,00-0033375,2023,DEN,WR,WR,12.0,1993-11-23,,,30.0
Jerry Jeudy,2020,5,15.192958,3.79824,15.192958,0.019,19.577606,4.894402,19.577606,00-0036407,2023,DEN,WR,WR,10.0,1999-04-24,DEN,15.0,25.0
Tre'Quan Smith,2023,1,0.2898,0.2898,0.0,0.001,0.329248,0.329248,0.0,00-0034765,2023,DEN,WR,WR,81.0,1996-01-07,NO,91.0,28.0
Marvin Mims,2023,4,6.068634,1.517159,3.189399,0.007,6.894703,1.723676,3.623543,00-0038976,2023,DEN,WR,WR,19.0,2002-03-19,DEN,63.0,22.0
Phillip Dorsett,2023,1,1.165,1.165,0.0,0.005,1.323581,1.323581,0.0,00-0032208,2023,DEN,WR,WR,13.0,1993-01-05,IND,29.0,31.0
Lil'Jordan Humphrey,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0035406,2023,DEN,WR,WR,17.0,1998-04-19,,,26.0
Michael Bandy,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0036959,2023,DEN,WR,WR,83.0,1997-12-05,,,26.0
J.J. Koski,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0035935,2023,DEN,WR,WR,43.0,1996-12-27,,,27.0
Kendall Hinton,2022,2,1.765,0.8825,0.0,0.004,2.165134,1.082567,0.0,00-0035864,2023,DEN,WR,WR,9.0,1997-02-19,,,27.0
David Sills,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0035359,2023,DEN,WR,WR,87.0,1996-05-29,,,27.0
Jalen Virgil,2022,3,2.5725,0.8575,0.0425,0.004,3.155699,1.0519,0.052135,00-0037387,2023,DEN,WR,WR,15.0,1998-07-13,,,25.0
Brandon Johnson,2022,3,2.565,0.855,0.01,0.004,3.146499,1.048833,0.012267,00-0037382,2023,DEN,WR,WR,89.0,1998-07-26,,,25.0
Taylor Grimes,2023,3,2.697,0.899,0.002,0.004,3.064118,1.021373,0.002272,00-0038789,2023,DEN,WR,WR,13.0,,,,
Nick Williams,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,00-0039045,2023,DEN,WR,WR,86.0,,,,
Chris Manhertz,2023,2,6.0,3.0,3.34,0.013,6.816726,3.408363,3.794644,00-0031484,2023,DEN,TE,TE,84.0,1992-04-10,,,32.0
Adam Trautman,2023,1,1.5,1.5,1.5,0.007,1.704181,1.704181,1.704181,00-0036422,2023,DEN,TE,TE,82.0,1997-02-05,NO,105.0,27.0
Greg Dulcich,2022,4,5.25914,1.314785,1.004828,0.006,6.451414,1.612853,1.232628,00-0037252,2023,DEN,TE,TE,80.0,2000-03-26,DEN,80.0,24.0
Lucas Krull,2023,2,1.665,0.8325,0.0,0.004,1.891641,0.945821,0.0,00-0037539,2023,DEN,TE,TE,85.0,1998-07-11,,,25.0
Johnny Lumpkin,2023,3,2.705,0.901667,0.03,0.004,3.073207,1.024403,0.034084,00-0038913,2023,DEN,TE,TE,84.0,1997-09-03,,,26.0
Nate Adkins,2023,3,2.705,0.901667,0.075,0.004,3.073207,1.024403,0.085209,00-0038783,2023,DEN,TE,TE,45.0,1999-07-09,,,24.0
Garett Bolles,2020,4,68.0,17.0,40.0,0.086,87.624622,21.906155,51.543895,00-0033538,2023,DEN,OL,T,72.0,1992-05-27,DEN,20.0,31.0
Cameron Fleming,2023,1,2.5,2.5,0.85,0.011,2.840302,2.840302,0.965703,00-0031067,2023,DEN,OL,T,73.0,1992-09-03,NE,140.0,31.0
Alex Palczewski,2023,3,2.715,0.905,0.08,0.004,3.084569,1.02819,0.09089,00-0038796,2023,DEN,OL,T,63.0,1999-08-03,,,24.0
Ben Powers,2023,4,52.0,13.0,28.5,0.058,59.078292,14.769573,32.379448,00-0034978,2023,DEN,OL,G,74.0,1996-10-29,BAL,123.0,27.0
William Sherman,2023,1,0.216,0.216,0.0,0.001,0.245402,0.245402,0.0,00-0036535,2023,DEN,OL,G,78.0,1999-05-27,NE,197.0,24.0
Luke Wattenberg,2022,4,3.947716,0.986929,0.287716,0.005,4.842683,1.210671,0.352943,00-0037278,2023,DEN,OL,C,60.0,1997-09-10,DEN,171.0,26.0
Lloyd Cushenberry,2020,4,4.57684,1.14421,0.946176,0.006,5.897704,1.474426,1.21924,00-0036391,2023,DEN,OL,C,79.0,1997-11-22,DEN,83.0,26.0
Alex Forsyth,2023,4,3.917784,0.979446,0.077784,0.004,4.451077,1.112769,0.088372,00-0038649,2023,DEN,OL,C,76.0,1999-02-13,DEN,257.0,25.0
Quinn Meinerz,2021,4,4.716455,1.179114,0.840616,0.006,6.600453,1.650114,1.176402,00-0037001,2023,DEN,OL,G,77.0,1998-11-15,DEN,98.0,25.0
Quinn Bailey,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0034929,2023,DEN,OL,G,75.0,1995-10-18,,,28.0
Zach Allen,2023,1,0.102,0.102,0.0,0.0,0.115884,0.115884,0.0,00-0035248,2023,DEN,DL,DE,99.0,1997-08-20,ARI,65.0,26.0
Mike McGlinchey,2023,5,87.5,17.5,52.5,0.078,99.410587,19.882117,59.646352,00-0034847,2023,DEN,OL,T,69.0,1995-01-12,SF,9.0,29.0
Demontrey Jacobs,2023,3,2.71,0.903333,0.055,0.004,3.078888,1.026296,0.062487,00-0038792,2023,DEN,OL,T,71.0,1998-11-22,,,25.0
