Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside
Baron Browning,#56,ED,10.0,445,164.0,246.0,35.0,74.5,80.7,53.8,74.7,46.4,35.0,5.0,5.0,25.0,2.0,18.0,3.0,4.0,16.0,16.0,2.0,6.0,3.0,50.0,18.0,6.0,9.0,13.0,0.0,0.0,0.0,56.3,4 (0),439.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,439.0
Zach Allen,#99,DI,17.0,913,349.0,560.0,4.0,71.9,66.6,42.5,68.8,63.4,60.0,7.0,15.0,38.0,1.0,38.0,17.0,7.0,11.3,36.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,2 (0),909.0,2.0,0.0,0.0,0.0,15.0,282.0,489.0,123.0
Tremon Smith,#01,CB,3.0,4,3.0,0.0,1.0,69.8,60.0,-,-,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pat Surtain II,#02,CB,17.0,"1,121",446.0,6.0,669.0,69.0,78.7,84.4,74.0,64.7,1.0,0.0,0.0,1.0,0.0,63.0,10.0,3.0,3.9,16.0,0.0,89.0,56.0,62.9,701.0,12.5,212.0,68.0,3.0,1.0,9.0,93.9,6 (0),0.0,92.0,0.0,29.0,999.0,0.0,0.0,0.0,0.0
Ja'Quan McMillian,#29,CB,15.0,669,209.0,21.0,439.0,68.4,84.9,55.0,67.7,62.1,8.0,2.0,1.0,5.0,0.0,42.0,9.0,11.0,17.7,24.0,2.0,67.0,41.0,61.2,469.0,11.4,258.0,41.0,8.0,2.0,2.0,109.4,2 (1),5.0,41.0,0.0,605.0,17.0,0.0,0.0,0.0,5.0
Justin Simmons,#31,S,15.0,985,378.0,10.0,597.0,67.9,77.6,72.1,71.3,63.4,1.0,1.0,0.0,0.0,0.0,59.0,8.0,9.0,11.8,16.0,2.0,36.0,23.0,63.9,324.0,14.1,95.0,59.0,3.0,3.0,5.0,85.9,1 (0),13.0,230.0,594.0,144.0,3.0,0.0,0.0,0.0,13.0
Kareem Jackson,#22,S,8.0,480,206.0,1.0,273.0,67.5,49.6,68.1,62.8,76.1,0.0,0.0,0.0,0.0,0.0,42.0,8.0,5.0,9.1,6.0,0.0,16.0,12.0,75.0,111.0,9.3,41.0,19.0,1.0,2.0,2.0,74.7,4 (0),4.0,121.0,271.0,75.0,9.0,0.0,0.0,0.0,4.0
Josey Jewell,#47,LB,16.0,796,320.0,72.0,404.0,67.2,63.1,75.5,71.6,64.2,12.0,3.0,1.0,8.0,0.0,67.0,33.0,9.0,8.3,33.0,2.0,41.0,35.0,85.4,352.0,10.1,226.0,37.0,1.0,0.0,3.0,110.6,1 (0),6.0,729.0,0.0,59.0,1.0,0.0,0.0,0.0,6.0
Riley Moss,#37,CB,8.0,25,3.0,1.0,21.0,66.5,60.0,84.2,59.1,65.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,39.6,0 (0),0.0,8.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0
Jonathon Cooper,#00,ED,17.0,836,333.0,421.0,82.0,65.2,65.7,61.9,71.0,36.0,55.0,9.0,6.0,40.0,1.0,44.0,18.0,9.0,12.7,32.0,1.0,13.0,12.0,92.3,125.0,10.4,72.0,24.0,0.0,1.0,0.0,74.7,3 (0),821.0,9.0,0.0,4.0,1.0,0.0,2.0,0.0,819.0
