DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Rank,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Player,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_JerseyNumber,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Position,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_GamesPlayed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_PassRushSnaps,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnaps,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageGrade,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePenalties,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTargets,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageReceptionsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageReceptionPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsPerReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsAfterCatchAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageAverageDepthOfTarget,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageLongestReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageForcedIncompletions,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageForcedIncompletionPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePassBreakups,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageInterceptions,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageDrops,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTouchdownsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePasserRatingAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPerTarget,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPerReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTackles,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageAssists,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageMissedTackles,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageMissedTacklePercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageStops
1.0,D.J. Jones,#93,DI,16.0,332.0,2.0,0.6,76.2,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,6.0,1.0,3.0,30.0,6.0
2.0,Kareem Jackson,#22,S,8.0,274.0,273.0,99.6,76.1,4 (0),16.0,12.0,75.0,111.0,9.3,41.0,7.1,19.0,2.0,13.0,2.0,2.0,0.0,1.0,74.7,16.2,21.6,29.0,1.0,0.0,0.0,5.0
3.0,Riley Moss,#37,CB,8.0,22.0,21.0,95.5,65.0,0 (0),1.0,0.0,0.0,0.0,,0.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,39.6,19.0,,0.0,2.0,0.0,0.0,0.0
4.0,Pat Surtain II,#02,CB,17.0,675.0,669.0,99.1,64.7,6 (0),89.0,56.0,62.9,701.0,12.5,212.0,11.2,68.0,11.0,12.0,9.0,1.0,1.0,3.0,93.9,7.1,11.3,49.0,5.0,2.0,3.6,12.0
5.0,Josey Jewell,#47,LB,16.0,476.0,404.0,84.9,64.2,1 (0),41.0,35.0,85.4,352.0,10.1,226.0,3.9,37.0,4.0,10.0,3.0,0.0,1.0,1.0,110.6,9.4,11.0,34.0,4.0,4.0,9.5,16.0
6.0,Zach Allen,#99,DI,17.0,564.0,4.0,0.7,63.4,2 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,2.0,2.0,2.0,33.3,6.0
6.0,Justin Simmons,#31,S,15.0,607.0,597.0,98.4,63.4,1 (0),36.0,23.0,63.9,324.0,14.1,95.0,11.8,59.0,6.0,17.0,5.0,3.0,1.0,3.0,85.9,15.7,24.6,36.0,1.0,4.0,9.8,10.0
6.0,Frank Clark,#55,ED,2.0,30.0,3.0,10.0,63.4,1 (0),1.0,1.0,100.0,5.0,5.0,6.0,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,3.0,3.0,2.0,0.0,0.0,0.0,1.0
9.0,Fabian Moreau,#23,CB,15.0,467.0,465.0,99.6,62.9,5 (0),57.0,38.0,66.7,506.0,13.3,155.0,11.8,57.0,6.0,11.0,5.0,1.0,0.0,0.0,87.3,7.8,11.7,33.0,2.0,3.0,7.9,10.0
10.0,Ja'Quan McMillian,#29,CB,15.0,460.0,439.0,95.4,62.1,2 (1),67.0,41.0,61.2,469.0,11.4,258.0,7.6,41.0,3.0,5.0,2.0,2.0,0.0,8.0,109.4,6.2,10.2,26.0,3.0,7.0,19.4,12.0
11.0,Jonathan Harris,#92,DI,17.0,297.0,2.0,0.7,60.5,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,33.3,2.0
