DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Rank,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Player,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_JerseyNumber,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Position,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_GamesPlayed,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushTotalSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSnapsPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushGrade,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushPenalties,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushTotalPressures,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSacks,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushHits,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushHurries,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushPressureRate,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushWinPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushBattedPasses,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetTotalSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSnapsPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetGrade,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetTotalPressures,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSacks,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetHits,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetHurries,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetPressureRate,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetWinPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetBattedPasses
1.0,P.J. Locke,#06,S,12.0,345.0,11.0,3.2,93.3,2 (0),3.0,3.0,0.0,0.0,27.3,18.2,0.0,170.0,5.0,2.9,95.2,2.0,2.0,0.0,0.0,40.0,40.0,0.0
2.0,Delarrin Turner-Yell,#32,S,8.0,108.0,3.0,2.8,81.8,0 (0),2.0,0.0,1.0,1.0,33.3,33.3,0.0,53.0,3.0,5.7,67.3,1.0,0.0,0.0,1.0,16.7,33.3,0.0
3.0,Alex Singleton,#49,LB,17.0,656.0,83.0,12.7,75.9,2 (0),13.0,2.0,4.0,7.0,9.5,17.7,0.0,320.0,37.0,11.6,70.0,8.0,1.0,1.0,6.0,13.2,20.6,0.0
4.0,Baron Browning,#56,ED,10.0,281.0,246.0,87.5,74.7,4 (0),35.0,5.0,5.0,25.0,8.6,12.5,2.0,141.0,124.0,87.9,75.9,22.0,4.0,4.0,14.0,11.1,16.2,1.0
5.0,Pat Surtain II,#02,CB,17.0,675.0,6.0,0.9,74.0,6 (0),1.0,0.0,0.0,1.0,10.0,20.0,0.0,326.0,1.0,0.3,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,Josey Jewell,#47,LB,16.0,476.0,72.0,15.1,71.6,1 (0),12.0,3.0,1.0,8.0,11.2,10.4,0.0,225.0,40.0,17.8,81.9,11.0,3.0,1.0,7.0,18.9,13.5,0.0
7.0,Justin Simmons,#31,S,15.0,607.0,10.0,1.6,71.3,1 (0),1.0,1.0,0.0,0.0,11.1,0.0,0.0,300.0,3.0,1.0,69.3,1.0,1.0,0.0,0.0,33.3,0.0,0.0
8.0,Jonathon Cooper,#00,ED,17.0,503.0,421.0,83.7,71.0,3 (0),55.0,9.0,6.0,40.0,8.2,12.0,1.0,245.0,219.0,89.4,71.3,33.0,9.0,4.0,20.0,10.3,14.3,1.0
9.0,Nik Bonitto,#42,ED,15.0,326.0,276.0,84.7,69.5,1 (0),47.0,9.0,12.0,26.0,10.7,13.0,0.0,161.0,147.0,91.3,72.0,27.0,5.0,6.0,16.0,11.4,17.9,0.0
10.0,Zach Allen,#99,DI,17.0,564.0,560.0,99.3,68.8,2 (0),60.0,7.0,15.0,38.0,6.4,11.4,1.0,284.0,284.0,100.0,70.2,42.0,4.0,10.0,28.0,8.6,15.0,0.0
11.0,Ja'Quan McMillian,#29,CB,15.0,460.0,21.0,4.6,67.7,2 (1),8.0,2.0,1.0,5.0,23.8,9.5,0.0,257.0,11.0,4.3,74.3,4.0,1.0,1.0,2.0,22.7,9.1,0.0
11.0,Elijah Garcia,#95,DI,3.0,14.0,14.0,100.0,67.7,0 (0),2.0,1.0,0.0,1.0,10.7,7.1,0.0,7.0,7.0,100.0,72.0,2.0,1.0,0.0,1.0,21.4,14.3,0.0
13.0,Kareem Jackson,#22,S,8.0,274.0,1.0,0.4,62.8,4 (0),0.0,0.0,0.0,0.0,0.0,100.0,0.0,127.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
14.0,Riley Moss,#37,CB,8.0,22.0,1.0,4.5,59.1,0 (0),0.0,0.0,0.0,0.0,,,0.0,13.0,1.0,7.7,59.1,0.0,0.0,0.0,0.0,,,0.0
15.0,JL Skinner,#34,S,1.0,1.0,1.0,100.0,58.5,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,D.J. Jones,#93,DI,16.0,332.0,330.0,99.4,58.5,0 (0),18.0,2.0,2.0,14.0,3.2,5.2,0.0,157.0,157.0,100.0,54.8,11.0,1.0,2.0,8.0,4.1,6.9,0.0
17.0,Mike Purcell,#98,DI,16.0,214.0,208.0,97.2,57.8,2 (1),8.0,0.0,5.0,3.0,2.1,3.6,3.0,65.0,63.0,96.9,59.8,3.0,0.0,3.0,0.0,2.5,4.9,1.0
18.0,Fabian Moreau,#23,CB,15.0,467.0,2.0,0.4,54.6,5 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,1.0,0.4,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,Matt Henningsen,#91,DI,17.0,112.0,112.0,100.0,54.2,0 (0),4.0,0.0,1.0,3.0,1.8,1.8,2.0,41.0,41.0,100.0,56.5,1.0,0.0,0.0,1.0,1.2,2.4,2.0
20.0,Randy Gregory,#05,ED,4.0,83.0,79.0,95.2,53.8,2 (0),7.0,1.0,1.0,5.0,5.4,5.4,1.0,37.0,36.0,97.3,51.5,4.0,1.0,0.0,3.0,7.6,6.1,0.0
21.0,Essang Bassey,#27,CB,4.0,91.0,3.0,3.3,53.5,1 (0),1.0,0.0,1.0,0.0,16.7,0.0,0.0,48.0,1.0,2.1,59.0,1.0,0.0,1.0,0.0,50.0,0.0,0.0
22.0,Damarri Mathis,#27,CB,11.0,256.0,3.0,1.2,53.4,4 (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,2.0,1.6,54.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,Ronnie Perkins,#51,ED,7.0,84.0,65.0,77.4,52.4,1 (0),5.0,0.0,1.0,4.0,3.9,3.1,0.0,28.0,24.0,85.7,49.8,1.0,0.0,0.0,1.0,2.2,0.0,0.0
24.0,Drew Sanders,#41,LB,14.0,147.0,73.0,49.7,52.3,1 (0),5.0,0.0,0.0,5.0,3.5,7.0,0.0,70.0,41.0,58.6,58.8,4.0,0.0,0.0,4.0,5.1,12.8,0.0
25.0,Thomas Incoom,#59,ED,3.0,9.0,9.0,100.0,51.5,1 (1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,52.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,Tyler Lancaster,#96,DI,3.0,21.0,20.0,95.2,51.5,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,Jonathan Harris,#92,DI,17.0,297.0,295.0,99.3,51.3,0 (0),13.0,1.0,2.0,10.0,2.5,5.3,0.0,134.0,133.0,99.3,56.2,9.0,1.0,1.0,7.0,3.9,8.5,0.0
28.0,Frank Clark,#55,ED,2.0,30.0,27.0,90.0,50.8,1 (0),0.0,0.0,0.0,0.0,0.0,4.2,0.0,18.0,17.0,94.4,53.2,0.0,0.0,0.0,0.0,0.0,6.3,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
