DEFENSE-RUN_2023_DEFENSE-RUN_2023_Rank,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Player,DEFENSE-RUN_2023_DEFENSE-RUN_2023_JerseyNumber,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Position,DEFENSE-RUN_2023_DEFENSE-RUN_2023_GamesPlayed,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseSnaps,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseGrade,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAssists,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTacklePercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStops,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStopPercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseForcedFumbles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAverageDepthOfTackle,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefensePenalties
1.0,Ja'Quan McMillian,#29,CB,15.0,209.0,84.9,16.0,6.0,4.0,15.4,12.0,5.9,0.0,3.9,2 (1)
2.0,Baron Browning,#56,ED,10.0,164.0,80.7,13.0,3.0,1.0,5.9,9.0,5.7,1.0,3.0,4 (0)
3.0,Pat Surtain II,#02,CB,17.0,446.0,78.7,14.0,5.0,1.0,5.0,4.0,0.9,0.0,9.8,6 (0)
4.0,Alex Singleton,#49,LB,17.0,433.0,78.2,63.0,39.0,16.0,13.6,31.0,7.4,0.0,4.4,2 (0)
5.0,Justin Simmons,#31,S,15.0,378.0,77.6,23.0,7.0,5.0,14.3,6.0,1.6,1.0,7.5,1 (0)
6.0,P.J. Locke,#06,S,12.0,193.0,74.8,10.0,14.0,3.0,11.1,3.0,1.6,0.0,8.6,2 (0)
7.0,Zach Allen,#99,DI,17.0,349.0,66.6,36.0,15.0,5.0,8.9,30.0,8.8,0.0,1.8,2 (0)
8.0,Jonathon Cooper,#00,ED,17.0,333.0,65.7,29.0,17.0,3.0,6.1,18.0,5.6,0.0,3.6,3 (0)
9.0,Josey Jewell,#47,LB,16.0,320.0,63.1,33.0,29.0,5.0,7.5,17.0,5.5,0.0,5.4,1 (0)
10.0,Marvin Mims Jr.,#19,WR,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
10.0,Michael Bandy,#83,WR,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
10.0,Nate Adkins,#45,TE,2.0,2.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
10.0,Riley Moss,#37,CB,2.0,3.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0 (0)
10.0,Caden Sterns,#30,S,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
10.0,Ben Niemann,#57,LB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
10.0,Justin Strnad,#40,LB,3.0,3.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
10.0,Tremon Smith,#01,CB,3.0,3.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
10.0,Dwayne Washington,#39,HB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
10.0,Michael Burton,#20,FB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
10.0,Frank Clark,#55,ED,1.0,6.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1 (0)
21.0,Randy Gregory,#05,ED,4.0,71.0,59.3,3.0,4.0,0.0,0.0,2.0,2.9,0.0,4.0,2 (0)
22.0,Fabian Moreau,#23,CB,11.0,272.0,55.5,7.0,4.0,2.0,15.4,1.0,0.4,0.0,8.0,5 (0)
23.0,Nik Bonitto,#42,ED,15.0,198.0,53.9,18.0,3.0,9.0,30.0,14.0,7.3,0.0,1.8,1 (0)
24.0,Jonathan Harris,#92,DI,17.0,232.0,52.8,29.0,12.0,1.0,2.4,19.0,8.5,0.0,4.2,0 (0)
25.0,Mike Purcell,#98,DI,16.0,249.0,50.4,16.0,10.0,5.0,16.1,12.0,5.0,0.0,2.3,2 (1)
26.0,Kareem Jackson,#22,S,8.0,206.0,49.6,13.0,7.0,5.0,20.0,1.0,0.5,0.0,8.2,4 (0)
27.0,D.J. Jones,#93,DI,16.0,236.0,49.0,29.0,6.0,10.0,22.2,20.0,8.6,2.0,2.4,0 (0)
28.0,Thomas Incoom,#59,ED,3.0,11.0,48.6,1.0,1.0,1.0,33.3,0.0,0.0,0.0,8.0,1 (1)
29.0,Matt Henningsen,#91,DI,17.0,114.0,46.1,13.0,3.0,3.0,15.8,7.0,6.3,0.0,3.6,0 (0)
30.0,Drew Sanders,#41,LB,12.0,113.0,46.0,9.0,5.0,4.0,22.2,6.0,5.4,0.0,3.4,1 (0)
31.0,Ronnie Perkins,#51,ED,7.0,65.0,40.3,7.0,3.0,2.0,16.7,3.0,4.7,0.0,2.6,1 (0)
32.0,Elijah Garcia,#95,DI,3.0,17.0,37.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0 (0)
33.0,Essang Bassey,#27,CB,4.0,52.0,35.5,2.0,3.0,4.0,44.4,1.0,2.0,0.0,5.0,1 (0)
34.0,Damarri Mathis,#27,CB,9.0,184.0,34.2,8.0,4.0,7.0,36.8,2.0,1.1,0.0,13.0,4 (2)
35.0,Delarrin Turner-Yell,#32,S,6.0,104.0,33.1,10.0,4.0,7.0,33.3,3.0,2.9,0.0,8.2,0 (0)
36.0,Tyler Lancaster,#96,DI,3.0,21.0,29.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0 (0)
,,,,,,,,,,,,,,,
