RECEIVING_2023_RECEIVING_2023_Rank,RECEIVING_2023_RECEIVING_2023_Player,RECEIVING_2023_RECEIVING_2023_JerseyNumber,RECEIVING_2023_RECEIVING_2023_Position,RECEIVING_2023_RECEIVING_2023_GamesPlayed,RECEIVING_2023_RECEIVING_2023_ReceivingTargets,RECEIVING_2023_RECEIVING_2023_ReceivingReceptions,RECEIVING_2023_RECEIVING_2023_ReceivingReceptionPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYards,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingTouchdowns,RECEIVING_2023_RECEIVING_2023_ReceivingOverallGrade,RECEIVING_2023_RECEIVING_2023_ReceivingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingDrops,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingPassSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingRoutesRun,RECEIVING_2023_RECEIVING_2023_ReceivingTargetPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnapsPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlot,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlotPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWide,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWidePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInline,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInlinePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatch,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatchPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerRouteRun,RECEIVING_2023_RECEIVING_2023_ReceivingAverageDepthOfTarget,RECEIVING_2023_RECEIVING_2023_ReceivingLongestReception,RECEIVING_2023_RECEIVING_2023_ReceivingDrops.1,RECEIVING_2023_RECEIVING_2023_ReceivingDropPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingContestedTargets,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatches,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatchPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingInterceptionsThrownWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles.1,RECEIVING_2023_RECEIVING_2023_ReceivingMissedTacklesForced,RECEIVING_2023_RECEIVING_2023_ReceivingFirstDowns,RECEIVING_2023_RECEIVING_2023_ReceivingPasserRatingWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingPenalties
1.0,Jaleel McLaughlin,#38,HB,16.0,36.0,31.0,86.1,160.0,5.2,2.0,86.2,85.2,88.3,87.0,34.6,108.0,98.0,90.7,6.0,5.6,11.0,10.2,27.0,25.0,1.0,0.9,293.0,9.5,1.63,-3.9,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,5.0,103.7,0 (0)
2.0,Samaje Perine,#25,HB,17.0,53.0,50.0,94.3,455.0,9.1,0.0,71.3,81.0,86.5,61.8,31.1,287.0,218.0,76.0,54.0,18.8,14.0,4.9,18.0,6.3,3.0,1.0,461.0,9.2,2.09,-0.3,29.0,1.0,2.0,1.0,1.0,100.0,0.0,2.0,19.0,23.0,102.4,0 (0)
3.0,Courtland Sutton,#14,WR,16.0,87.0,59.0,67.8,777.0,13.2,10.0,75.6,75.2,52.3,21.7,80.7,506.0,468.0,92.5,3.0,0.6,110.0,21.7,391.0,77.3,5.0,1.0,166.0,2.8,1.66,13.0,46.0,7.0,10.6,21.0,12.0,57.1,2.0,3.0,3.0,37.0,124.5,6 (0)
4.0,Jerry Jeudy,#10,WR,16.0,84.0,54.0,64.3,758.0,14.0,2.0,67.8,68.1,67.2,40.4,-,492.0,460.0,93.5,0.0,0.0,291.0,59.1,196.0,39.8,0.0,0.0,317.0,5.9,1.65,13.6,47.0,4.0,6.9,13.0,3.0,23.1,3.0,1.0,14.0,28.0,86.3,0 (0)
5.0,Greg Dulcich,#80,TE,2.0,4.0,3.0,75.0,25.0,8.3,0.0,66.9,67.8,70.5,65.8,83.7,24.0,20.0,83.3,3.0,12.5,13.0,54.2,2.0,8.3,8.0,33.3,4.0,1.3,1.25,6.3,13.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,2.0,51.0,0 (0)
6.0,Brandon Johnson,#89,WR,13.0,28.0,19.0,67.9,284.0,14.9,4.0,64.1,64.6,46.6,74.4,-,232.0,217.0,93.5,0.0,0.0,54.0,23.3,178.0,76.7,0.0,0.0,90.0,4.7,1.31,11.9,50.0,2.0,9.5,7.0,3.0,42.9,0.0,0.0,4.0,12.0,140.5,3 (0)
6.0,Marvin Mims Jr.,#19,WR,16.0,32.0,22.0,68.8,377.0,17.1,1.0,63.1,64.6,73.7,62.8,-,264.0,245.0,92.8,0.0,0.0,75.0,28.4,187.0,70.8,0.0,0.0,156.0,7.1,1.54,15.2,60.0,1.0,4.3,7.0,2.0,28.6,1.0,0.0,4.0,9.0,105.9,1 (0)
8.0,Javonte Williams,#33,HB,16.0,55.0,47.0,85.5,228.0,4.9,2.0,63.3,61.9,63.0,83.3,27.8,229.0,170.0,74.2,48.0,21.0,3.0,1.3,3.0,1.3,4.0,1.7,309.0,6.6,1.34,-1.7,18.0,4.0,7.8,1.0,1.0,100.0,0.0,1.0,5.0,10.0,96.1,1 (0)
9.0,Lucas Krull,#85,TE,7.0,13.0,8.0,61.5,95.0,11.9,1.0,60.5,60.0,77.3,70.6,19.5,139.0,130.0,93.5,3.0,2.2,63.0,45.3,19.0,13.7,57.0,41.0,50.0,6.3,0.73,11.4,35.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0,77.4,0 (0)
10.0,Nate Adkins,#45,TE,10.0,5.0,4.0,80.0,22.0,5.5,0.0,55.0,59.2,72.1,67.0,40.7,34.0,25.0,73.5,7.0,20.6,7.0,20.6,7.0,20.6,16.0,47.1,24.0,6.0,0.88,-1.0,11.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,85.0,1 (0)
