Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties,Team
Russell Wilson,#03,QB,15.0,938,568.0,0.0,45.0,325.0,77.5,72.5,-,80.3,60.0,2 (0),denver-broncos
Chris Manhertz,#84,TE,16.0,367,67.0,66.0,0.0,234.0,56.5,44.2,73.1,-,58.5,1 (0),denver-broncos
Michael Burton,#20,FB,17.0,189,52.0,24.0,9.0,104.0,64.2,49.7,84.0,75.2,61.9,2 (1),denver-broncos
Phillip Dorsett,#13,WR,2.0,34,21.0,0.0,0.0,13.0,46.2,46.4,-,-,58.7,0 (0),denver-broncos
Dwayne Washington,#39,HB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0),denver-broncos
Samaje Perine,#25,HB,17.0,360,233.0,54.0,55.0,18.0,71.3,81.0,31.1,72.5,59.3,0 (0),denver-broncos
Garett Bolles,#72,T,17.0,"1,073",0.0,649.0,0.0,424.0,75.9,-,83.8,-,64.3,8 (0),denver-broncos
Courtland Sutton,#14,WR,16.0,782,503.0,3.0,0.0,276.0,75.6,75.2,80.7,-,66.3,6 (0),denver-broncos
Tre'Quan Smith,#81,WR,1.0,10,4.0,0.0,0.0,6.0,56.0,56.0,-,-,60.9,0 (0),denver-broncos
Mike McGlinchey,#69,T,16.0,947,0.0,569.0,0.0,378.0,67.5,-,63.5,-,74.8,9 (1),denver-broncos
Quinn Bailey,#75,G,15.0,77,2.0,13.0,0.0,62.0,42.0,53.9,79.3,-,42.5,1 (0),denver-broncos
Ben Powers,#74,G,17.0,"1,068",0.0,649.0,0.0,419.0,61.5,-,62.1,-,59.7,3 (0),denver-broncos
Jarrett Stidham,#04,QB,3.0,134,81.0,0.0,6.0,47.0,55.5,58.5,-,45.0,60.3,1 (0),denver-broncos
Lil'Jordan Humphrey,#17,WR,17.0,428,238.0,4.0,0.0,186.0,60.4,58.8,46.2,-,65.5,1 (0),denver-broncos
Jerry Jeudy,#10,WR,16.0,662,492.0,0.0,0.0,170.0,67.8,68.1,-,-,46.1,0 (0),denver-broncos
Adam Trautman,#82,TE,17.0,755,376.0,59.0,0.0,320.0,53.2,49.2,62.1,-,60.1,3 (1),denver-broncos
Michael Bandy,#83,WR,1.0,2,2.0,0.0,0.0,0.0,55.8,57.4,-,-,-,0 (0),denver-broncos
Javonte Williams,#33,HB,16.0,493,181.0,48.0,223.0,41.0,63.3,61.9,27.8,64.9,57.6,1 (0),denver-broncos
Quinn Meinerz,#77,G,17.0,"1,038",0.0,634.0,0.0,404.0,83.7,-,67.8,-,88.7,4 (0),denver-broncos
Greg Dulcich,#80,TE,2.0,32,21.0,3.0,0.0,8.0,66.9,67.8,83.7,-,49.4,0 (0),denver-broncos
Luke Wattenberg,#60,G,4.0,39,0.0,17.0,0.0,22.0,57.9,-,33.0,-,61.7,0 (0),denver-broncos
Brandon Johnson,#89,WR,13.0,343,232.0,0.0,0.0,111.0,64.1,64.6,-,-,53.7,3 (0),denver-broncos
Lucas Krull,#85,TE,7.0,166,136.0,3.0,0.0,27.0,60.5,60.0,19.5,-,67.3,0 (0),denver-broncos
Nate Adkins,#45,TE,10.0,60,27.0,7.0,0.0,26.0,55.0,59.2,40.7,-,51.2,1 (0),denver-broncos
Jaleel McLaughlin,#38,HB,17.0,193,102.0,6.0,77.0,8.0,86.2,85.2,34.6,82.8,60.0,0 (0),denver-broncos
