"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2023,"REG","DET",1,"00-0035219","DT","Isaiah Buggs","Isaiah","Buggs",NA,NA,NA,"Illness",NA,"Full Participation in Practice",2023-09-06 20:47:39
2023,"REG","DET",1,"00-0036993","S","Ifeatu Melifonwu","Ifeatu","Melifonwu",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2023-09-06 20:47:39
2023,"REG","DET",1,"00-0034345","C","Frank Ragnow","Frank","Ragnow",NA,NA,NA,"Toe","Not injury related - resting p","Full Participation in Practice",2023-09-06 20:48:34
2023,"REG","DET",1,"00-0034096","CB","Emmanuel Moseley","Emmanuel","Moseley","Knee",NA,"Out","Knee",NA,"Limited Participation in Practice",2023-09-06 20:49:21
2023,"REG","DET",2,"00-0034345","C","Frank Ragnow","Frank","Ragnow",NA,NA,NA,"Toe","Not injury related - resting p","Did Not Participate In Practice",2023-09-15 19:53:42
2023,"REG","DET",2,"00-0036124","CB","Khalil Dorsey","Khalil","Dorsey","Illness",NA,"Out","Illness",NA,"Did Not Participate In Practice",2023-09-15 19:56:42
2023,"REG","DET",2,"00-0034096","CB","Emmanuel Moseley","Emmanuel","Moseley","Knee","Hamstring","Out","Knee","Hamstring","Did Not Participate In Practice",2023-09-15 19:56:47
2023,"REG","DET",2,"00-0038096","DE","Josh Paschal","Josh","Paschal","Knee",NA,"Out","Knee",NA,"Did Not Participate In Practice",2023-09-15 19:53:54
2023,"REG","DET",2,"00-0032381","T","Taylor Decker","Taylor","Decker","Ankle",NA,"Doubtful","Ankle",NA,"Did Not Participate In Practice",2023-09-15 19:53:58
2023,"REG","DET",3,"00-0038627","WR","Antoine Green","Antoine","Green",NA,NA,NA,"gameday concussion protocol evaluation",NA,"Full Participation in Practice",2023-09-20 19:47:31
2023,"REG","DET",3,"00-0034345","C","Frank Ragnow","Frank","Ragnow",NA,NA,NA,"Toe","Not injury related - resting p","Full Participation in Practice",2023-09-22 19:54:18
2023,"REG","DET",3,"00-0032381","T","Taylor Decker","Taylor","Decker","Ankle",NA,"Out","Ankle",NA,"Did Not Participate In Practice",2023-09-22 19:54:31
2023,"REG","DET",3,"00-0037667","S","Kerby Joseph","Kerby","Joseph","Hip",NA,"Out","Hip",NA,"Did Not Participate In Practice",2023-09-22 19:54:35
2023,"REG","DET",3,"00-0034096","CB","Emmanuel Moseley","Emmanuel","Moseley","Knee","Hamstring","Out","Knee","Hamstring","Did Not Participate In Practice",2023-09-22 19:54:43
2023,"REG","DET",3,"00-0032785","G","Halapoulivaati Vaitai","Halapoulivaati","Vaitai","Knee",NA,"Out","Knee",NA,"Did Not Participate In Practice",2023-09-22 19:54:51
