Player,JerseyNumber,Position,GamesPlayed,RushingTotalSnaps,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingFumbles,RushingOverallGrade,RushingGrade,RushingFumbles.1,RushingRunBlockingGrade,RushingYardsAfterContact,RushingYardsAfterContactPerAttempt,RushingMissedTacklesForced,RushingLongestRush,Rushing10PlusYardRuns,RushingYardsInZoneScheme,RushingYardsInGapScheme,RushingScrambles,RushingScrambleYards,RushingDesignedYards,Rushing15PlusYardRuns,RushingBreakawayYards,RushingBreakawayPercentage,RushingFirstDowns,RushingPenalties,RushingReceivingGrade,RushingPassBlockingGrade,RushingTargets,RushingReceptions,RushingReceivingYards,RushingReceivingSnaps,RushingYardsPerRouteRun,RushingDrops,RushingElusiveRating
David Montgomery,#05,HB,17.0,272.0,258.0,"1,198",4.6,15.0,2.0,79.6,83.4,73.5,60.0,779.0,3.02,54.0,75.0,28.0,133.0,125.0,0.0,0.0,"1,198",10.0,252.0,21.0,71.0,2 (0),58.4,29.7,29.0,22.0,162,209.0,0.78,2.0,64.7
Jahmyr Gibbs,#26,HB,18.0,247.0,211.0,"1,089",5.2,13.0,3.0,76.3,80.8,61.2,57.0,633.0,3.0,46.0,36.0,33.0,99.0,103.0,0.0,0.0,"1,089",17.0,411.0,37.7,50.0,0 (0),67.4,26.8,83.0,63.0,410,372.0,1.1,5.0,71.2
Jameson Williams,#09,WR,15.0,235.0,4.0,71,17.8,2.0,1.0,62.9,80.3,28.6,47.8,53.0,13.25,3.0,42.0,2.0,0.0,0.0,0.0,0.0,71,2.0,61.0,85.9,2.0,0 (0),61.8,61.8,51.0,30.0,433,332.0,1.3,5.0,311.8
Craig Reynolds,#13,HB,19.0,73.0,42.0,180,4.3,2.0,1.0,76.5,79.8,45.9,51.6,120.0,2.86,6.0,19.0,6.0,31.0,11.0,0.0,0.0,180,2.0,36.0,20.0,12.0,0 (0),69.9,24.0,6.0,5.0,47,64.0,0.73,0.0,54.7
Amon-Ra St. Brown,#14,WR,19.0,473.0,5.0,26,5.2,0.0,1.0,91.2,66.3,67.4,70.1,9.0,1.8,0.0,11.0,1.0,1.0,2.0,0.0,0.0,26,0.0,0.0,0.0,2.0,1 (0),91.3,39.2,190.0,141.0,"1,789",691.0,2.59,5.0,25.9
Kalif Raymond,#11,WR,17.0,101.0,7.0,75,10.7,0.0,0.0,75.4,63.8,89.7,59.0,14.0,2.0,0.0,40.0,2.0,0.0,1.0,0.0,0.0,75,1.0,40.0,53.3,2.0,2 (0),75.8,28.2,43.0,35.0,489,236.0,2.07,1.0,14.3
Devine Ozigbo,#33,HB,2.0,6.0,3.0,5,1.7,0.0,0.0,66.5,60.6,68.2,60.0,5.0,1.67,1.0,4.0,0.0,3.0,0.0,0.0,0.0,5,0.0,0.0,0.0,1.0,0 (0),80.1,-,1.0,1.0,8,2.0,4.0,0.0,83.3
Zonovan Knight,#28,HB,2.0,4.0,3.0,13,4.3,0.0,0.0,62.1,60.4,70.7,-,10.0,3.33,1.0,8.0,0.0,2.0,1.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0 (0),62.6,76.7,1.0,1.0,8,4.0,2.0,0.0,83.3
Teddy Bridgewater,#10,QB,1.0,3.0,2.0,-2,-1.0,0.0,0.0,60.6,60.0,65.2,60.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,0.0,0.0,0.0,0 (0),-,-,0.0,0.0,0,0.0,,0.0,0.0
Jalen Reeves-Maybin,#42,LB,3.0,2.0,2.0,3,1.5,0.0,0.0,71.2,59.8,66.7,-,5.0,2.5,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3,0.0,0.0,0.0,1.0,0 (0),-,-,0.0,0.0,0,0.0,,0.0,0.0
Brock Wright,#89,TE,16.0,264.0,1.0,0,0.0,0.0,1.0,48.0,59.2,72.7,45.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,,0.0,0 (0),50.1,64.0,15.0,14.0,120,155.0,0.77,1.0,0.0
Jason Cabinda,#45,FB,7.0,37.0,1.0,0,0.0,0.0,0.0,43.2,56.9,64.6,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0 (0),52.6,26.9,1.0,1.0,0,14.0,0.0,0.0,0.0
Sam LaPorta,#87,TE,20.0,464.0,1.0,4,4.0,0.0,0.0,77.0,56.4,84.3,53.9,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4,0.0,0.0,0.0,0.0,1 (0),81.8,59.9,144.0,107.0,"1,065",601.0,1.77,7.0,12.0
Jared Goff,#16,QB,20.0,580.0,40.0,24,0.6,2.0,7.0,85.7,51.9,60.3,60.3,25.0,0.63,2.0,11.0,1.0,1.0,0.0,8.0,38.0,-14,0.0,0.0,0.0,6.0,10 (0),56.6,-,0.0,0.0,0,2.0,0.0,0.0,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
