Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties,Team
Zach Ertz,#86,TE,7.0,295,200.0,3.0,0.0,92.0,50.8,51.7,29.4,-,49.5,0 (0),arizona-cardinals
Teddy Bridgewater,#10,QB,1.0,3,0.0,0.0,2.0,1.0,60.6,-,-,60.0,60.0,0 (0),detroit-lions
Taylor Decker,#68,T,18.0,"1,243",1.0,719.0,0.0,523.0,81.1,90.4,79.4,-,73.9,8 (0),detroit-lions
Graham Glasgow,#60,G,19.0,"1,262",0.0,735.0,0.0,527.0,74.9,-,54.8,-,82.1,5 (0),detroit-lions
Kalif Raymond,#11,WR,17.0,348,246.0,1.0,6.0,95.0,75.4,75.8,28.2,63.8,59.0,2 (0),detroit-lions
Halapoulivaati Vaitai,#72,G,3.0,192,0.0,122.0,0.0,70.0,68.3,-,68.4,-,64.6,0 (0),detroit-lions
Jared Goff,#16,QB,20.0,"1,376",796.0,0.0,33.0,547.0,85.7,85.2,-,51.9,60.3,10 (0),detroit-lions
Darrell Daniels,#86,FB,3.0,22,3.0,2.0,0.0,17.0,69.9,56.2,46.4,-,73.7,0 (0),detroit-lions
Anthony Firkser,#86,TE,4.0,31,12.0,2.0,0.0,17.0,57.8,52.3,72.7,-,64.8,0 (0),detroit-lions
Dan Skipper,#70,G,14.0,112,11.0,38.0,0.0,63.0,60.0,47.9,58.3,-,67.5,1 (0),detroit-lions
Josh Reynolds,#08,WR,20.0,"1,003",607.0,1.0,0.0,395.0,70.1,69.2,61.6,-,70.3,3 (1),detroit-lions
Jason Cabinda,#45,FB,7.0,57,14.0,6.0,1.0,36.0,43.2,52.6,26.9,56.9,51.3,0 (0),detroit-lions
Frank Ragnow,#77,C,18.0,"1,190",0.0,697.0,0.0,493.0,88.8,-,70.3,-,91.3,4 (0),detroit-lions
Devine Ozigbo,#33,HB,2.0,8,2.0,0.0,3.0,3.0,66.5,80.1,-,60.6,60.0,0 (0),detroit-lions
Matt Nelson,#67,T,3.0,85,0.0,49.0,0.0,36.0,58.0,-,71.6,-,53.9,1 (0),detroit-lions
Craig Reynolds,#13,HB,19.0,150,64.0,13.0,45.0,28.0,76.5,69.9,24.0,79.8,51.6,0 (0),detroit-lions
David Montgomery,#05,HB,17.0,555,219.0,64.0,260.0,12.0,79.6,58.4,29.7,83.4,60.0,2 (0),detroit-lions
Donovan Peoples-Jones,#19,WR,11.0,83,45.0,1.0,0.0,37.0,60.8,63.4,62.4,-,51.8,1 (0),detroit-lions
Jonah Jackson,#73,G,14.0,881,0.0,480.0,0.0,401.0,61.0,-,60.7,-,60.3,5 (2),detroit-lions
Kayode Awosika,#74,G,7.0,370,0.0,232.0,0.0,138.0,55.7,-,46.0,-,60.5,2 (1),detroit-lions
Brock Wright,#89,TE,16.0,478,158.0,56.0,1.0,263.0,48.0,50.1,64.0,59.2,45.9,0 (0),detroit-lions
Jake Funk,#34,HB,1.0,13,9.0,2.0,2.0,0.0,63.5,66.5,36.0,62.8,-,0 (0),indianapolis-colts
Penei Sewell,#58,T,20.0,"1,379",2.0,794.0,0.0,583.0,92.8,55.2,79.2,-,95.1,7 (1),detroit-lions
Amon-Ra St. Brown,#14,WR,19.0,"1,198",721.0,4.0,5.0,468.0,91.2,91.3,39.2,66.3,70.1,1 (0),detroit-lions
Jameson Williams,#09,WR,15.0,577,341.0,1.0,4.0,231.0,62.9,61.8,61.8,80.3,47.8,0 (0),detroit-lions
James Mitchell,#82,TE,14.0,158,55.0,14.0,0.0,89.0,41.2,42.2,74.4,-,46.0,1 (0),detroit-lions
Colby Sorsdal,#75,G,5.0,253,0.0,132.0,0.0,121.0,41.8,-,35.1,-,46.9,2 (1),detroit-lions
Antoine Green,#80,WR,12.0,116,59.0,0.0,0.0,57.0,53.5,49.1,-,-,82.6,0 (0),detroit-lions
Sam LaPorta,#87,TE,20.0,"1,153",626.0,63.0,1.0,463.0,77.0,81.8,59.9,56.4,53.9,1 (0),detroit-lions
Jahmyr Gibbs,#26,HB,18.0,681,390.0,44.0,218.0,29.0,76.3,67.4,26.8,80.8,57.0,0 (0),detroit-lions
