player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Jordan Love,2023,1,13.5,13.5,13.0,0.06,15.337633,15.337633,14.769573,00-0036264,2023,GB,QB,QB,10.0,1998-11-02,GB,26.0,25.0
Sean Clifford,2023,4,4.16418,1.041045,0.32418,0.005,4.731012,1.182753,0.368308,00-0038391,2023,GB,QB,QB,8.0,1998-07-14,GB,149.0,25.0
Alex McGough,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0034732,2023,GB,QB,QB,17.0,1995-11-19,SEA,220.0,28.0
Aaron Jones,2023,2,23.0,11.5,8.52,0.051,26.130783,13.065391,9.679751,00-0033293,2023,GB,RB,RB,33.0,1994-12-02,GB,182.0,29.0
Kenyan Drake,2023,1,1.3175,1.3175,0.1525,0.006,1.496839,1.496839,0.173258,00-0033118,2023,GB,RB,RB,32.0,1994-01-26,MIA,73.0,30.0
A.J. Dillon,2020,4,5.28583,1.321458,2.76024,0.007,6.811307,1.702827,3.556838,00-0036265,2023,GB,RB,RB,28.0,1998-05-02,GB,62.0,25.0
Patrick Taylor,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0035973,2023,GB,RB,RB,27.0,1998-04-29,,,25.0
Emanuel Wilson,2023,3,2.71,0.903333,0.045,0.004,3.078888,1.026296,0.051125,00-0038797,2023,GB,RB,RB,31.0,1999-05-08,,,24.0
Ellis Merriweather,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,00-0038965,2023,GB,RB,RB,35.0,1999-04-07,,,25.0
Henry Pearson,2023,3,2.7025,0.900833,0.0075,0.004,3.070367,1.023455,0.008521,00-0038468,2023,GB,TE,TE,44.0,1999-11-23,,,24.0
Christian Watson,2022,4,9.241026,2.310257,7.425885,0.011,11.336014,2.834004,9.109371,00-0038124,2023,GB,WR,WR,9.0,1999-05-12,GB,34.0,24.0
Jayden Reed,2023,4,7.180778,1.795195,4.048783,0.008,8.158233,2.039559,4.599907,00-0039146,2023,GB,WR,WR,11.0,2000-04-28,GB,50.0,23.0
Romeo Doubs,2022,4,4.343916,1.085979,0.683916,0.005,5.328704,1.332176,0.838963,00-0037816,2023,GB,WR,WR,87.0,2000-04-13,GB,132.0,24.0
Dontayvion Wicks,2023,4,4.142544,1.035636,0.302544,0.005,4.706431,1.176608,0.343727,00-0038393,2023,GB,WR,WR,13.0,2001-06-16,GB,159.0,22.0
Bo Melton,2023,2,1.665,0.8325,0.0,0.004,1.891641,0.945821,0.0,00-0037091,2023,GB,WR,WR,80.0,1999-05-18,SEA,229.0,24.0
Samori Toure,2022,4,3.737012,0.934253,0.077012,0.004,4.584212,1.146053,0.094471,00-0037098,2023,GB,WR,WR,83.0,1998-03-24,GB,258.0,26.0
Grant DuBose,2023,4,3.917784,0.979446,0.077784,0.004,4.451077,1.112769,0.088372,00-0038507,2023,GB,WR,WR,86.0,2001-06-20,GB,256.0,22.0
Andre Miller,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037448,2023,GB,WR,WR,16.0,,,,
Cody Chrest,2023,3,2.7075,0.9025,0.0125,0.004,3.076048,1.025349,0.014202,00-0038430,2023,GB,WR,WR,82.0,,,,
Thyrick Pitts,2023,3,2.7045,0.9015,0.0095,0.004,3.072639,1.024213,0.010793,00-0038427,2023,GB,WR,WR,13.0,2001-04-08,,,23.0
Malik Heath,2023,3,2.704,0.901333,0.009,0.004,3.072071,1.024023,0.010225,00-0038465,2023,GB,WR,WR,18.0,2000-03-31,,,24.0
Jadakis Bonds,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,00-0039022,2023,GB,WR,WR,6.0,,,,
Anthony Johnson,2023,3,2.71,0.903333,0.231,0.004,3.078888,1.026296,0.262444,00-0038907,2023,GB,DB,CB,36.0,1999-06-12,,,24.0
Luke Musgrave,2023,4,8.475742,2.118936,6.348437,0.009,9.629468,2.407368,7.212593,00-0039144,2023,GB,TE,TE,88.0,2000-09-02,GB,42.0,23.0
Tucker Kraft,2023,4,5.537932,1.384483,1.027588,0.006,6.291761,1.57294,1.167464,00-0038996,2023,GB,TE,TE,85.0,2000-11-03,GB,78.0,23.0
Josiah Deguara,2020,4,4.419685,1.104921,0.867468,0.006,5.695194,1.423798,1.117817,00-0036332,2023,GB,TE,TE,81.0,1997-02-14,GB,94.0,27.0
Tyler Davis,2023,1,1.04,1.04,0.0,0.005,1.181566,1.181566,0.0,00-0036250,2023,GB,TE,TE,84.0,1997-04-02,JAX,206.0,27.0
Austin Allen,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037369,2023,GB,TE,TE,49.0,1998-11-10,,,25.0
Ben Sims,2023,3,2.705,0.901667,0.11,0.004,3.073207,1.024403,0.124973,00-0038809,2023,GB,TE,TE,89.0,2000-05-16,,,23.0
Joel Wilson,2023,3,2.6975,0.899167,0.0025,0.004,3.064686,1.021563,0.00284,00-0039023,2023,GB,TE,TE,48.0,2000-06-21,,,23.0
David Bakhtiari,2020,4,92.0,23.0,30.0,0.116,118.550959,29.63774,38.657921,00-0030074,2023,GB,OL,T,69.0,1991-09-30,GB,109.0,32.0
