Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside
Rashan Gary,#52,ED,19.0,667.0,223.0,440.0,4.0,79.0,75.4,52.8,74.2,90.1,66.0,10.0,13.0,43.0,1.0,22.0,18.0,8.0,16.7,27.0,2.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,5 (0),663.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,660.0
Jaire Alexander,#23,CB,9.0,560.0,221.0,1.0,338.0,75.9,59.8,60.6,39.8,78.6,1.0,0.0,0.0,1.0,0.0,33.0,5.0,6.0,13.6,9.0,1.0,39.0,28.0,71.8,363.0,13.0,92.0,45.0,2.0,1.0,6.0,107.1,1 (0),3.0,38.0,1.0,18.0,500.0,0.0,0.0,0.0,3.0
Darnell Savage,#26,S,12.0,701.0,278.0,4.0,419.0,75.5,71.8,52.8,52.2,74.2,1.0,0.0,0.0,1.0,0.0,46.0,16.0,13.0,17.3,15.0,0.0,24.0,19.0,79.2,183.0,9.6,71.0,32.0,2.0,1.0,2.0,108.9,0 (0),9.0,147.0,429.0,109.0,7.0,0.0,0.0,0.0,9.0
Rasul Douglas,#29,CB,7.0,487.0,211.0,0.0,276.0,75.2,66.4,61.0,-,79.6,0.0,0.0,0.0,0.0,0.0,30.0,3.0,4.0,10.8,11.0,0.0,34.0,23.0,67.6,274.0,11.9,102.0,35.0,3.0,1.0,5.0,109.2,3 (0),1.0,39.0,1.0,15.0,431.0,0.0,0.0,0.0,1.0
Preston Smith,#91,ED,19.0,838.0,296.0,492.0,50.0,70.5,72.4,59.6,66.2,54.8,52.0,11.0,14.0,27.0,2.0,32.0,12.0,9.0,17.0,34.0,2.0,10.0,6.0,60.0,71.0,11.8,54.0,21.0,0.0,0.0,2.0,81.7,2 (1),822.0,8.0,0.0,8.0,0.0,0.0,3.0,3.0,816.0
Kenny Clark,#97,DI,19.0,913.0,348.0,556.0,9.0,70.4,61.4,42.0,76.0,61.4,66.0,10.0,8.0,48.0,1.0,27.0,11.0,6.0,13.6,25.0,2.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,6 (0),909.0,4.0,0.0,0.0,0.0,49.0,475.0,283.0,102.0
Rudy Ford,#20,S,12.0,626.0,275.0,3.0,348.0,69.9,60.8,75.9,56.1,72.9,1.0,0.0,0.0,1.0,0.0,54.0,14.0,6.0,8.1,12.0,0.0,22.0,9.0,40.9,88.0,9.8,55.0,20.0,1.0,2.0,4.0,30.1,2 (0),15.0,190.0,323.0,92.0,6.0,0.0,0.0,0.0,15.0
Karl Brooks,#94,DI,19.0,440.0,130.0,309.0,1.0,69.8,46.8,52.7,70.0,68.3,30.0,4.0,5.0,21.0,4.0,12.0,7.0,2.0,9.5,13.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1 (0),439.0,0.0,0.0,0.0,0.0,5.0,204.0,207.0,23.0
Dallin Leavitt,#06,S,3.0,9.0,2.0,0.0,7.0,65.4,60.0,77.3,-,63.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
De'Vondre Campbell,#59,LB,13.0,690.0,277.0,26.0,387.0,65.1,68.7,65.5,73.0,59.9,7.0,1.0,3.0,3.0,0.0,68.0,23.0,10.0,9.9,25.0,0.0,44.0,35.0,79.5,423.0,12.1,239.0,52.0,3.0,0.0,2.0,129.5,1 (0),45.0,487.0,4.0,147.0,7.0,0.0,0.0,0.0,45.0
Robert Rochell,#22,CB,2.0,6.0,3.0,0.0,3.0,64.4,60.0,-,-,63.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Kingsley Enagbare,#55,ED,18.0,493.0,229.0,241.0,23.0,62.5,63.1,57.9,63.9,47.1,27.0,2.0,8.0,17.0,0.0,25.0,7.0,5.0,13.5,19.0,1.0,3.0,3.0,100.0,29.0,9.7,27.0,16.0,0.0,0.0,0.0,106.9,2 (0),492.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,488.0
Justin Hollins,#58,ED,4.0,84.0,39.0,42.0,3.0,62.5,72.7,77.1,49.5,64.3,2.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),83.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,83.0
Lukas Van Ness,#90,ED,19.0,444.0,200.0,238.0,6.0,62.3,60.7,69.3,58.5,71.7,22.0,6.0,5.0,11.0,1.0,25.0,6.0,2.0,6.1,21.0,0.0,1.0,1.0,100.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,87.5,1 (0),442.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,426.0
T.J. Slaton,#93,DI,19.0,679.0,376.0,303.0,0.0,62.3,59.5,50.5,61.5,60.0,16.0,0.0,1.0,15.0,1.0,42.0,13.0,7.0,11.3,35.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,1.0,0.0,2 (1),679.0,0.0,0.0,0.0,0.0,191.0,466.0,19.0,3.0
Kyu Blu Kelly,#24,CB,1.0,2.0,1.0,0.0,1.0,61.8,60.0,-,-,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Corey Ballentine,#35,CB,12.0,534.0,209.0,0.0,325.0,60.8,50.0,56.6,-,62.3,0.0,0.0,0.0,0.0,0.0,35.0,9.0,7.0,13.7,5.0,0.0,54.0,32.0,59.3,392.0,12.3,172.0,38.0,1.0,1.0,4.0,80.2,2 (0),1.0,31.0,0.0,19.0,483.0,0.0,0.0,0.0,1.0
Benny Sapp III,#48,S,2.0,3.0,0.0,0.0,3.0,60.4,-,-,-,60.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Henry Pearson,#44,FB,1.0,1.0,1.0,0.0,0.0,60.0,60.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keisean Nixon,#25,CB,19.0,937.0,296.0,8.0,633.0,60.0,55.2,49.1,74.0,60.4,2.0,2.0,0.0,0.0,0.0,70.0,18.0,15.0,14.6,35.0,0.0,95.0,74.0,77.9,717.0,9.7,333.0,32.0,2.0,1.0,5.0,100.7,5 (1),2.0,120.0,2.0,752.0,60.0,0.0,0.0,0.0,2.0
Kristian Welch,#54,LB,1.0,1.0,1.0,0.0,0.0,60.0,60.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keshawn Banks,#51,ED,1.0,2.0,2.0,0.0,0.0,59.8,60.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Devonte Wyatt,#95,DI,19.0,644.0,272.0,370.0,2.0,59.6,44.7,26.7,76.7,59.5,48.0,7.0,4.0,37.0,0.0,25.0,10.0,15.0,30.0,26.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,39.6,4 (1),642.0,2.0,0.0,0.0,0.0,9.0,373.0,211.0,49.0
Jonathan Owens,#34,S,17.0,927.0,342.0,5.0,580.0,59.6,58.6,68.0,66.2,59.6,2.0,1.0,0.0,1.0,0.0,59.0,17.0,11.0,12.6,17.0,1.0,38.0,26.0,68.4,269.0,10.3,125.0,32.0,4.0,0.0,3.0,123.7,4 (0),18.0,322.0,434.0,137.0,16.0,0.0,0.0,0.0,18.0
Quay Walker,#07,LB,16.0,973.0,377.0,76.0,520.0,58.5,63.5,81.8,58.2,54.7,16.0,3.0,2.0,11.0,0.0,90.0,43.0,11.0,7.6,43.0,0.0,68.0,55.0,80.9,571.0,10.4,393.0,51.0,2.0,1.0,3.0,105.3,2 (0),48.0,866.0,10.0,41.0,8.0,0.0,0.0,0.0,48.0
Brenton Cox Jr.,#57,ED,3.0,5.0,4.0,1.0,0.0,58.2,52.1,-,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Colby Wooden,#96,DI,19.0,298.0,151.0,147.0,0.0,57.6,51.0,42.6,61.5,62.9,12.0,1.0,2.0,9.0,0.0,14.0,7.0,3.0,12.5,9.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),298.0,0.0,0.0,0.0,0.0,4.0,116.0,114.0,64.0
Carrington Valentine,#37,CB,17.0,846.0,308.0,1.0,537.0,57.5,45.1,59.5,58.6,59.1,0.0,0.0,0.0,0.0,0.0,46.0,6.0,7.0,11.9,9.0,0.0,72.0,40.0,55.6,470.0,11.8,112.0,33.0,1.0,0.0,5.0,80.2,3 (1),0.0,69.0,1.0,24.0,752.0,0.0,0.0,0.0,0.0
Isaiah McDuffie,#58,LB,15.0,551.0,224.0,29.0,298.0,57.1,59.6,77.1,64.4,55.5,4.0,1.0,1.0,2.0,0.0,63.0,23.0,6.0,6.5,20.0,0.0,33.0,26.0,78.8,238.0,9.2,142.0,30.0,0.0,0.0,1.0,96.7,2 (0),13.0,463.0,1.0,71.0,3.0,0.0,0.0,0.0,13.0
Eric Wilson,#45,LB,11.0,144.0,39.0,11.0,94.0,56.5,76.8,60.8,56.0,47.5,3.0,0.0,1.0,2.0,0.0,17.0,7.0,3.0,11.1,7.0,0.0,15.0,15.0,100.0,146.0,9.7,75.0,21.0,1.0,0.0,0.0,129.4,0 (0),3.0,113.0,1.0,26.0,0.0,0.0,0.0,0.0,3.0
Innis Gaines,#38,CB,2.0,6.0,0.0,0.0,6.0,53.6,-,71.6,-,53.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,39.6,1 (1),0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
Eric Stokes,#21,CB,2.0,110.0,41.0,0.0,69.0,51.5,76.1,79.6,-,45.9,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,10.0,8.0,80.0,112.0,14.0,32.0,25.0,3.0,0.0,0.0,152.9,0 (0),0.0,3.0,0.0,8.0,99.0,0.0,0.0,0.0,0.0
Anthony Johnson Jr.,#36,S,13.0,334.0,98.0,0.0,236.0,47.9,37.7,29.7,-,53.9,0.0,0.0,0.0,0.0,0.0,20.0,4.0,9.0,27.3,3.0,0.0,7.0,5.0,71.4,60.0,12.0,31.0,27.0,0.0,1.0,1.0,57.7,1 (0),0.0,54.0,237.0,40.0,3.0,0.0,0.0,0.0,0.0
