Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,CoverageSnaps,CoverageSnapsPercentage,CoverageGrade,CoveragePenalties,CoverageTargets,CoverageReceptionsAllowed,CoverageReceptionPercentage,CoverageYardsAllowed,CoverageYardsPerReceptionAllowed,CoverageYardsAfterCatchAllowed,CoverageAverageDepthOfTarget,CoverageLongestReceptionAllowed,CoverageForcedIncompletions,CoverageForcedIncompletionPercentage,CoveragePassBreakups,CoverageInterceptions,CoverageDrops,CoverageTouchdownsAllowed,CoveragePasserRatingAllowed,CoverageSnapsPerTarget,CoverageSnapsPerReceptionAllowed,CoverageTackles,CoverageAssists,CoverageMissedTackles,CoverageMissedTacklePercentage,CoverageStops
Rashan Gary,#52,ED,19.0,444.0,4.0,0.9,90.1,5 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,4.0,0.0,4.0,50.0,12.0
Rasul Douglas,#29,CB,7.0,276.0,276.0,100.0,79.6,3 (0),34.0,23.0,67.6,274.0,11.9,102.0,8.3,35.0,5.0,15.0,5.0,1.0,0.0,3.0,109.2,7.7,11.4,21.0,2.0,2.0,8.0,7.0
Jaire Alexander,#23,CB,9.0,339.0,338.0,99.7,78.6,1 (0),39.0,28.0,71.8,363.0,13.0,92.0,10.9,45.0,6.0,15.0,6.0,1.0,2.0,2.0,107.1,8.3,11.5,27.0,3.0,4.0,11.8,6.0
Darnell Savage,#26,S,12.0,423.0,419.0,99.1,74.2,0 (0),24.0,19.0,79.2,183.0,9.6,71.0,7.1,32.0,3.0,13.0,2.0,1.0,1.0,2.0,108.9,16.6,21.0,25.0,4.0,6.0,17.1,7.0
Rudy Ford,#20,S,12.0,351.0,348.0,99.1,72.9,2 (0),22.0,9.0,40.9,88.0,9.8,55.0,11.5,20.0,4.0,18.0,4.0,2.0,0.0,1.0,30.1,14.9,36.4,24.0,8.0,4.0,11.1,3.0
Lukas Van Ness,#90,ED,19.0,244.0,6.0,2.5,71.7,1 (0),1.0,1.0,100.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,5.0,5.0,5.0,0.0,0.0,0.0,8.0
Karl Brooks,#94,DI,19.0,310.0,1.0,0.3,68.3,1 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,4.0,3.0,0.0,0.0,7.0
Justin Hollins,#58,ED,4.0,45.0,3.0,6.7,64.3,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0
Dallin Leavitt,#06,S,3.0,7.0,7.0,100.0,63.8,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0
Robert Rochell,#22,CB,1.0,3.0,3.0,100.0,63.3,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
Corey Ballentine,#35,CB,11.0,325.0,325.0,100.0,62.3,2 (0),54.0,32.0,59.3,392.0,12.3,172.0,11.8,38.0,7.0,13.0,4.0,1.0,0.0,1.0,80.2,5.6,9.5,31.0,3.0,4.0,10.5,3.0
Kenny Clark,#97,DI,19.0,565.0,9.0,1.6,61.4,6 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,2.0,2.0,3.0,42.9,8.0
Keisean Nixon,#25,CB,19.0,641.0,633.0,98.8,60.4,5 (1),95.0,74.0,77.9,717.0,9.7,333.0,6.6,32.0,6.0,6.0,5.0,1.0,3.0,2.0,100.7,6.3,8.1,53.0,7.0,9.0,13.0,22.0
Benny Sapp III,#48,S,2.0,3.0,3.0,100.0,60.3,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
Kyu Blu Kelly,#24,CB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
