DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Rank,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Player,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_JerseyNumber,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Position,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_GamesPlayed,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushTotalSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSnapsPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushGrade,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushPenalties,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushTotalPressures,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSacks,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushHits,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushHurries,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushPressureRate,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushWinPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushBattedPasses,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetTotalSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSnapsPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetGrade,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetTotalPressures,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSacks,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetHits,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetHurries,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetPressureRate,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetWinPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetBattedPasses
1.0,Devonte Wyatt,#95,DI,19.0,372.0,370.0,99.5,76.7,4 (1),48.0,7.0,4.0,37.0,7.9,13.8,0.0,196.0,196.0,100.0,75.1,34.0,5.0,2.0,27.0,10.5,17.7,0.0
2.0,Kenny Clark,#97,DI,19.0,565.0,556.0,98.4,76.0,6 (0),66.0,10.0,8.0,48.0,7.2,12.5,1.0,285.0,285.0,100.0,75.1,47.0,8.0,4.0,35.0,10.2,16.7,1.0
3.0,Rashan Gary,#52,ED,19.0,444.0,440.0,99.1,74.2,5 (0),66.0,10.0,13.0,43.0,9.0,16.0,1.0,244.0,243.0,99.6,77.1,46.0,8.0,7.0,31.0,11.9,20.3,1.0
4.0,Keisean Nixon,#25,CB,19.0,641.0,8.0,1.2,74.0,5 (1),2.0,2.0,0.0,0.0,25.0,0.0,0.0,354.0,5.0,1.4,78.6,2.0,2.0,0.0,0.0,40.0,0.0,0.0
5.0,De'Vondre Campbell,#59,LB,13.0,413.0,26.0,6.3,73.0,1 (0),7.0,1.0,3.0,3.0,16.0,12.0,0.0,209.0,9.0,4.3,85.2,4.0,0.0,2.0,2.0,22.2,33.3,0.0
6.0,Karl Brooks,#94,DI,19.0,310.0,309.0,99.7,70.0,1 (0),30.0,4.0,5.0,21.0,5.7,11.1,4.0,189.0,189.0,100.0,69.1,22.0,3.0,5.0,14.0,7.1,13.6,3.0
7.0,Jonathan Owens,#34,S,17.0,585.0,5.0,0.9,66.2,4 (0),2.0,1.0,0.0,1.0,30.0,20.0,0.0,310.0,4.0,1.3,67.7,2.0,1.0,0.0,1.0,37.5,25.0,0.0
7.0,Preston Smith,#91,ED,19.0,542.0,492.0,90.8,66.2,2 (1),52.0,11.0,14.0,27.0,6.7,10.6,2.0,284.0,265.0,93.3,69.0,37.0,7.0,9.0,21.0,8.8,12.9,1.0
9.0,Isaiah McDuffie,#58,LB,15.0,327.0,29.0,8.9,64.4,2 (0),4.0,1.0,1.0,2.0,9.3,14.8,0.0,166.0,15.0,9.0,64.5,2.0,0.0,1.0,1.0,7.1,21.4,0.0
10.0,Kingsley Enagbare,#55,ED,18.0,264.0,241.0,91.3,63.9,2 (0),27.0,2.0,8.0,17.0,6.5,9.8,0.0,124.0,118.0,95.2,58.5,16.0,0.0,7.0,9.0,7.2,13.5,0.0
11.0,Colby Wooden,#96,DI,19.0,147.0,147.0,100.0,61.5,0 (0),12.0,1.0,2.0,9.0,4.7,7.3,0.0,64.0,64.0,100.0,55.9,5.0,0.0,1.0,4.0,4.3,6.9,0.0
11.0,T.J. Slaton,#93,DI,19.0,303.0,303.0,100.0,61.5,2 (1),16.0,0.0,1.0,15.0,2.9,6.5,1.0,94.0,94.0,100.0,67.9,8.0,0.0,0.0,8.0,4.7,11.8,1.0
13.0,Brenton Cox Jr.,#57,ED,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,-,0.0,0.0,0.0,0.0,,,0.0
14.0,Carrington Valentine,#37,CB,17.0,538.0,1.0,0.2,58.6,3 (1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,1.0,0.3,58.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,Lukas Van Ness,#90,ED,19.0,244.0,238.0,97.5,58.5,1 (0),22.0,6.0,5.0,11.0,6.4,6.9,1.0,114.0,112.0,98.2,58.2,11.0,4.0,2.0,5.0,7.2,6.7,1.0
16.0,Quay Walker,#07,LB,16.0,596.0,76.0,12.8,58.2,2 (0),16.0,3.0,2.0,11.0,13.2,6.9,0.0,292.0,41.0,14.0,46.1,9.0,1.0,1.0,7.0,13.2,5.3,0.0
17.0,Rudy Ford,#20,S,12.0,351.0,3.0,0.9,56.1,2 (0),1.0,0.0,0.0,1.0,16.7,0.0,0.0,161.0,2.0,1.2,56.6,1.0,0.0,0.0,1.0,25.0,0.0,0.0
18.0,Eric Wilson,#45,LB,9.0,105.0,11.0,10.5,56.0,0 (0),3.0,0.0,1.0,2.0,15.0,0.0,0.0,66.0,7.0,10.6,61.3,2.0,0.0,1.0,1.0,14.3,0.0,0.0
19.0,Darnell Savage,#26,S,12.0,423.0,4.0,0.9,52.2,0 (0),1.0,0.0,0.0,1.0,12.5,0.0,0.0,209.0,2.0,1.0,55.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,Justin Hollins,#58,ED,4.0,45.0,42.0,93.3,49.5,0 (0),2.0,0.0,0.0,2.0,2.5,5.0,0.0,18.0,16.0,88.9,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,Jaire Alexander,#23,CB,9.0,339.0,1.0,0.3,39.8,1 (0),1.0,0.0,0.0,1.0,50.0,0.0,0.0,162.0,1.0,0.6,39.8,1.0,0.0,0.0,1.0,50.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
