DEFENSE-RUN_2023_DEFENSE-RUN_2023_Rank,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Player,DEFENSE-RUN_2023_DEFENSE-RUN_2023_JerseyNumber,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Position,DEFENSE-RUN_2023_DEFENSE-RUN_2023_GamesPlayed,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseSnaps,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseGrade,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAssists,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTacklePercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStops,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStopPercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseForcedFumbles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAverageDepthOfTackle,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefensePenalties
1.0,Eric Wilson,#45,LB,8.0,39.0,76.8,7.0,2.0,1.0,10.0,5.0,13.5,0.0,2.9,0 (0)
2.0,Eric Stokes,#21,CB,2.0,41.0,76.1,3.0,0.0,0.0,0.0,1.0,2.5,0.0,5.0,0 (0)
3.0,Rashan Gary,#52,ED,19.0,223.0,75.4,18.0,18.0,4.0,10.0,15.0,6.9,0.0,1.0,5 (0)
4.0,Justin Hollins,#58,ED,4.0,39.0,72.7,5.0,1.0,0.0,0.0,2.0,5.1,0.0,4.2,0 (0)
5.0,Preston Smith,#91,ED,19.0,296.0,72.4,24.0,11.0,2.0,5.4,19.0,6.6,0.0,2.7,2 (1)
6.0,Darnell Savage,#26,S,12.0,278.0,71.8,21.0,12.0,7.0,17.5,8.0,3.0,0.0,7.1,0 (0)
7.0,De'Vondre Campbell,#59,LB,13.0,277.0,68.7,33.0,15.0,5.0,9.4,13.0,4.8,0.0,4.5,1 (0)
8.0,Rasul Douglas,#29,CB,7.0,211.0,66.4,9.0,1.0,2.0,16.7,4.0,1.9,0.0,5.3,3 (0)
9.0,Quay Walker,#07,LB,16.0,377.0,63.5,46.0,27.0,6.0,7.6,26.0,7.1,0.0,3.7,2 (0)
10.0,Kingsley Enagbare,#55,ED,18.0,229.0,63.1,24.0,6.0,4.0,11.8,16.0,7.1,0.0,3.1,2 (0)
11.0,Kenny Clark,#97,DI,19.0,348.0,61.4,25.0,9.0,3.0,8.1,17.0,5.0,1.0,1.6,6 (0)
12.0,Rudy Ford,#20,S,10.0,275.0,60.8,30.0,6.0,2.0,5.3,9.0,3.3,0.0,9.9,2 (0)
13.0,Lukas Van Ness,#90,ED,19.0,200.0,60.7,20.0,6.0,2.0,7.1,13.0,6.6,0.0,2.4,1 (0)
14.0,Kyu Blu Kelly,#24,CB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
14.0,Henry Pearson,#44,FB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
14.0,Keshawn Banks,#51,ED,1.0,2.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
14.0,Kristian Welch,#54,LB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
14.0,Dallin Leavitt,#06,S,2.0,2.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
14.0,Zayne Anderson,#39,S,2.0,3.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
14.0,Robert Rochell,#22,CB,2.0,3.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
21.0,Jaire Alexander,#23,CB,9.0,221.0,59.8,6.0,2.0,2.0,20.0,3.0,1.4,0.0,6.2,1 (0)
22.0,Isaiah McDuffie,#58,LB,15.0,224.0,59.6,33.0,21.0,3.0,5.3,16.0,7.3,0.0,4.0,2 (0)
23.0,T.J. Slaton,#93,DI,19.0,376.0,59.5,42.0,13.0,6.0,9.8,35.0,9.5,0.0,2.2,2 (1)
24.0,Jonathan Owens,#34,S,17.0,342.0,58.6,24.0,10.0,6.0,15.0,10.0,3.0,0.0,5.4,4 (0)
25.0,Keisean Nixon,#25,CB,19.0,296.0,55.2,17.0,11.0,6.0,17.6,13.0,4.5,0.0,3.2,5 (1)
26.0,Brenton Cox Jr.,#57,ED,3.0,4.0,52.1,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
27.0,Colby Wooden,#96,DI,19.0,151.0,51.0,12.0,7.0,3.0,13.6,7.0,4.8,0.0,3.0,0 (0)
28.0,Corey Ballentine,#35,CB,12.0,209.0,50.0,4.0,6.0,3.0,23.1,2.0,1.0,0.0,7.3,2 (0)
29.0,Karl Brooks,#94,DI,17.0,130.0,46.8,8.0,4.0,2.0,14.3,6.0,4.8,0.0,3.5,1 (0)
30.0,Carrington Valentine,#37,CB,15.0,308.0,45.1,8.0,2.0,4.0,28.6,3.0,1.0,0.0,4.8,3 (1)
31.0,Devonte Wyatt,#95,DI,19.0,272.0,44.7,24.0,10.0,9.0,20.9,21.0,8.0,0.0,1.8,4 (1)
32.0,Anthony Johnson Jr.,#36,S,7.0,98.0,37.7,5.0,1.0,4.0,40.0,1.0,1.1,0.0,19.0,1 (0)
,,,,,,,,,,,,,,,
