Player,JerseyNumber,Position,GamesPlayed,RunBlockingTotalSnaps,RunBlockingTotalSnaps.1,RunBlockingTotalSnapsPercentage,RunBlockingGrade,RunBlockingPenalties,RunBlockingTotalSnapsInZoneScheme,RunBlockingTotalSnapsInZoneSchemePercentage,RunBlockingGradeInZoneScheme,RunBlockingTotalSnapsInGapScheme,RunBlockingTotalSnapsInGapSchemePercentage,RunBlockingGradeInGapScheme
Zach Tom,#50,T,19.0,462.0,462.0,100.0,81.2,0 (0),253.0,54.8,80.4,164.0,35.5,69.7
Patrick Taylor,#27,HB,13.0,53.0,17.0,32.1,75.7,0 (0),3.0,17.6,60.0,3.0,17.6,60.0
David Bakhtiari,#69,T,1.0,25.0,25.0,100.0,68.6,0 (0),9.0,36.0,54.6,15.0,60.0,76.4
Dontayvion Wicks,#13,WR,17.0,188.0,187.0,99.5,66.1,1 (0),108.0,57.8,62.3,62.0,33.2,60.1
Samori Toure,#83,WR,11.0,50.0,50.0,100.0,64.6,0 (0),31.0,62.0,72.4,15.0,30.0,50.4
Malik Heath,#18,WR,13.0,139.0,139.0,100.0,61.8,0 (0),70.0,50.4,66.9,54.0,38.8,68.6
Bo Melton,#80,WR,7.0,82.0,79.0,96.3,60.7,0 (0),48.0,60.8,63.6,22.0,27.8,60.6
James Robinson,#32,HB,1.0,2.0,1.0,50.0,60.0,0 (0),0.0,0.0,-,1.0,100.0,60.0
Emanuel Wilson,#31,HB,8.0,33.0,5.0,15.2,60.0,0 (0),1.0,20.0,60.0,0.0,0.0,-
Sean Clifford,#08,QB,3.0,15.0,12.0,80.0,60.0,0 (0),9.0,75.0,60.0,3.0,25.0,60.0
Jordan Love,#10,QB,19.0,476.0,440.0,92.4,60.0,0 (0),253.0,57.5,60.0,170.0,38.6,60.0
Luke Musgrave,#88,TE,13.0,168.0,168.0,100.0,59.3,0 (0),98.0,58.3,65.1,57.0,33.9,53.3
Ben Sims,#89,TE,18.0,134.0,134.0,100.0,58.2,0 (0),64.0,47.8,59.8,47.0,35.1,57.0
Aaron Jones,#33,HB,13.0,207.0,23.0,11.1,57.8,0 (0),6.0,26.1,59.5,2.0,8.7,59.2
Yosh Nijman,#73,T,15.0,102.0,102.0,100.0,57.7,0 (0),54.0,52.9,58.9,36.0,35.3,58.4
AJ Dillon,#28,HB,15.0,205.0,25.0,12.2,56.6,0 (0),6.0,24.0,58.7,2.0,8.0,60.0
Elgton Jenkins,#74,G,17.0,414.0,414.0,100.0,56.4,1 (0),227.0,54.8,58.5,150.0,36.2,56.1
Rasheed Walker,#63,T,19.0,397.0,397.0,100.0,56.3,2 (1),219.0,55.2,58.1,136.0,34.3,50.4
Josiah Deguara,#81,TE,17.0,117.0,117.0,100.0,55.4,1 (1),53.0,45.3,61.0,47.0,40.2,41.9
Romeo Doubs,#87,WR,19.0,351.0,351.0,100.0,55.4,0 (0),193.0,55.0,58.6,125.0,35.6,59.2
Jon Runyan,#76,G,19.0,404.0,404.0,100.0,53.2,4 (0),211.0,52.2,57.8,152.0,37.6,45.4
Josh Myers,#71,C,19.0,488.0,488.0,100.0,53.2,2 (0),265.0,54.3,50.5,175.0,35.9,63.1
Sean Rhyan,#75,G,11.0,101.0,101.0,100.0,50.8,0 (0),60.0,59.4,50.2,26.0,25.7,62.6
Christian Watson,#09,WR,11.0,190.0,186.0,97.9,50.0,0 (0),100.0,53.8,54.7,71.0,38.2,58.4
Tucker Kraft,#85,TE,19.0,326.0,326.0,100.0,48.7,2 (1),179.0,54.9,57.2,119.0,36.5,47.9
Jayden Reed,#11,WR,18.0,198.0,185.0,93.4,46.1,1 (0),105.0,56.8,52.7,69.0,37.3,52.1
Royce Newman,#70,G,7.0,66.0,66.0,100.0,43.3,0 (0),34.0,51.5,46.3,23.0,34.8,52.3
Henry Pearson,#44,FB,2.0,6.0,6.0,100.0,40.6,0 (0),1.0,16.7,60.0,4.0,66.7,42.1
,,,,,,,,,,,,,,
