RECEIVING_2023_RECEIVING_2023_Rank,RECEIVING_2023_RECEIVING_2023_Player,RECEIVING_2023_RECEIVING_2023_JerseyNumber,RECEIVING_2023_RECEIVING_2023_Position,RECEIVING_2023_RECEIVING_2023_GamesPlayed,RECEIVING_2023_RECEIVING_2023_ReceivingTargets,RECEIVING_2023_RECEIVING_2023_ReceivingReceptions,RECEIVING_2023_RECEIVING_2023_ReceivingReceptionPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYards,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingTouchdowns,RECEIVING_2023_RECEIVING_2023_ReceivingOverallGrade,RECEIVING_2023_RECEIVING_2023_ReceivingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingDrops,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingPassSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingRoutesRun,RECEIVING_2023_RECEIVING_2023_ReceivingTargetPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnapsPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlot,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlotPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWide,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWidePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInline,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInlinePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatch,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatchPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerRouteRun,RECEIVING_2023_RECEIVING_2023_ReceivingAverageDepthOfTarget,RECEIVING_2023_RECEIVING_2023_ReceivingLongestReception,RECEIVING_2023_RECEIVING_2023_ReceivingDrops.1,RECEIVING_2023_RECEIVING_2023_ReceivingDropPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingContestedTargets,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatches,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatchPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingInterceptionsThrownWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles.1,RECEIVING_2023_RECEIVING_2023_ReceivingMissedTacklesForced,RECEIVING_2023_RECEIVING_2023_ReceivingFirstDowns,RECEIVING_2023_RECEIVING_2023_ReceivingPasserRatingWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingPenalties
1.0,Bo Melton,#80,WR,7.0,26.0,18.0,69.2,244.0,13.6,2.0,83.4,82.6,69.6,75.3,-,96.0,91.0,94.8,0.0,0.0,32.0,33.3,61.0,63.5,1.0,1.0,38.0,2.1,2.68,13.6,37.0,1.0,5.3,6.0,3.0,50.0,0.0,0.0,1.0,14.0,124.5,0 (0)
2.0,Dontayvion Wicks,#13,WR,17.0,61.0,41.0,67.2,605.0,14.8,5.0,77.8,77.0,74.3,23.0,-,328.0,312.0,95.1,0.0,0.0,117.0,35.7,208.0,63.4,3.0,0.9,218.0,5.3,1.94,10.7,35.0,2.0,4.7,7.0,3.0,42.9,1.0,3.0,9.0,30.0,119.9,2 (0)
3.0,Jayden Reed,#11,WR,18.0,97.0,68.0,70.1,828.0,12.2,8.0,73.3,74.4,81.1,88.6,62.4,447.0,424.0,94.9,1.0,0.2,336.0,75.2,105.0,23.5,3.0,0.7,366.0,5.4,1.95,10.0,59.0,3.0,4.2,12.0,3.0,25.0,1.0,0.0,6.0,33.0,119.3,3 (0)
4.0,Romeo Doubs,#87,WR,19.0,105.0,69.0,65.7,908.0,13.2,9.0,73.6,74.0,74.5,47.6,-,587.0,555.0,94.5,0.0,0.0,92.0,15.7,495.0,84.3,0.0,0.0,216.0,3.1,1.64,12.9,46.0,4.0,5.5,28.0,15.0,53.6,3.0,1.0,3.0,49.0,109.5,1 (0)
5.0,Christian Watson,#09,WR,11.0,56.0,30.0,53.6,442.0,14.7,5.0,68.2,70.3,67.3,77.5,65.5,316.0,298.0,94.3,1.0,0.3,108.0,34.2,201.0,63.6,7.0,2.2,122.0,4.1,1.48,16.2,77.0,2.0,6.3,18.0,6.0,33.3,6.0,0.0,2.0,21.0,69.8,2 (0)
6.0,Luke Musgrave,#88,TE,13.0,52.0,40.0,76.9,418.0,10.5,2.0,68.1,69.6,82.2,78.3,45.7,334.0,296.0,88.6,25.0,7.5,131.0,39.2,28.0,8.4,174.0,52.1,205.0,5.1,1.41,7.4,38.0,1.0,2.4,5.0,2.0,40.0,0.0,0.0,2.0,19.0,112.5,1 (0)
7.0,AJ Dillon,#28,HB,15.0,27.0,22.0,81.5,223.0,10.1,0.0,75.7,68.2,72.1,90.5,56.0,289.0,216.0,74.7,60.0,20.8,2.0,0.7,17.0,5.9,9.0,3.1,237.0,10.8,1.03,-0.4,35.0,1.0,4.3,1.0,0.0,0.0,0.0,0.0,11.0,10.0,101.1,0 (0)
8.0,Emanuel Wilson,#31,HB,8.0,6.0,5.0,83.3,34.0,6.8,0.0,80.0,66.3,73.4,79.6,-,23.0,22.0,95.7,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,47.0,9.4,1.55,-1.7,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,90.3,0 (0)
9.0,Tucker Kraft,#85,TE,19.0,48.0,36.0,75.0,379.0,10.5,3.0,60.4,65.1,71.6,77.4,70.3,397.0,336.0,84.6,45.0,11.3,94.0,23.7,38.0,9.6,265.0,66.8,251.0,7.0,1.13,4.9,43.0,2.0,5.3,5.0,2.0,40.0,1.0,0.0,5.0,20.0,109.6,3 (1)
10.0,James Robinson,#32,HB,1.0,1.0,1.0,100.0,-2.0,-2.0,0.0,59.1,63.1,64.7,64.6,-,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,1.0,-1.0,-3.0,-2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,79.2,0 (0)
