RUSHING_2023_RUSHING_2023_Rank,RUSHING_2023_RUSHING_2023_Player,RUSHING_2023_RUSHING_2023_JerseyNumber,RUSHING_2023_RUSHING_2023_Position,RUSHING_2023_RUSHING_2023_GamesPlayed,RUSHING_2023_RUSHING_2023_RushingTotalSnaps,RUSHING_2023_RUSHING_2023_RushingAttempts,RUSHING_2023_RUSHING_2023_RushingYards,RUSHING_2023_RUSHING_2023_RushingYardsPerAttempt,RUSHING_2023_RUSHING_2023_RushingTouchdowns,RUSHING_2023_RUSHING_2023_RushingFumbles,RUSHING_2023_RUSHING_2023_RushingOverallGrade,RUSHING_2023_RUSHING_2023_RushingGrade,RUSHING_2023_RUSHING_2023_RushingFumbles.1,RUSHING_2023_RUSHING_2023_RushingRunBlockingGrade,RUSHING_2023_RUSHING_2023_RushingYardsAfterContact,RUSHING_2023_RUSHING_2023_RushingYardsAfterContactPerAttempt,RUSHING_2023_RUSHING_2023_RushingMissedTacklesForced,RUSHING_2023_RUSHING_2023_RushingLongestRush,RUSHING_2023_RUSHING_2023_Rushing10PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingYardsInZoneScheme,RUSHING_2023_RUSHING_2023_RushingYardsInGapScheme,RUSHING_2023_RUSHING_2023_RushingScrambles,RUSHING_2023_RUSHING_2023_RushingScrambleYards,RUSHING_2023_RUSHING_2023_RushingDesignedYards,RUSHING_2023_RUSHING_2023_Rushing15PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingBreakawayYards,RUSHING_2023_RUSHING_2023_RushingBreakawayPercentage,RUSHING_2023_RUSHING_2023_RushingFirstDowns,RUSHING_2023_RUSHING_2023_RushingPenalties,RUSHING_2023_RUSHING_2023_RushingReceivingGrade,RUSHING_2023_RUSHING_2023_RushingPassBlockingGrade,RUSHING_2023_RUSHING_2023_RushingTargets,RUSHING_2023_RUSHING_2023_RushingReceptions,RUSHING_2023_RUSHING_2023_RushingReceivingYards,RUSHING_2023_RUSHING_2023_RushingReceivingSnaps,RUSHING_2023_RUSHING_2023_RushingYardsPerRouteRun,RUSHING_2023_RUSHING_2023_RushingDrops,RUSHING_2023_RUSHING_2023_RushingElusiveRating
1.0,Aaron Jones,#33,HB,13.0,207.0,182.0,875.0,4.8,5.0,2.0,80.9,85.7,66.0,57.8,610.0,3.35,37.0,53.0,21.0,119.0,61.0,0.0,0.0,875.0,8.0,220.0,25.1,48.0,0 (0),56.4,63.2,47.0,34.0,254.0,202.0,1.26,6.0,66.7
2.0,Emanuel Wilson,#31,HB,9.0,33.0,26.0,121.0,4.7,0.0,0.0,80.0,79.9,79.6,60.0,44.0,1.69,3.0,31.0,2.0,15.0,10.0,0.0,0.0,121.0,1.0,31.0,25.6,4.0,0 (0),66.3,-,6.0,5.0,34.0,22.0,1.55,0.0,21.8
3.0,AJ Dillon,#28,HB,15.0,205.0,178.0,613.0,3.4,2.0,0.0,75.7,76.1,90.5,56.6,479.0,2.69,21.0,40.0,8.0,96.0,80.0,0.0,0.0,613.0,3.0,72.0,11.7,32.0,0 (0),68.2,56.0,27.0,22.0,223.0,216.0,1.03,1.0,43.1
4.0,Bo Melton,#80,WR,7.0,82.0,3.0,21.0,7.0,0.0,0.0,83.4,71.7,75.3,60.7,30.0,10.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,2.0,0 (0),82.6,-,26.0,18.0,244.0,91.0,2.68,1.0,190.5
5.0,Jayden Reed,#11,WR,18.0,198.0,12.0,128.0,10.7,2.0,0.0,73.3,68.4,88.6,46.1,33.0,2.75,2.0,32.0,6.0,4.0,1.0,0.0,0.0,128.0,6.0,119.0,93.0,6.0,3 (0),74.4,62.4,97.0,68.0,828.0,424.0,1.95,3.0,27.5
6.0,Patrick Taylor,#27,HB,13.0,53.0,35.0,147.0,4.2,0.0,0.0,60.4,64.1,81.6,75.7,101.0,2.89,9.0,24.0,4.0,21.0,14.0,0.0,0.0,147.0,1.0,24.0,16.3,7.0,1 (1),53.4,59.6,17.0,11.0,49.0,136.0,0.36,0.0,62.7
7.0,Keisean Nixon,#25,CB,1.0,1.0,1.0,11.0,11.0,0.0,0.0,78.8,63.4,27.1,-,12.0,12.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0 (0),-,-,0.0,0.0,0.0,0.0,,0.0,"1,200.0"
8.0,Christian Watson,#09,WR,11.0,190.0,4.0,11.0,2.8,0.0,0.0,68.2,60.1,77.5,50.0,16.0,4.0,2.0,13.0,1.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,2 (0),70.3,65.5,56.0,30.0,442.0,298.0,1.48,2.0,47.1
9.0,James Robinson,#32,HB,1.0,2.0,1.0,2.0,2.0,0.0,0.0,59.1,59.7,64.6,60.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0 (0),63.1,-,1.0,1.0,-2.0,2.0,-1.0,0.0,0.0
10.0,Jordan Love,#10,QB,19.0,476.0,55.0,254.0,4.6,4.0,11.0,83.6,59.5,57.7,60.0,107.0,1.95,4.0,37.0,8.0,3.0,1.0,23.0,203.0,51.0,1.0,37.0,14.6,17.0,11 (0),60.0,62.2,0.0,0.0,0.0,0.0,,0.0,0.0
11.0,Dontayvion Wicks,#13,WR,17.0,188.0,1.0,1.0,1.0,0.0,3.0,77.8,59.2,23.0,66.1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2 (0),77.0,-,61.0,41.0,605.0,312.0,1.94,2.0,21.4
12.0,Kenyan Drake,#32,HB,1.0,1.0,1.0,0.0,0.0,0.0,0.0,43.2,56.3,61.9,-,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0 (0),58.5,15.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13.0,Sean Clifford,#08,QB,3.0,15.0,3.0,-2.0,-0.7,0.0,1.0,56.8,44.9,15.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0 (0),-,-,0.0,0.0,0.0,0.0,,0.0,0.0
14.0,Romeo Doubs,#87,WR,19.0,351.0,1.0,-11.0,-11.0,0.0,1.0,73.6,-,47.6,55.4,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,0.0,1 (0),74.0,-,105.0,69.0,908.0,555.0,1.64,4.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
