Week,Away,Opponent,Date,Time,Result,PointsFor,PointsAgainst,OverallGrade,OffenseGrade,PassingGrade,PassBlockingGrade,ReceivingGrade,RushingGrade,RunBlockingGrade,DefenseGrade,RunDefenseGrade,TacklingGrade,PassRushGrade,CoverageGrade,SpecialTeamsGrade,GameReports
1,@,Chicago Bears,09/10,4:25pm,W,38.0,20.0,75.7,64.7,59.4,85.3,62.2,60.7,60.5,77.0,81.3,62.8,68.1,74.4,69.8,Game Reports
2,@,Atlanta Falcons,09/17,1:00pm,L,24.0,25.0,65.9,68.6,64.7,70.2,73.9,69.9,50.5,60.9,45.0,69.7,73.1,68.4,56.5,Game Reports
3,,New Orleans Saints,09/24,1:00pm,W,18.0,17.0,67.9,63.0,61.8,73.0,64.3,66.4,47.4,74.2,69.7,75.1,59.3,77.2,43.3,Game Reports
4,,Detroit Lions,09/28,8:15pm,L,20.0,34.0,64.1,66.0,67.2,60.4,63.4,61.7,60.6,57.4,53.2,48.2,61.7,58.3,64.0,Game Reports
5,@,Las Vegas Raiders,10/09,8:15pm,L,13.0,17.0,67.1,58.3,47.1,75.0,56.0,76.1,51.1,70.8,77.2,88.5,60.8,64.8,80.8,Game Reports
7,@,Denver Broncos,10/22,4:25pm,L,17.0,19.0,63.3,65.4,61.2,54.4,65.7,75.2,58.8,59.0,52.5,35.8,64.5,60.7,66.7,Game Reports
8,,Minnesota Vikings,10/29,1:00pm,L,10.0,24.0,63.6,58.6,68.2,79.3,54.8,55.5,47.4,72.3,85.0,68.4,75.0,57.8,56.1,Game Reports
9,,Los Angeles Rams,11/05,1:00pm,W,20.0,3.0,81.5,76.0,76.3,72.3,70.3,71.5,69.3,77.3,76.7,80.8,55.6,83.6,77.4,Game Reports
10,@,Pittsburgh Steelers,11/12,1:00pm,L,19.0,23.0,69.5,71.1,74.4,63.1,68.2,64.3,63.5,59.5,46.6,33.5,68.8,64.7,64.2,Game Reports
11,,Los Angeles Chargers,11/19,1:00pm,W,23.0,20.0,62.7,69.1,69.5,70.3,71.0,59.2,56.4,56.3,56.3,41.1,66.1,51.3,59.8,Game Reports
12,@,Detroit Lions,11/23,12:30pm,W,29.0,22.0,74.2,78.2,87.1,69.5,77.9,56.7,60.2,64.9,53.1,49.6,76.6,61.6,61.5,Game Reports
13,,Kansas City Chiefs,12/03,8:20pm,W,27.0,19.0,81.0,86.0,90.6,60.5,82.0,78.8,66.5,63.3,58.6,72.7,59.2,65.7,68.5,Game Reports
14,@,New York Giants,12/11,8:15pm,L,22.0,24.0,62.9,65.3,65.0,64.8,60.8,58.6,68.7,63.4,56.8,44.1,67.1,62.1,57.7,Game Reports
15,,Tampa Bay Buccaneers,12/17,1:00pm,L,20.0,34.0,62.1,73.8,66.2,64.8,75.3,63.0,66.5,42.6,50.4,69.0,66.2,30.7,67.9,Game Reports
16,@,Carolina Panthers,12/24,1:00pm,W,33.0,30.0,59.0,63.4,72.3,52.9,65.0,80.8,39.4,55.3,61.5,56.7,69.5,48.6,46.9,Game Reports
17,@,Minnesota Vikings,12/31,8:20pm,W,33.0,10.0,82.5,84.1,91.3,58.8,84.2,84.5,50.8,74.8,61.1,48.1,80.3,71.7,56.9,Game Reports
18,,Chicago Bears,01/07,4:25pm,W,17.0,9.0,85.3,86.6,90.3,84.8,76.5,68.3,71.9,75.1,71.0,70.3,81.0,64.3,57.0,Game Reports
WC,@,Dallas Cowboys,01/14,4:30pm,W,48.0,32.0,78.3,87.5,91.8,69.0,89.3,80.1,58.3,64.7,65.8,82.8,53.3,71.8,63.2,Game Reports
DP,@,San Francisco 49ers,01/20,8:15pm,L,21.0,24.0,56.7,59.4,53.7,45.3,66.4,68.8,49.8,56.9,44.6,38.5,70.7,55.3,56.6,Game Reports
,,,,,,,,,,,,,,,,,,,,,
