DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Rank,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Player,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_JerseyNumber,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Position,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_GamesPlayed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_PassRushSnaps,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnaps,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageGrade,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePenalties,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTargets,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageReceptionsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageReceptionPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsPerReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsAfterCatchAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageAverageDepthOfTarget,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageLongestReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageForcedIncompletions,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageForcedIncompletionPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePassBreakups,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageInterceptions,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageDrops,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTouchdownsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePasserRatingAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPerTarget,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPerReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTackles,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageAssists,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageMissedTackles,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageMissedTacklePercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageStops
1.0,Derek Stingley Jr.,#24,CB,13.0,488.0,488.0,100.0,85.3,1 (0),48.0,26.0,54.2,395.0,15.2,61.0,17.3,48.0,10.0,21.0,6.0,5.0,0.0,5.0,76.6,9.6,17.7,22.0,2.0,4.0,14.3,5.0
2.0,Desmond King II,#25,CB,8.0,248.0,230.0,92.7,80.7,6 (1),39.0,34.0,87.2,232.0,6.8,147.0,3.6,28.0,2.0,5.0,2.0,0.0,1.0,0.0,91.5,5.6,6.4,29.0,7.0,2.0,5.3,16.0
3.0,Grayland Arnold,#25,CB,5.0,92.0,89.0,96.7,77.0,0 (0),12.0,10.0,83.3,89.0,8.9,41.0,5.8,23.0,0.0,0.0,0.0,0.0,0.0,0.0,97.6,7.2,8.6,8.0,1.0,1.0,10.0,2.0
4.0,Blake Cashman,#53,LB,15.0,460.0,413.0,89.8,75.3,0 (0),60.0,44.0,73.3,347.0,7.9,252.0,4.7,25.0,4.0,7.0,3.0,1.0,0.0,2.0,91.5,6.4,8.7,41.0,12.0,6.0,10.2,22.0
5.0,Steven Nelson,#21,CB,19.0,738.0,737.0,99.9,74.0,3 (0),74.0,45.0,60.8,711.0,15.8,152.0,16.3,51.0,10.0,14.0,8.0,5.0,1.0,1.0,69.1,9.4,15.4,47.0,4.0,3.0,5.6,9.0
6.0,Christian Harris,#48,LB,18.0,527.0,483.0,91.7,72.2,2 (0),70.0,54.0,77.1,456.0,8.4,382.0,2.2,42.0,4.0,6.0,4.0,1.0,1.0,1.0,92.3,6.4,8.4,40.0,10.0,4.0,7.4,21.0
7.0,Jake Hansen,#35,LB,6.0,29.0,26.0,89.7,71.4,0 (0),4.0,4.0,100.0,22.0,5.5,10.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,89.6,6.3,6.3,3.0,0.0,1.0,25.0,2.0
8.0,Will Anderson Jr.,#51,ED,17.0,457.0,3.0,0.7,70.0,5 (0),2.0,2.0,100.0,13.0,6.5,9.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,93.8,1.5,1.5,5.0,0.0,4.0,44.4,9.0
9.0,Tavierre Thomas,#04,CB,7.0,239.0,226.0,94.6,69.5,3 (0),39.0,32.0,82.1,331.0,10.3,167.0,6.0,57.0,2.0,5.0,2.0,0.0,0.0,1.0,110.6,5.3,6.5,31.0,3.0,5.0,12.8,17.0
10.0,Dylan Horton,#92,ED,10.0,99.0,3.0,3.0,69.4,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,4.0,1.0,0.0,0.0,3.0
11.0,Jonathan Greenard,#52,ED,17.0,450.0,10.0,2.2,69.1,4 (1),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,3.0,2.0,7.0,58.3,16.0
