Player,JerseyNumber,Position,GamesPlayed,KickReturnsTotal,KickReturnsTotalGrade,KickoffReturnsTotal,KickoffReturnsTotalYards,KickoffReturnsTotalYards.1,KickoffReturnsLongestReturn,KickoffReturnsYardsPerAttempt,KickoffReturnsTouchdowns,KickoffReturnsFairCatches,KickoffReturnsMuffed,PuntReturnsTotal,PuntReturnsTotalReturns,PuntReturnsTotalYards,PuntReturnsTotalFairCatches,PuntReturnsTotalLongestReturn,PuntReturnsTotalYardsPerAttempt,PuntReturnsTotalTouchdowns,PuntReturnsTotalMuffed
Steven Sims,#82,WR,4.0,76.6,10.0,65.4,5.0,123.0,30.0,24.6,0.0,0.0,0.0,81.3,5.0,116.0,5.0,67.0,23.2,1.0,0.0
Andrew Beck,#47,FB,17.0,74.6,2.0,73.4,2.0,94.0,85.0,47.0,1.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
Dameon Pierce,#31,HB,16.0,69.1,8.0,68.3,8.0,242.0,98.0,30.3,1.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
Robert Woods,#02,WR,16.0,64.4,7.0,-,0.0,0.0,0.0,,0.0,0.0,0.0,65.9,7.0,42.0,10.0,12.0,6.0,0.0,0.0
Dare Ogunbowale,#33,HB,14.0,59.9,1.0,59.9,1.0,14.0,14.0,14.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
Tank Dell,#03,WR,11.0,59.7,13.0,56.3,2.0,44.0,23.0,22.0,0.0,1.0,0.0,63.1,11.0,100.0,6.0,20.0,9.1,0.0,1.0
Devin Singletary,#26,HB,19.0,56.9,4.0,57.2,4.0,90.0,35.0,22.5,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
Mike Boone,#22,HB,9.0,56.2,4.0,56.6,4.0,66.0,25.0,16.5,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
Desmond King II,#25,CB,9.0,53.2,10.0,60.2,1.0,23.0,23.0,23.0,0.0,0.0,0.0,49.5,9.0,109.0,5.0,22.0,12.1,0.0,1.0
,,,,,,,,,,,,,,,,,,,,,
