Player,JerseyNumber,Position,GamesPlayed,PassBlockingTotalSnaps,PassBlockingTotalSnaps.1,PassBlockingTotalSnapsPercentage,PassBlockingGrade,PassBlockingPenalties,PassBlockingPressuresAllowedTotalSnaps,PassBlockingPressuresAllowedTotalSnapsPercentage,PassBlockingPressuresAllowedSacks,PassBlockingPressuresAllowedHits,PassBlockingPressuresAllowedHurries,PassBlockingPressuresAllowedTotal,PassBlockingPressuresAllowedEfficiency,TruePassSetSnaps,TruePassSetSnaps.1,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetPressuresAllowedTotalSnaps,TruePassSetPressuresAllowedTotalSnapsPercentage,TruePassSetPressuresAllowedSacks,TruePassSetPressuresAllowedHits,TruePassSetPressuresAllowedHurries,TruePassSetPressuresAllowedTotal,TruePassSetPressuresAllowedEfficiency
Dameon Pierce,#31,HB,13.0,140.0,24.0,17.1,87.8,0 (0),23.0,17.2,0.0,0.0,0.0,0.0,100.0,48.0,1.0,2.1,74.4,1.0,2.1,0.0,0.0,0.0,0.0,100.0
Laremy Tunsil,#78,T,16.0,616.0,615.0,99.8,84.9,3 (0),571.0,99.8,5.0,3.0,15.0,23.0,97.5,287.0,287.0,100.0,77.7,266.0,100.0,2.0,2.0,11.0,15.0,96.8
Jimmy Morrissey,#79,G,1.0,2.0,2.0,100.0,73.8,0 (0),2.0,100.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,100.0,72.7,1.0,100.0,0.0,0.0,0.0,0.0,100.0
Dieter Eiselen,#60,C,2.0,2.0,2.0,100.0,71.1,0 (0),2.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Kendrick Green,#50,G,3.0,121.0,121.0,100.0,69.9,1 (1),113.0,100.0,0.0,1.0,3.0,4.0,98.2,52.0,52.0,100.0,59.4,51.0,100.0,0.0,1.0,3.0,4.0,96.1
George Fant,#77,T,17.0,619.0,619.0,100.0,68.7,2 (0),578.0,100.0,3.0,4.0,28.0,35.0,96.7,277.0,277.0,100.0,61.0,261.0,100.0,2.0,3.0,22.0,27.0,94.4
Noah Brown,#85,WR,11.0,328.0,1.0,0.3,66.9,2 (1),1.0,0.3,0.0,0.0,0.0,0.0,100.0,171.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Dalton Keene,#40,TE,1.0,3.0,1.0,33.3,66.2,0 (0),1.0,33.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
John Metchie III,#08,WR,18.0,226.0,1.0,0.4,65.3,1 (1),1.0,0.5,0.0,0.0,0.0,0.0,100.0,98.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Shaq Mason,#69,G,19.0,767.0,767.0,100.0,64.7,3 (0),715.0,100.0,3.0,1.0,32.0,36.0,97.3,348.0,348.0,100.0,65.7,326.0,100.0,1.0,0.0,23.0,24.0,96.2
Andrew Beck,#47,FB,17.0,148.0,29.0,19.6,63.6,0 (0),28.0,20.4,0.0,0.0,3.0,3.0,94.6,29.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Brevin Jordan,#09,TE,15.0,190.0,27.0,14.2,61.9,0 (0),25.0,13.9,1.0,0.0,1.0,2.0,94.0,80.0,10.0,12.5,52.7,9.0,11.5,1.0,0.0,0.0,1.0,88.9
C.J. Stroud,#07,QB,17.0,655.0,1.0,0.2,61.3,2 (0),1.0,0.2,0.0,0.0,0.0,0.0,100.0,291.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Dalton Schultz,#86,TE,17.0,551.0,49.0,8.9,61.1,0 (0),46.0,8.9,1.0,0.0,2.0,3.0,95.7,263.0,13.0,4.9,43.2,12.0,4.9,0.0,0.0,2.0,2.0,91.7
Teagan Quitoriano,#84,TE,7.0,55.0,27.0,49.1,59.4,0 (0),25.0,49.0,0.0,0.0,3.0,3.0,94.0,11.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Michael Deiter,#63,C,14.0,506.0,506.0,100.0,59.4,2 (0),474.0,100.0,3.0,2.0,20.0,25.0,97.0,237.0,237.0,100.0,44.1,222.0,100.0,1.0,1.0,17.0,19.0,95.5
Josh Jones,#74,T,5.0,152.0,152.0,100.0,55.8,4 (0),142.0,100.0,1.0,3.0,5.0,9.0,96.5,68.0,68.0,100.0,47.3,64.0,100.0,1.0,3.0,4.0,8.0,93.0
Geron Christian,#64,T,1.0,13.0,13.0,100.0,55.3,0 (0),13.0,100.0,0.0,0.0,0.0,0.0,100.0,5.0,5.0,100.0,44.7,5.0,100.0,0.0,0.0,0.0,0.0,100.0
Jarrett Patterson,#68,C,7.0,277.0,277.0,100.0,53.7,0 (0),257.0,100.0,0.0,1.0,7.0,8.0,98.4,120.0,120.0,100.0,56.7,113.0,100.0,0.0,1.0,4.0,5.0,97.8
Austin Deculus,#64,T,1.0,22.0,22.0,100.0,53.6,0 (0),18.0,100.0,0.0,3.0,0.0,3.0,91.7,7.0,7.0,100.0,29.1,7.0,100.0,0.0,2.0,0.0,2.0,85.7
Juice Scruggs,#70,G,9.0,343.0,343.0,100.0,48.9,2 (0),321.0,100.0,4.0,2.0,8.0,14.0,97.2,157.0,157.0,100.0,40.6,147.0,100.0,4.0,2.0,5.0,11.0,94.9
Robert Woods,#02,WR,16.0,479.0,2.0,0.4,39.3,3 (1),2.0,0.4,0.0,0.0,1.0,1.0,75.0,246.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Charlie Heck,#67,T,5.0,158.0,158.0,100.0,39.3,0 (0),147.0,100.0,1.0,1.0,16.0,18.0,93.5,69.0,69.0,100.0,51.5,63.0,100.0,0.0,1.0,11.0,12.0,90.5
Tytus Howard,#71,G,7.0,243.0,243.0,100.0,38.9,0 (0),227.0,100.0,1.0,3.0,14.0,18.0,95.8,112.0,112.0,100.0,19.1,104.0,100.0,0.0,3.0,12.0,15.0,92.8
Devin Singletary,#26,HB,19.0,421.0,69.0,16.4,34.3,0 (0),63.0,16.2,4.0,1.0,2.0,7.0,91.3,165.0,23.0,13.9,46.4,21.0,13.8,1.0,1.0,1.0,3.0,90.5
Eric Saubert,#81,TE,8.0,41.0,12.0,29.3,34.2,0 (0),12.0,31.6,0.0,0.0,3.0,3.0,87.5,7.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Dare Ogunbowale,#33,HB,10.0,117.0,28.0,23.9,29.0,0 (0),25.0,22.7,2.0,0.0,2.0,4.0,88.0,81.0,15.0,18.5,30.8,13.0,17.1,1.0,0.0,2.0,3.0,84.6
Mike Boone,#22,HB,9.0,92.0,13.0,14.1,14.5,0 (0),13.0,15.3,1.0,0.0,2.0,3.0,84.6,56.0,7.0,12.5,35.2,7.0,13.2,1.0,0.0,1.0,2.0,78.6
,,,,,,,,,,,,,,,,,,,,,,,,,,
