Player,JerseyNumber,Position,GamesPlayed,ReceivingTargets,ReceivingReceptions,ReceivingReceptionPercentage,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingOverallGrade,ReceivingGrade,ReceivingDrops,ReceivingFumbles,ReceivingPassBlockingGrade,ReceivingPassSnaps,ReceivingRoutesRun,ReceivingTargetPercentage,ReceivingPassBlockingSnaps,ReceivingPassBlockingSnapsPercentage,ReceivingSnapsInTheSlot,ReceivingSnapsInTheSlotPercentage,ReceivingSnapsWide,ReceivingSnapsWidePercentage,ReceivingSnapsInline,ReceivingSnapsInlinePercentage,ReceivingYardsAfterCatch,ReceivingYardsAfterCatchPerReception,ReceivingYardsPerRouteRun,ReceivingAverageDepthOfTarget,ReceivingLongestReception,ReceivingDrops.1,ReceivingDropPercentage,ReceivingContestedTargets,ReceivingContestedCatches,ReceivingContestedCatchPercentage,ReceivingInterceptionsThrownWhenTargeted,ReceivingFumbles.1,ReceivingMissedTacklesForced,ReceivingFirstDowns,ReceivingPasserRatingWhenTargeted,ReceivingPenalties
Nico Collins,#12,WR,17.0,126.0,91.0,72.2,"1,461",16.1,9.0,91.4,91.2,83.5,83.3,-,497.0,470.0,94.6,0.0,0.0,100.0,20.1,396.0,79.7,1.0,0.2,646.0,7.1,3.11,11.4,75.0,4.0,4.2,17.0,8.0,47.1,2.0,1.0,22.0,62.0,127.8,0 (0)
Tank Dell,#03,WR,11.0,74.0,47.0,63.5,709,15.1,7.0,83.4,83.3,64.5,85.5,-,338.0,320.0,94.7,0.0,0.0,97.0,28.7,237.0,70.1,0.0,0.0,145.0,3.1,2.22,14.4,68.0,4.0,7.8,10.0,6.0,60.0,2.0,0.0,3.0,33.0,115.2,1 (0)
Brevin Jordan,#09,TE,15.0,21.0,18.0,85.7,295,16.4,3.0,69.9,74.8,68.7,73.9,61.9,190.0,156.0,82.1,27.0,14.2,47.0,24.7,18.0,9.5,119.0,62.6,205.0,11.4,1.89,5.4,76.0,1.0,5.3,0.0,0.0,,0.0,0.0,2.0,14.0,158.3,2 (0)
Noah Brown,#85,WR,11.0,55.0,33.0,60.0,567,17.2,2.0,73.0,73.6,39.3,77.6,66.9,328.0,297.0,90.5,1.0,0.3,129.0,39.3,198.0,60.4,1.0,0.3,222.0,6.7,1.91,12.7,75.0,5.0,13.2,8.0,2.0,25.0,0.0,0.0,2.0,24.0,107.2,2 (1)
Dalton Schultz,#86,TE,17.0,93.0,65.0,69.9,715,11.0,6.0,71.5,72.6,60.6,45.4,61.1,551.0,473.0,85.8,49.0,8.9,175.0,31.8,63.0,11.4,288.0,52.3,261.0,4.0,1.51,8.7,37.0,6.0,8.5,11.0,4.0,36.4,2.0,1.0,13.0,38.0,104.9,1 (0)
Steven Sims,#82,WR,3.0,3.0,3.0,100.0,25,8.3,0.0,54.3,68.3,70.5,79.5,-,9.0,9.0,100.0,0.0,0.0,0.0,0.0,9.0,100.0,0.0,0.0,30.0,10.0,2.78,-1.7,23.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,101.4,0 (0)
Dameon Pierce,#31,HB,13.0,17.0,13.0,76.5,101,7.8,0.0,65.9,63.3,64.4,75.5,87.8,140.0,111.0,79.3,24.0,17.1,12.0,8.6,10.0,7.1,0.0,0.0,96.0,7.4,0.91,0.5,27.0,1.0,7.1,2.0,1.0,50.0,0.0,0.0,1.0,3.0,90.6,0 (0)
Teagan Quitoriano,#84,TE,7.0,3.0,2.0,66.7,33,16.5,0.0,60.1,62.9,68.3,64.0,59.4,55.0,26.0,47.3,27.0,49.1,3.0,5.5,3.0,5.5,49.0,89.1,18.0,9.0,1.27,5.0,22.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,103.5,0 (0)
Devin Singletary,#26,HB,19.0,45.0,38.0,84.4,245,6.4,0.0,75.1,61.2,81.8,85.0,34.3,421.0,329.0,78.1,69.0,16.4,30.0,7.1,31.0,7.4,0.0,0.0,273.0,7.2,0.74,0.0,41.0,1.0,2.6,2.0,1.0,50.0,0.0,0.0,4.0,9.0,89.4,0 (0)
Robert Woods,#02,WR,16.0,76.0,42.0,55.3,443,10.5,1.0,60.7,61.0,59.9,83.7,39.3,479.0,448.0,93.5,2.0,0.4,266.0,55.5,202.0,42.2,2.0,0.4,136.0,3.2,0.99,9.9,26.0,4.0,8.7,21.0,8.0,38.1,1.0,0.0,1.0,27.0,71.3,3 (1)
