SCHEDULE_2023_SCHEDULE_2023_Week,SCHEDULE_2023_SCHEDULE_2023_Away,SCHEDULE_2023_SCHEDULE_2023_Opponent,SCHEDULE_2023_SCHEDULE_2023_Date,SCHEDULE_2023_SCHEDULE_2023_Time,SCHEDULE_2023_SCHEDULE_2023_Result,SCHEDULE_2023_SCHEDULE_2023_PointsFor,SCHEDULE_2023_SCHEDULE_2023_PointsAgainst,SCHEDULE_2023_SCHEDULE_2023_OverallGrade,SCHEDULE_2023_SCHEDULE_2023_OffenseGrade,SCHEDULE_2023_SCHEDULE_2023_PassingGrade,SCHEDULE_2023_SCHEDULE_2023_PassBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_ReceivingGrade,SCHEDULE_2023_SCHEDULE_2023_RushingGrade,SCHEDULE_2023_SCHEDULE_2023_RunBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_DefenseGrade,SCHEDULE_2023_SCHEDULE_2023_RunDefenseGrade,SCHEDULE_2023_SCHEDULE_2023_TacklingGrade,SCHEDULE_2023_SCHEDULE_2023_PassRushGrade,SCHEDULE_2023_SCHEDULE_2023_CoverageGrade,SCHEDULE_2023_SCHEDULE_2023_SpecialTeamsGrade,SCHEDULE_2023_SCHEDULE_2023_GameReports
1,@,Baltimore Ravens,09/10,1:00pm,L,9.0,25.0,60.4,56.0,56.7,51.7,58.8,52.6,56.2,66.7,52.8,60.9,60.0,76.8,62.2,Game Reports
2,,Indianapolis Colts,09/17,1:00pm,L,20.0,31.0,61.9,68.7,64.4,60.4,75.1,63.0,51.0,50.2,30.8,45.3,49.8,65.8,59.0,Game Reports
3,@,Jacksonville Jaguars,09/24,1:00pm,W,37.0,17.0,72.8,78.9,80.5,72.1,70.1,70.0,79.2,59.2,35.9,33.5,62.5,71.3,63.8,Game Reports
4,,Pittsburgh Steelers,10/01,1:00pm,W,30.0,6.0,81.7,77.8,76.9,71.0,80.9,68.8,62.3,72.0,53.2,29.7,73.0,78.3,85.7,Game Reports
5,@,Atlanta Falcons,10/08,1:00pm,L,19.0,21.0,71.1,68.0,71.5,74.2,63.4,66.5,54.5,69.5,77.5,50.1,56.4,68.3,54.5,Game Reports
6,,New Orleans Saints,10/15,1:00pm,W,20.0,13.0,74.2,69.1,59.1,72.5,70.3,59.9,66.0,73.2,63.6,71.8,70.4,70.4,64.0,Game Reports
8,@,Carolina Panthers,10/29,1:00pm,L,13.0,15.0,66.6,66.4,57.4,67.1,68.9,64.9,61.1,65.4,78.6,48.0,71.8,51.8,51.0,Game Reports
9,,Tampa Bay Buccaneers,11/05,1:00pm,W,39.0,37.0,72.9,82.0,88.4,65.0,80.8,68.5,51.5,52.8,45.5,70.3,61.6,57.9,55.5,Game Reports
10,@,Cincinnati Bengals,11/12,1:00pm,W,30.0,27.0,76.3,77.3,83.5,68.5,73.6,66.1,62.0,64.6,58.8,46.2,80.4,55.7,64.4,Game Reports
11,,Arizona Cardinals,11/19,1:00pm,W,21.0,16.0,80.0,81.1,78.9,62.1,81.1,68.3,62.2,70.3,57.2,35.7,63.8,75.3,65.5,Game Reports
12,,Jacksonville Jaguars,11/26,1:00pm,L,21.0,24.0,71.3,78.7,81.2,60.6,73.7,72.9,64.2,60.5,75.6,68.6,58.8,47.7,60.1,Game Reports
13,,Denver Broncos,12/03,1:00pm,W,22.0,17.0,65.2,54.4,57.1,60.6,62.4,58.9,41.9,75.2,64.1,70.2,65.3,80.2,72.4,Game Reports
14,@,New York Jets,12/10,1:00pm,L,6.0,30.0,51.5,46.3,43.9,52.9,44.5,65.1,55.5,63.1,54.3,48.4,67.3,63.1,73.8,Game Reports
15,@,Tennessee Titans,12/17,1:00pm,W,19.0,16.0,81.5,64.7,45.2,67.3,70.6,75.1,60.8,89.8,85.0,70.4,83.8,79.5,70.0,Game Reports
16,,Cleveland Browns,12/24,1:00pm,L,22.0,36.0,64.5,50.5,45.6,38.2,56.5,68.6,54.4,77.7,80.3,71.4,76.3,67.1,60.3,Game Reports
17,,Tennessee Titans,12/31,1:00pm,W,26.0,3.0,78.3,72.7,64.8,85.2,77.2,57.3,58.5,71.4,68.0,61.1,89.1,55.5,82.1,Game Reports
18,@,Indianapolis Colts,01/06,8:15pm,W,23.0,19.0,69.1,72.3,80.7,63.1,77.4,63.9,56.7,58.2,56.6,36.1,63.6,62.1,76.1,Game Reports
WC,,Cleveland Browns,01/13,4:30pm,W,45.0,14.0,88.0,80.4,77.4,60.4,79.8,75.0,62.0,82.5,73.8,83.7,62.2,85.9,66.4,Game Reports
DP,@,Baltimore Ravens,01/20,4:30pm,L,10.0,34.0,52.9,58.7,65.6,48.2,66.8,55.8,50.7,49.5,50.7,53.0,54.2,53.2,59.6,Game Reports
,,,,,,,,,,,,,,,,,,,,,
