DEFENSE-RUN_2023_DEFENSE-RUN_2023_Rank,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Player,DEFENSE-RUN_2023_DEFENSE-RUN_2023_JerseyNumber,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Position,DEFENSE-RUN_2023_DEFENSE-RUN_2023_GamesPlayed,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseSnaps,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseGrade,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAssists,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTacklePercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStops,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStopPercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseForcedFumbles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAverageDepthOfTackle,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefensePenalties
1.0,Nick Cross,#20,S,8.0,119.0,81.2,8.0,9.0,1.0,5.6,4.0,3.4,0.0,3.8,0 (0)
2.0,Samson Ebukam,#52,ED,17.0,247.0,80.0,27.0,10.0,4.0,9.8,22.0,9.0,0.0,1.5,1 (0)
3.0,E.J. Speed,#45,LB,16.0,294.0,78.8,42.0,11.0,9.0,14.5,31.0,10.9,1.0,2.5,4 (0)
4.0,Kwity Paye,#51,ED,16.0,287.0,78.1,28.0,11.0,2.0,4.9,18.0,6.4,0.0,3.0,0 (0)
5.0,Cameron McGrone,#59,LB,3.0,8.0,77.3,3.0,0.0,0.0,0.0,1.0,12.5,0.0,7.0,0 (0)
5.0,Grover Stewart,#90,DI,11.0,224.0,77.3,26.0,10.0,1.0,2.7,22.0,10.0,0.0,1.3,1 (0)
7.0,Isaiah Land,#55,ED,6.0,12.0,75.4,2.0,2.0,0.0,0.0,1.0,8.3,0.0,3.5,0 (0)
8.0,Kenny Moore II,#23,CB,16.0,467.0,71.5,24.0,9.0,6.0,15.4,14.0,3.1,0.0,2.6,5 (0)
9.0,Zaire Franklin,#44,LB,16.0,471.0,66.1,69.0,38.0,10.0,8.5,35.0,7.6,0.0,4.0,2 (0)
10.0,Shaquille Leonard,#53,LB,9.0,237.0,64.3,27.0,15.0,2.0,4.5,9.0,3.9,0.0,5.1,0 (0)
11.0,Ronnie Harrison,#48,LB,7.0,111.0,64.1,5.0,5.0,3.0,23.1,4.0,3.7,0.0,2.6,1 (0)
12.0,DeForest Buckner,#99,DI,17.0,336.0,63.8,42.0,20.0,3.0,4.6,33.0,10.0,0.0,2.7,5 (0)
