DEFENSE_2023_DEFENSE_2023_Rank,DEFENSE_2023_DEFENSE_2023_Player,DEFENSE_2023_DEFENSE_2023_JerseyNumber,DEFENSE_2023_DEFENSE_2023_Position,DEFENSE_2023_DEFENSE_2023_GamesPlayed,DEFENSE_2023_DEFENSE_2023_DefenseTotalSnaps,DEFENSE_2023_DEFENSE_2023_DefenseRunDefenseSnaps,DEFENSE_2023_DEFENSE_2023_DefensePassRushSnaps,DEFENSE_2023_DEFENSE_2023_DefenseCoverageSnaps,DEFENSE_2023_DEFENSE_2023_DefenseOverallGrade,DEFENSE_2023_DEFENSE_2023_DefenseRunDefenseGrade,DEFENSE_2023_DEFENSE_2023_DefenseTacklingGrade,DEFENSE_2023_DEFENSE_2023_DefensePassRushGrade,DEFENSE_2023_DEFENSE_2023_DefenseCoverageGrade,DEFENSE_2023_DEFENSE_2023_DefenseTotalPressures,DEFENSE_2023_DEFENSE_2023_DefenseSacks,DEFENSE_2023_DEFENSE_2023_DefenseHits,DEFENSE_2023_DEFENSE_2023_DefenseHurries,DEFENSE_2023_DEFENSE_2023_DefenseBattedPasses,DEFENSE_2023_DEFENSE_2023_DefenseTackles,DEFENSE_2023_DEFENSE_2023_DefenseAssists,DEFENSE_2023_DEFENSE_2023_DefenseMissedTackles,DEFENSE_2023_DEFENSE_2023_DefenseMissedTacklePercentage,DEFENSE_2023_DEFENSE_2023_DefenseStops,DEFENSE_2023_DEFENSE_2023_DefenseForcedFumbles,DEFENSE_2023_DEFENSE_2023_DefenseTargets,DEFENSE_2023_DEFENSE_2023_DefenseReceptionsAllowed,DEFENSE_2023_DEFENSE_2023_DefenseReceptionPercentageAllowed,DEFENSE_2023_DEFENSE_2023_DefenseYardsAllowed,DEFENSE_2023_DEFENSE_2023_DefenseYardsPerReceptionAllowed,DEFENSE_2023_DEFENSE_2023_DefenseYardsAfterCatchAllowed,DEFENSE_2023_DEFENSE_2023_DefenseLongestReceptionAllowed,DEFENSE_2023_DEFENSE_2023_DefenseTouchdownsAllowed,DEFENSE_2023_DEFENSE_2023_DefenseInterceptions,DEFENSE_2023_DEFENSE_2023_DefensePassBreakups,DEFENSE_2023_DEFENSE_2023_DefensePasserRatingAllowed,DEFENSE_2023_DEFENSE_2023_DefensePenalties,DEFENSE_2023_DEFENSE_2023_DefenseSnapsOnDefensiveLine,DEFENSE_2023_DEFENSE_2023_DefenseSnapsInTheBox,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtFreeSafety,DEFENSE_2023_DEFENSE_2023_DefenseSnapsInTheSlot,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtCorner,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtA-Gap,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtB-Gap,DEFENSE_2023_DEFENSE_2023_DefenseSnapsOverTackle,DEFENSE_2023_DEFENSE_2023_DefenseSnapsOutside
1.0,Samson Ebukam,#52,ED,17.0,703,247.0,450.0,6.0,84.4,80.0,51.5,72.6,75.8,48.0,10.0,8.0,30.0,0.0,34.0,10.0,9.0,17.0,38.0,3.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1 (0),693.0,7.0,0.0,0.0,3.0,0.0,0.0,3.0,690.0
2.0,Cameron McGrone,#59,LB,3.0,8,8.0,0.0,0.0,82.7,77.3,80.8,-,-,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,DeForest Buckner,#99,DI,17.0,841,336.0,495.0,10.0,81.8,63.8,54.5,87.1,69.3,52.0,9.0,13.0,30.0,7.0,50.0,21.0,6.0,7.8,43.0,2.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,5 (0),837.0,4.0,0.0,0.0,0.0,14.0,443.0,347.0,33.0
4.0,Kenny Moore II,#23,CB,16.0,"1,089",467.0,28.0,594.0,76.8,71.5,59.7,68.1,78.4,4.0,2.0,0.0,2.0,0.0,72.0,16.0,12.0,12.0,34.0,0.0,82.0,65.0,79.3,603.0,9.3,418.0,54.0,4.0,3.0,2.0,98.3,5 (0),37.0,175.0,13.0,685.0,179.0,0.0,0.0,0.0,37.0
5.0,Grover Stewart,#90,DI,11.0,445,224.0,218.0,3.0,76.2,77.3,71.1,64.7,58.5,15.0,1.0,6.0,8.0,0.0,28.0,10.0,3.0,7.3,24.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1 (0),445.0,0.0,0.0,0.0,0.0,25.0,406.0,14.0,0.0
6.0,Kwity Paye,#51,ED,16.0,700,287.0,410.0,3.0,74.3,78.1,67.9,62.2,57.6,28.0,8.0,2.0,18.0,0.0,30.0,12.0,3.0,6.7,28.0,2.0,1.0,1.0,100.0,10.0,10.0,5.0,10.0,0.0,0.0,0.0,108.3,0 (0),697.0,1.0,0.0,0.0,2.0,0.0,7.0,8.0,682.0
7.0,Tyquan Lewis,#94,ED,17.0,437,178.0,259.0,0.0,73.7,61.9,53.7,76.6,60.0,44.0,5.0,8.0,31.0,3.0,18.0,4.0,3.0,12.0,17.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,2 (1),437.0,0.0,0.0,0.0,0.0,2.0,41.0,102.0,292.0
8.0,Nick Cross,#20,S,14.0,292,119.0,7.0,166.0,71.8,81.2,66.7,70.4,63.2,0.0,0.0,0.0,0.0,0.0,19.0,12.0,4.0,11.4,5.0,0.0,7.0,3.0,42.9,27.0,9.0,0.0,24.0,1.0,1.0,0.0,53.9,0 (0),4.0,39.0,210.0,37.0,2.0,0.0,0.0,0.0,4.0
9.0,Isaiah Land,#55,ED,6.0,31,12.0,19.0,0.0,70.6,75.4,74.2,57.8,-,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
10.0,Julian Blackmon,#32,S,15.0,987,423.0,19.0,545.0,68.3,59.2,81.1,50.2,72.6,4.0,0.0,1.0,3.0,1.0,72.0,16.0,7.0,7.4,30.0,0.0,44.0,31.0,70.5,365.0,11.8,207.0,45.0,0.0,4.0,2.0,57.5,0 (0),30.0,468.0,308.0,175.0,6.0,0.0,0.0,0.0,30.0
