OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Rank,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Player,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_JerseyNumber,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Position,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_GamesPlayed,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnaps.1,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingGrade,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPenalties,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedSacks,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedHits,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedHurries,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotal,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedEfficiency,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnaps.1,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetGrade,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedSacks,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedHits,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedHurries,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotal,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedEfficiency
1.0,Bernhard Raimann,#79,T,15.0,620.0,620.0,100.0,81.3,4 (2),586.0,100.0,4.0,5.0,25.0,34.0,96.8,278.0,278.0,100.0,70.9,260.0,100.0,2.0,3.0,20.0,25.0,94.8
2.0,Quenton Nelson,#56,G,17.0,686.0,686.0,100.0,80.3,3 (0),643.0,100.0,1.0,3.0,17.0,21.0,98.3,310.0,310.0,100.0,76.1,288.0,100.0,0.0,2.0,11.0,13.0,97.7
3.0,Andrew Ogletree,#85,TE,12.0,159.0,21.0,13.2,80.1,0 (0),18.0,12.1,0.0,0.0,0.0,0.0,100.0,54.0,2.0,3.7,68.9,2.0,3.8,0.0,0.0,0.0,0.0,100.0
4.0,Ryan Kelly,#78,C,14.0,534.0,534.0,100.0,78.3,0 (0),498.0,100.0,1.0,0.0,6.0,7.0,99.2,240.0,240.0,100.0,71.1,220.0,100.0,1.0,0.0,5.0,6.0,98.4
5.0,Michael Pittman Jr.,#11,WR,16.0,606.0,3.0,0.5,75.1,3 (0),3.0,0.5,0.0,0.0,0.0,0.0,100.0,269.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
6.0,Tyler Goodson,#31,HB,6.0,34.0,1.0,2.9,73.4,0 (0),1.0,3.0,0.0,0.0,0.0,0.0,100.0,17.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
7.0,Braden Smith,#72,T,10.0,329.0,329.0,100.0,71.0,4 (2),308.0,100.0,0.0,2.0,12.0,14.0,97.7,155.0,155.0,100.0,70.8,144.0,100.0,0.0,2.0,7.0,9.0,96.9
8.0,Trey Sermon,#27,HB,8.0,65.0,17.0,26.2,69.4,0 (0),16.0,27.1,0.0,0.0,0.0,0.0,100.0,40.0,15.0,37.5,66.5,14.0,41.2,0.0,0.0,0.0,0.0,100.0
9.0,Zaire Franklin,#44,LB,2.0,2.0,1.0,50.0,68.5,0 (0),1.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
10.0,Alec Pierce,#14,WR,17.0,649.0,1.0,0.2,66.3,1 (0),1.0,0.2,0.0,0.0,0.0,0.0,100.0,287.0,1.0,0.3,66.3,1.0,0.4,0.0,0.0,0.0,0.0,100.0
11.0,Juwann Winfree,#09,WR,3.0,11.0,1.0,9.1,65.7,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
12.0,Will Fries,#75,G,17.0,677.0,677.0,100.0,65.4,3 (1),634.0,100.0,4.0,4.0,22.0,30.0,97.3,306.0,306.0,100.0,56.9,284.0,100.0,3.0,4.0,15.0,22.0,95.6
13.0,Kylen Granson,#83,TE,15.0,321.0,15.0,4.7,63.8,0 (0),14.0,4.6,1.0,0.0,1.0,2.0,89.3,165.0,3.0,1.8,50.1,3.0,2.0,0.0,0.0,1.0,1.0,83.3
14.0,Zack Moss,#21,HB,14.0,321.0,70.0,21.8,60.4,0 (0),68.0,22.6,0.0,0.0,4.0,4.0,97.1,137.0,38.0,27.7,74.4,37.0,28.9,0.0,0.0,2.0,2.0,97.3
15.0,Jonathan Taylor,#28,HB,10.0,212.0,24.0,11.3,57.1,0 (0),20.0,10.1,0.0,0.0,4.0,4.0,90.0,92.0,13.0,14.1,52.4,11.0,12.8,0.0,0.0,3.0,3.0,86.4
16.0,Mo Alie-Cox,#81,TE,17.0,206.0,40.0,19.4,56.7,0 (0),34.0,18.0,1.0,0.0,2.0,3.0,94.1,61.0,7.0,11.5,34.1,7.0,12.1,0.0,0.0,1.0,1.0,92.9
16.0,Wesley French,#62,C,5.0,153.0,153.0,100.0,56.7,1 (1),146.0,100.0,1.0,0.0,7.0,8.0,96.9,70.0,70.0,100.0,58.3,68.0,100.0,0.0,0.0,5.0,5.0,96.3
18.0,Josh Sills,#65,G,4.0,13.0,13.0,100.0,48.8,0 (0),13.0,100.0,0.0,0.0,1.0,1.0,96.2,4.0,4.0,100.0,2.0,4.0,100.0,0.0,0.0,1.0,1.0,87.5
19.0,Blake Freeland,#73,T,12.0,426.0,426.0,100.0,42.6,2 (1),395.0,100.0,4.0,4.0,37.0,45.0,93.8,187.0,187.0,100.0,32.1,172.0,100.0,3.0,1.0,27.0,31.0,90.1
20.0,Jake Funk,#34,HB,1.0,11.0,2.0,18.2,36.0,0 (0),2.0,20.0,0.0,0.0,1.0,1.0,75.0,7.0,2.0,28.6,36.0,2.0,33.3,0.0,0.0,1.0,1.0,75.0
21.0,Deon Jackson,#31,HB,1.0,32.0,3.0,9.4,6.0,0 (0),3.0,9.4,0.0,0.0,1.0,1.0,83.3,13.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
