Player,JerseyNumber,Position,GamesPlayed,ReceivingTargets,ReceivingReceptions,ReceivingReceptionPercentage,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingOverallGrade,ReceivingGrade,ReceivingDrops,ReceivingFumbles,ReceivingPassBlockingGrade,ReceivingPassSnaps,ReceivingRoutesRun,ReceivingTargetPercentage,ReceivingPassBlockingSnaps,ReceivingPassBlockingSnapsPercentage,ReceivingSnapsInTheSlot,ReceivingSnapsInTheSlotPercentage,ReceivingSnapsWide,ReceivingSnapsWidePercentage,ReceivingSnapsInline,ReceivingSnapsInlinePercentage,ReceivingYardsAfterCatch,ReceivingYardsAfterCatchPerReception,ReceivingYardsPerRouteRun,ReceivingAverageDepthOfTarget,ReceivingLongestReception,ReceivingDrops.1,ReceivingDropPercentage,ReceivingContestedTargets,ReceivingContestedCatches,ReceivingContestedCatchPercentage,ReceivingInterceptionsThrownWhenTargeted,ReceivingFumbles.1,ReceivingMissedTacklesForced,ReceivingFirstDowns,ReceivingPasserRatingWhenTargeted,ReceivingPenalties
Michael Pittman Jr.,#11,WR,16.0,150.0,109.0,72.7,"1,152",10.6,4.0,77.7,80.0,89.2,60.4,75.1,606.0,565.0,93.2,3.0,0.5,155.0,25.6,439.0,72.4,12.0,2.0,518.0,4.8,2.04,8.1,75.0,5.0,4.4,28.0,15.0,53.6,6.0,1.0,5.0,53.0,86.9,8 (0)
Josh Downs,#01,WR,17.0,94.0,68.0,72.3,771,11.3,2.0,70.3,71.0,87.4,84.6,-,514.0,483.0,94.0,0.0,0.0,418.0,81.3,91.0,17.7,1.0,0.2,374.0,5.5,1.6,7.4,59.0,2.0,2.9,11.0,5.0,45.5,1.0,0.0,9.0,30.0,99.2,1 (0)
Will Mallory,#86,TE,12.0,22.0,18.0,81.8,207,11.5,0.0,66.9,66.6,82.7,23.6,13.8,133.0,128.0,96.2,0.0,0.0,79.0,59.4,17.0,12.8,37.0,27.8,87.0,4.8,1.62,6.5,43.0,0.0,0.0,3.0,1.0,33.3,0.0,1.0,0.0,11.0,105.9,0 (0)
Jake Funk,#34,HB,1.0,1.0,1.0,100.0,12,12.0,0.0,63.5,66.5,64.7,66.7,36.0,11.0,8.0,72.7,2.0,18.2,1.0,9.1,0.0,0.0,0.0,0.0,12.0,12.0,1.5,0.0,12.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,116.7,0 (0)
Isaiah McKenzie,#06,WR,12.0,14.0,11.0,78.6,82,7.5,0.0,64.7,66.4,60.2,57.4,-,61.0,55.0,90.2,0.0,0.0,46.0,75.4,10.0,16.4,0.0,0.0,74.0,6.7,1.49,2.4,30.0,1.0,8.3,2.0,1.0,50.0,0.0,0.0,3.0,4.0,91.1,0 (0)
Evan Hull,#26,HB,1.0,1.0,1.0,100.0,6,6.0,0.0,65.7,64.6,68.3,66.2,-,6.0,5.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.2,2.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,91.7,0 (0)
Jonathan Taylor,#28,HB,10.0,24.0,19.0,79.2,153,8.1,1.0,74.9,63.8,71.3,77.3,57.1,212.0,178.0,84.0,24.0,11.3,12.0,5.7,27.0,12.7,0.0,0.0,177.0,9.3,0.86,-0.6,40.0,1.0,5.0,2.0,1.0,50.0,0.0,0.0,7.0,5.0,107.1,0 (0)
Andrew Ogletree,#85,TE,12.0,19.0,9.0,47.4,147,16.3,2.0,66.2,62.3,58.9,71.1,80.1,159.0,131.0,82.4,21.0,13.2,48.0,30.2,7.0,4.4,103.0,64.8,30.0,3.3,1.12,11.9,33.0,1.0,10.0,4.0,1.0,25.0,0.0,0.0,2.0,8.0,108.9,0 (0)
Kylen Granson,#83,TE,15.0,47.0,30.0,63.8,368,12.3,1.0,56.8,59.3,48.7,76.7,63.8,321.0,290.0,90.3,15.0,4.7,136.0,42.4,34.0,10.6,146.0,45.5,133.0,4.4,1.27,8.4,46.0,3.0,9.1,6.0,3.0,50.0,0.0,0.0,0.0,19.0,95.0,2 (0)
D.J. Montgomery,#02,WR,6.0,7.0,3.0,42.9,56,18.7,1.0,60.6,58.4,36.2,65.8,-,66.0,62.0,93.9,0.0,0.0,18.0,27.3,48.0,72.7,0.0,0.0,29.0,9.7,0.9,14.1,34.0,1.0,25.0,3.0,1.0,33.3,0.0,0.0,0.0,3.0,110.7,0 (0)
Mo Alie-Cox,#81,TE,17.0,21.0,13.0,61.9,161,12.4,3.0,60.8,58.4,49.6,72.7,56.7,206.0,155.0,75.2,40.0,19.4,25.0,12.1,4.0,1.9,174.0,84.5,79.0,6.1,1.04,10.3,35.0,2.0,13.3,6.0,3.0,50.0,1.0,0.0,2.0,9.0,105.4,0 (0)
Alec Pierce,#14,WR,17.0,63.0,32.0,50.8,514,16.1,2.0,58.1,56.6,69.5,77.0,66.3,649.0,605.0,93.2,1.0,0.2,85.0,13.1,564.0,86.9,0.0,0.0,94.0,2.9,0.85,15.7,58.0,2.0,5.9,21.0,9.0,42.9,1.0,0.0,1.0,24.0,82.4,2 (0)
Juwann Winfree,#09,WR,3.0,1.0,0.0,0.0,0,,0.0,52.8,54.5,-,-,65.7,11.0,10.0,90.9,1.0,9.1,2.0,18.2,9.0,81.8,0.0,0.0,0.0,,0.0,20.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,39.6,0 (0)
Amari Rodgers,#03,WR,2.0,2.0,0.0,0.0,0,,0.0,44.0,45.2,27.9,-,-,21.0,21.0,100.0,0.0,0.0,3.0,14.3,18.0,85.7,0.0,0.0,0.0,,0.0,19.5,0.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,39.6,0 (0)
Zack Moss,#21,HB,14.0,35.0,27.0,77.1,192,7.1,2.0,66.9,43.9,29.8,90.6,60.4,321.0,233.0,72.6,70.0,21.8,12.0,3.7,18.0,5.6,0.0,0.0,188.0,7.0,0.82,0.3,26.0,5.0,15.6,0.0,0.0,,1.0,0.0,6.0,9.0,96.4,0 (0)
Tyler Goodson,#31,HB,6.0,9.0,6.0,66.7,34,5.7,0.0,57.3,41.5,29.8,76.0,73.4,34.0,32.0,94.1,1.0,2.9,2.0,5.9,4.0,11.8,0.0,0.0,51.0,8.5,1.06,-0.6,15.0,2.0,25.0,0.0,0.0,,0.0,0.0,0.0,1.0,73.4,0 (0)
Deon Jackson,#31,HB,1.0,6.0,5.0,83.3,14,2.8,0.0,30.0,28.6,45.8,17.8,6.0,32.0,29.0,90.6,3.0,9.4,0.0,0.0,2.0,6.3,0.0,0.0,22.0,4.4,0.48,-1.3,8.0,1.0,16.7,0.0,0.0,,0.0,1.0,0.0,0.0,79.2,0 (0)
Trey Sermon,#27,HB,8.0,6.0,3.0,50.0,13,4.3,0.0,56.6,27.7,26.5,80.9,69.4,65.0,43.0,66.2,17.0,26.2,2.0,3.1,2.0,3.1,0.0,0.0,3.0,1.0,0.3,2.0,7.0,3.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,56.3,0 (0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
