Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties
Braden Smith,#72,T,10.0,575,0.0,329.0,0.0,246.0,83.3,-,71.0,-,90.1,7 (2)
Bernhard Raimann,#79,T,15.0,"1,012",0.0,620.0,0.0,392.0,82.7,-,81.3,-,74.6,6 (2)
Michael Pittman Jr.,#11,WR,16.0,991,603.0,3.0,0.0,385.0,77.7,80.0,75.1,-,53.3,8 (0)
Ryan Kelly,#78,C,14.0,882,0.0,534.0,0.0,348.0,77.2,-,78.3,-,75.2,3 (0)
Jonathan Taylor,#28,HB,10.0,386,188.0,24.0,171.0,3.0,74.9,63.8,57.1,75.0,71.9,0 (0)
Quenton Nelson,#56,G,17.0,"1,141",0.0,686.0,0.0,455.0,70.8,-,80.3,-,63.4,6 (0)
Josh Downs,#01,WR,17.0,788,514.0,0.0,0.0,274.0,70.3,71.0,-,-,51.3,1 (0)
Will Mallory,#86,TE,12.0,159,133.0,0.0,0.0,26.0,66.9,66.6,13.8,-,67.5,0 (0)
Zack Moss,#21,HB,14.0,531,251.0,70.0,190.0,20.0,66.9,43.9,60.4,72.8,57.4,0 (0)
Andrew Ogletree,#85,TE,12.0,336,138.0,21.0,0.0,177.0,66.2,62.3,80.1,-,63.1,0 (0)
Evan Hull,#26,HB,1.0,8,6.0,0.0,1.0,1.0,65.7,64.6,-,62.9,60.0,0 (0)
Arlington Hambright,#64,G,2.0,6,0.0,0.0,0.0,6.0,65.4,-,-,-,67.4,0 (0)
Isaiah McKenzie,#06,WR,13.0,117,61.0,0.0,2.0,54.0,64.7,66.4,-,53.7,59.4,0 (0)
Jake Funk,#34,HB,1.0,13,9.0,2.0,2.0,0.0,63.5,66.5,36.0,62.8,-,0 (0)
Gardner Minshew,#10,QB,16.0,972,580.0,0.0,13.0,379.0,62.0,60.6,-,59.6,60.3,4 (0)
Will Fries,#75,G,17.0,"1,125",0.0,677.0,0.0,448.0,61.2,-,65.4,-,59.7,9 (1)
Mo Alie-Cox,#81,TE,17.0,434,166.0,40.0,0.0,228.0,60.8,58.4,56.7,-,60.0,0 (0)
D.J. Montgomery,#02,WR,7.0,124,66.0,0.0,0.0,58.0,60.6,58.4,-,-,70.7,0 (0)
Zaire Franklin,#44,LB,2.0,2,1.0,1.0,0.0,0.0,60.1,59.9,68.5,-,-,0 (0)
Sam Ehlinger,#04,QB,1.0,3,0.0,0.0,0.0,3.0,60.0,-,-,-,60.0,0 (0)
Josh Sills,#65,G,7.0,36,0.0,13.0,0.0,23.0,59.0,-,48.8,-,59.9,0 (0)
Ethan Fernea,#03,WR,1.0,2,2.0,0.0,0.0,0.0,58.4,59.1,-,-,-,0 (0)
Alec Pierce,#14,WR,17.0,"1,090",648.0,1.0,0.0,441.0,58.1,56.6,66.3,-,66.1,2 (0)
Tyler Goodson,#31,HB,6.0,50,33.0,1.0,13.0,3.0,57.3,41.5,73.4,66.0,60.0,0 (0)
Kylen Granson,#83,TE,15.0,496,306.0,15.0,1.0,174.0,56.8,59.3,63.8,63.1,48.2,2 (0)
Trey Sermon,#27,HB,12.0,108,48.0,17.0,36.0,7.0,56.6,27.7,69.4,67.4,60.0,0 (0)
Juwann Winfree,#09,WR,4.0,21,10.0,1.0,0.0,10.0,52.8,54.5,65.7,-,51.6,0 (0)
Anthony Richardson,#05,QB,4.0,173,107.0,0.0,18.0,48.0,52.2,56.5,-,45.3,60.0,1 (0)
Wesley French,#62,C,8.0,270,0.0,153.0,0.0,117.0,48.4,-,56.7,-,47.5,2 (1)
Blake Freeland,#73,T,14.0,701,0.0,426.0,0.0,275.0,44.2,-,42.6,-,47.6,7 (1)
Amari Rodgers,#03,WR,3.0,25,21.0,0.0,0.0,4.0,44.0,45.2,-,-,60.0,0 (0)
Deon Jackson,#31,HB,1.0,51,29.0,3.0,14.0,5.0,30.0,28.6,6.0,41.2,59.4,0 (0)
