Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,CoverageSnaps,CoverageSnapsPercentage,CoverageGrade,CoveragePenalties,CoverageTargets,CoverageReceptionsAllowed,CoverageReceptionPercentage,CoverageYardsAllowed,CoverageYardsPerReceptionAllowed,CoverageYardsAfterCatchAllowed,CoverageAverageDepthOfTarget,CoverageLongestReceptionAllowed,CoverageForcedIncompletions,CoverageForcedIncompletionPercentage,CoveragePassBreakups,CoverageInterceptions,CoverageDrops,CoverageTouchdownsAllowed,CoveragePasserRatingAllowed,CoverageSnapsPerTarget,CoverageSnapsPerReceptionAllowed,CoverageTackles,CoverageAssists,CoverageMissedTackles,CoverageMissedTacklePercentage,CoverageStops
Darious Williams,#31,CB,17.0,707.0,705.0,99.7,85.3,0 (0),86.0,51.0,59.3,613.0,12.0,178.0,12.6,54.0,15.0,17.0,15.0,4.0,4.0,2.0,69.6,7.8,13.2,41.0,4.0,3.0,6.3,13.0
Andrew Wingard,#42,S,16.0,186.0,179.0,96.2,75.1,0 (0),11.0,7.0,63.6,74.0,10.6,8.0,12.3,26.0,1.0,9.0,1.0,1.0,0.0,0.0,45.3,15.8,24.9,12.0,2.0,2.0,12.5,4.0
Tre Herndon,#37,CB,15.0,394.0,368.0,93.4,73.1,1 (0),57.0,45.0,78.9,485.0,10.8,269.0,6.8,68.0,8.0,14.0,6.0,0.0,2.0,3.0,119.7,6.1,7.7,33.0,4.0,8.0,17.8,13.0
Foyesade Oluokun,#23,LB,17.0,727.0,624.0,85.8,72.6,2 (1),85.0,69.0,81.2,553.0,8.0,518.0,1.5,33.0,3.0,4.0,3.0,1.0,1.0,3.0,100.6,7.1,8.7,68.0,15.0,14.0,14.4,27.0
Antonio Johnson,#26,CB,9.0,109.0,101.0,92.7,72.0,0 (0),15.0,10.0,66.7,76.0,7.6,41.0,7.1,18.0,1.0,7.0,0.0,2.0,0.0,0.0,39.2,6.7,10.0,9.0,1.0,1.0,9.1,4.0
Andre Cisco,#05,S,15.0,571.0,553.0,96.8,71.5,2 (0),32.0,22.0,68.8,332.0,15.1,118.0,11.3,43.0,1.0,3.0,1.0,4.0,1.0,2.0,83.9,16.6,24.1,31.0,5.0,6.0,14.3,4.0
Devin Lloyd,#33,LB,15.0,624.0,558.0,89.4,67.8,4 (1),77.0,57.0,74.0,533.0,9.4,365.0,3.7,66.0,7.0,9.0,7.0,0.0,3.0,4.0,109.9,7.0,9.4,50.0,10.0,10.0,14.3,20.0
Adam Gotsis,#96,DI,17.0,252.0,2.0,0.8,65.2,1 (0),1.0,1.0,100.0,13.0,13.0,11.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,118.8,2.0,2.0,4.0,0.0,1.0,20.0,2.0
Roy Robertson-Harris,#95,DI,17.0,465.0,1.0,0.2,64.8,1 (0),1.0,1.0,100.0,8.0,8.0,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,4.0,66.7,3.0
Josh Hines-Allen,#41,ED,17.0,603.0,90.0,14.9,62.8,1 (0),4.0,3.0,75.0,37.0,12.3,27.0,3.3,16.0,1.0,25.0,0.0,1.0,0.0,0.0,63.5,21.8,29.0,12.0,5.0,7.0,29.2,21.0
