Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,PassRushTotalSnaps,PassRushSnapsPercentage,PassRushGrade,PassRushPenalties,PassRushTotalPressures,PassRushSacks,PassRushHits,PassRushHurries,PassRushPressureRate,PassRushWinPercentage,PassRushBattedPasses,TruePassSetSnaps,TruePassSetTotalSnaps,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetTotalPressures,TruePassSetSacks,TruePassSetHits,TruePassSetHurries,TruePassSetPressureRate,TruePassSetWinPercentage,TruePassSetBattedPasses
Josh Hines-Allen,#41,ED,17.0,603.0,513.0,85.1,89.4,1 (0),90.0,19.0,17.0,54.0,11.1,20.5,0.0,262.0,231.0,88.2,91.3,66.0,10.0,13.0,43.0,17.4,33.5,0.0
Tre Herndon,#37,CB,15.0,394.0,26.0,6.6,87.0,1 (0),7.0,0.0,3.0,4.0,14.0,8.0,1.0,213.0,13.0,6.1,89.4,6.0,0.0,3.0,3.0,23.1,7.7,0.0
Gregory Junior,#34,CB,3.0,54.0,2.0,3.7,77.8,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Andrew Wingard,#42,S,16.0,186.0,7.0,3.8,77.5,0 (0),2.0,0.0,1.0,1.0,16.7,50.0,0.0,68.0,2.0,2.9,67.3,0.0,0.0,0.0,0.0,0.0,50.0,0.0
Antonio Johnson,#26,CB,9.0,109.0,8.0,7.3,76.8,0 (0),3.0,1.0,0.0,2.0,25.0,0.0,0.0,51.0,4.0,7.8,86.8,1.0,1.0,0.0,0.0,25.0,0.0,0.0
Foyesade Oluokun,#23,LB,17.0,727.0,103.0,14.2,73.0,2 (1),21.0,3.0,7.0,11.0,12.6,13.7,2.0,309.0,41.0,13.3,78.0,12.0,2.0,2.0,8.0,20.0,22.9,0.0
Rayshawn Jenkins,#02,S,17.0,723.0,46.0,6.4,63.4,2 (1),7.0,1.0,0.0,6.0,8.9,4.4,0.0,308.0,14.0,4.5,67.4,4.0,1.0,0.0,3.0,19.2,0.0,0.0
Yasir Abdullah,#56,ED,5.0,29.0,25.0,86.2,62.9,1 (1),4.0,0.0,1.0,3.0,8.3,12.5,0.0,9.0,9.0,100.0,79.8,3.0,0.0,1.0,2.0,16.7,33.3,0.0
Tyson Campbell,#32,CB,11.0,395.0,1.0,0.3,60.0,3 (2),0.0,0.0,0.0,0.0,,,0.0,159.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Devin Lloyd,#33,LB,15.0,624.0,66.0,10.6,59.2,4 (1),11.0,0.0,2.0,9.0,8.5,10.8,0.0,263.0,30.0,11.4,63.9,6.0,0.0,1.0,5.0,10.0,16.7,0.0
Folorunso Fatukasi,#94,DI,16.0,224.0,223.0,99.6,58.8,0 (0),16.0,0.0,2.0,14.0,3.8,7.5,1.0,68.0,68.0,100.0,69.7,8.0,0.0,2.0,6.0,6.3,17.5,1.0
