Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside
Josh Hines-Allen,#41,ED,17.0,880,277.0,513.0,90.0,89.5,73.2,45.1,89.4,62.8,90.0,19.0,17.0,54.0,0.0,35.0,12.0,11.0,19.0,40.0,2.0,4.0,3.0,75.0,37.0,12.3,27.0,16.0,0.0,1.0,0.0,63.5,1 (0),869.0,3,0.0,8.0,0.0,0.0,0.0,14.0,855.0
Darious Williams,#31,CB,17.0,"1,035",328.0,2.0,705.0,79.5,29.9,58.0,57.1,85.3,1.0,0.0,0.0,1.0,0.0,46.0,5.0,7.0,12.1,13.0,1.0,86.0,51.0,59.3,613.0,12.0,178.0,54.0,2.0,4.0,15.0,69.6,0 (0),0.0,25,1.0,30.0,979.0,0.0,0.0,0.0,0.0
Andrew Wingard,#42,S,17.0,330,144.0,7.0,179.0,79.4,71.3,67.8,77.5,75.1,2.0,0.0,1.0,1.0,0.0,34.0,5.0,5.0,11.4,12.0,1.0,11.0,7.0,63.6,74.0,10.6,8.0,26.0,0.0,1.0,1.0,45.3,0 (0),2.0,111,190.0,24.0,2.0,0.0,0.0,0.0,2.0
Devin Lloyd,#33,LB,15.0,966,342.0,66.0,558.0,78.1,90.3,65.7,59.2,67.8,11.0,0.0,2.0,9.0,0.0,95.0,33.0,16.0,11.1,48.0,0.0,77.0,57.0,74.0,533.0,9.4,365.0,66.0,4.0,0.0,7.0,109.9,4 (1),47.0,824,13.0,73.0,9.0,0.0,0.0,0.0,47.0
Foyesade Oluokun,#23,LB,17.0,"1,110",383.0,103.0,624.0,75.2,70.2,73.4,73.0,72.6,21.0,3.0,7.0,11.0,2.0,126.0,43.0,17.0,9.1,61.0,1.0,85.0,69.0,81.2,553.0,8.0,518.0,33.0,3.0,1.0,3.0,100.6,2 (1),7.0,"1,027",6.0,64.0,6.0,0.0,0.0,0.0,7.0
Antonio Johnson,#26,CB,10.0,172,63.0,8.0,101.0,73.8,64.9,70.4,76.8,72.0,3.0,1.0,0.0,2.0,0.0,12.0,2.0,1.0,6.7,6.0,1.0,15.0,10.0,66.7,76.0,7.6,41.0,18.0,0.0,2.0,0.0,39.2,0 (0),5.0,27,7.0,121.0,11.0,0.0,0.0,0.0,5.0
Tre Herndon,#37,CB,16.0,482,88.0,26.0,368.0,70.8,29.7,43.7,87.0,73.1,7.0,0.0,3.0,4.0,1.0,39.0,4.0,11.0,20.4,14.0,1.0,57.0,45.0,78.9,485.0,10.8,269.0,68.0,3.0,0.0,6.0,119.7,1 (0),5.0,26,12.0,424.0,14.0,0.0,0.0,0.0,5.0
Brenton Strange,#85,TE,1.0,1,1.0,0.0,0.0,69.1,66.9,68.4,-,-,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Cisco,#05,S,15.0,848,277.0,18.0,553.0,68.9,66.1,63.2,56.7,71.5,1.0,1.0,0.0,0.0,0.0,46.0,10.0,9.0,13.8,11.0,1.0,32.0,22.0,68.8,332.0,15.1,118.0,43.0,2.0,4.0,1.0,83.9,2 (0),12.0,140,606.0,87.0,3.0,0.0,0.0,0.0,12.0
Gregory Junior,#34,CB,5.0,94,40.0,2.0,52.0,65.2,84.7,67.4,77.8,55.5,0.0,0.0,0.0,0.0,1.0,7.0,4.0,0.0,0.0,2.0,0.0,9.0,8.0,88.9,62.0,7.8,21.0,13.0,0.0,0.0,0.0,95.4,0 (0),1.0,11,0.0,62.0,19.0,0.0,0.0,0.0,1.0
