OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Rank,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Player,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_JerseyNumber,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Position,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_GamesPlayed,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnaps.1,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingGrade,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPenalties,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedSacks,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedHits,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedHurries,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotal,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedEfficiency,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnaps.1,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetGrade,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedSacks,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedHits,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedHurries,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotal,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedEfficiency
1.0,Tim Jones,#15,WR,16.0,199.0,5.0,2.5,81.0,0 (0),5.0,2.6,0.0,0.0,0.0,0.0,100.0,89.0,1.0,1.1,73.1,1.0,1.2,0.0,0.0,0.0,0.0,100.0
2.0,Cam Robinson,#74,T,9.0,325.0,325.0,100.0,78.8,0 (0),306.0,100.0,3.0,2.0,8.0,13.0,97.4,146.0,146.0,100.0,70.1,131.0,100.0,1.0,2.0,5.0,8.0,96.6
3.0,Brandon Scherff,#68,G,17.0,710.0,710.0,100.0,78.7,1 (0),671.0,100.0,2.0,2.0,11.0,15.0,98.7,319.0,319.0,100.0,70.1,294.0,100.0,2.0,2.0,8.0,12.0,97.6
4.0,Christian Kirk,#13,WR,12.0,408.0,1.0,0.2,75.7,0 (0),1.0,0.3,0.0,0.0,0.0,0.0,100.0,190.0,1.0,0.5,75.7,1.0,0.6,0.0,0.0,0.0,0.0,100.0
5.0,Luke Farrell,#89,TE,17.0,168.0,50.0,29.8,67.6,0 (0),47.0,29.2,2.0,0.0,1.0,3.0,94.7,19.0,1.0,5.3,69.6,1.0,5.3,0.0,0.0,0.0,0.0,100.0
6.0,Zay Jones,#07,WR,9.0,325.0,1.0,0.3,66.2,0 (0),1.0,0.3,0.0,0.0,0.0,0.0,100.0,154.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
7.0,Caleb Johnson,#57,LB,1.0,1.0,1.0,100.0,63.8,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
7.0,Andrew Wingard,#42,S,1.0,1.0,1.0,100.0,63.8,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
9.0,Shaquille Quarterman,#50,LB,1.0,1.0,1.0,100.0,62.7,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
9.0,Chad Muma,#48,LB,1.0,1.0,1.0,100.0,62.7,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
9.0,K'Lavon Chaisson,#45,ED,1.0,1.0,1.0,100.0,62.7,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
12.0,Walker Little,#72,T,11.0,439.0,439.0,100.0,62.6,1 (0),415.0,100.0,2.0,3.0,21.0,26.0,96.6,190.0,190.0,100.0,57.6,178.0,100.0,1.0,3.0,16.0,20.0,94.1
13.0,Evan Engram,#17,TE,17.0,678.0,22.0,3.2,61.8,1 (0),21.0,3.3,0.0,0.0,0.0,0.0,100.0,327.0,3.0,0.9,32.5,3.0,1.0,0.0,0.0,0.0,0.0,100.0
14.0,Ross Matiscik,#46,LS,1.0,1.0,1.0,100.0,61.5,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
