OFFENSE_2023_OFFENSE_2023_Rank,OFFENSE_2023_OFFENSE_2023_Player,OFFENSE_2023_OFFENSE_2023_JerseyNumber,OFFENSE_2023_OFFENSE_2023_Position,OFFENSE_2023_OFFENSE_2023_GamesPlayed,OFFENSE_2023_OFFENSE_2023_OffenseTotalSnaps,OFFENSE_2023_OFFENSE_2023_OffensePassingSnaps,OFFENSE_2023_OFFENSE_2023_OffensePassBlockingSnaps,OFFENSE_2023_OFFENSE_2023_OffenseRushingSnaps,OFFENSE_2023_OFFENSE_2023_OffenseRunBlockingSnaps,OFFENSE_2023_OFFENSE_2023_OffenseOverallGrade,OFFENSE_2023_OFFENSE_2023_OffensePassingGrade,OFFENSE_2023_OFFENSE_2023_OffensePassBlockingGrade,OFFENSE_2023_OFFENSE_2023_OffenseRushingGrade,OFFENSE_2023_OFFENSE_2023_OffenseRunBlockingGrade,OFFENSE_2023_OFFENSE_2023_OffensePenalties
1.0,Trevor Lawrence,#16,QB,16.0,"1,046",682.0,1.0,29.0,334.0,79.7,78.6,60.9,69.9,61.1,8 (0)
2.0,Travis Etienne Jr.,#01,HB,17.0,856,429.0,120.0,271.0,36.0,77.0,69.3,52.2,78.4,77.0,1 (0)
3.0,Evan Engram,#17,TE,17.0,916,656.0,22.0,0.0,238.0,71.6,73.2,61.8,-,54.9,3 (0)
4.0,C.J. Beathard,#03,QB,7.0,113,68.0,0.0,5.0,40.0,71.5,74.6,-,46.9,60.0,0 (0)
5.0,Calvin Ridley,#00,WR,17.0,992,688.0,0.0,9.0,295.0,71.4,72.2,-,57.9,50.2,3 (0)
6.0,Christian Kirk,#13,WR,12.0,585,407.0,1.0,1.0,176.0,71.1,72.7,75.7,63.3,35.8,1 (1)
7.0,Logan Cooke,#09,P,1.0,1,1.0,0.0,0.0,0.0,70.3,66.9,-,-,-,0 (0)
8.0,Brandon Scherff,#68,G,17.0,"1,079",0.0,710.0,0.0,369.0,67.3,-,78.7,-,61.1,5 (0)
9.0,Cam Robinson,#74,T,9.0,535,0.0,325.0,0.0,210.0,65.4,-,78.8,-,51.0,3 (1)
10.0,Matt Barkley,#19,QB,1.0,6,0.0,0.0,3.0,3.0,61.6,-,-,60.5,60.0,0 (0)
11.0,Zay Jones,#07,WR,9.0,474,324.0,1.0,0.0,149.0,61.2,61.5,66.2,-,49.1,0 (0)
12.0,Chad Muma,#48,LB,1.0,1,0.0,1.0,0.0,0.0,60.0,-,62.7,-,-,0 (0)
12.0,K'Lavon Chaisson,#45,ED,1.0,1,0.0,1.0,0.0,0.0,60.0,-,62.7,-,-,0 (0)
12.0,Shaquille Quarterman,#50,LB,1.0,1,0.0,1.0,0.0,0.0,60.0,-,62.7,-,-,0 (0)
12.0,Andrew Wingard,#42,S,1.0,1,0.0,1.0,0.0,0.0,60.0,-,63.8,-,-,0 (0)
12.0,Ross Matiscik,#46,LS,1.0,1,0.0,1.0,0.0,0.0,60.0,-,61.5,-,-,0 (0)
12.0,Caleb Johnson,#57,LB,1.0,1,0.0,1.0,0.0,0.0,60.0,-,63.8,-,-,0 (0)
18.0,Jamal Agnew,#39,WR,11.0,200,156.0,0.0,4.0,40.0,59.9,62.5,-,49.1,76.6,3 (0)
