Week,Away,Opponent,Date,Time,Result,PointsFor,PointsAgainst,OverallGrade,OffenseGrade,PassingGrade,PassBlockingGrade,ReceivingGrade,RushingGrade,RunBlockingGrade,DefenseGrade,RunDefenseGrade,TacklingGrade,PassRushGrade,CoverageGrade,SpecialTeamsGrade,GameReports
1.0,@,Indianapolis Colts,09/10,1:00pm,W,31.0,21.0,75.1,68.4,84.4,64.2,69.3,71.2,38.5,72.9,77.1,84.1,62.2,71.7,75.0,Game Reports
2.0,,Kansas City Chiefs,09/17,1:00pm,L,9.0,17.0,69.6,61.9,71.5,50.0,59.9,67.3,53.2,72.4,67.2,48.4,50.7,81.2,72.0,Game Reports
3.0,,Houston Texans,09/24,1:00pm,L,17.0,37.0,61.7,69.9,81.4,61.7,59.2,68.6,78.1,48.0,48.4,63.4,61.5,44.4,58.3,Game Reports
4.0,,Atlanta Falcons,10/01,9:30am,W,23.0,7.0,67.4,63.5,67.8,77.6,63.5,52.9,56.9,65.9,35.7,50.8,70.1,80.7,61.4,Game Reports
5.0,@,Buffalo Bills,10/08,9:30am,W,25.0,20.0,65.1,66.2,74.3,48.9,69.0,67.8,52.2,58.5,72.4,74.2,61.9,54.3,58.0,Game Reports
6.0,,Indianapolis Colts,10/15,1:00pm,W,37.0,20.0,73.6,61.1,46.7,83.5,62.3,76.0,48.9,76.4,54.8,61.0,57.0,89.6,69.2,Game Reports
7.0,@,New Orleans Saints,10/19,8:15pm,W,31.0,24.0,75.5,67.1,71.8,75.2,66.2,65.5,49.0,76.2,69.1,48.8,62.3,80.2,61.6,Game Reports
8.0,@,Pittsburgh Steelers,10/29,1:00pm,W,20.0,10.0,74.8,67.1,81.9,64.3,66.7,58.7,54.9,74.7,87.1,55.3,63.1,69.1,67.0,Game Reports
10.0,,San Francisco 49ers,11/12,1:00pm,L,3.0,34.0,49.4,51.9,61.0,56.6,54.8,61.5,38.6,46.7,45.6,59.0,66.0,44.0,73.1,Game Reports
11.0,,Tennessee Titans,11/19,1:00pm,W,34.0,14.0,78.0,70.8,76.0,69.9,70.1,68.8,51.3,74.0,74.2,72.9,65.8,74.3,83.3,Game Reports
12.0,@,Houston Texans,11/26,1:00pm,W,24.0,21.0,61.5,66.2,78.6,68.7,63.7,62.9,50.7,52.6,50.0,52.6,61.7,49.5,67.7,Game Reports
13.0,,Cincinnati Bengals,12/04,8:15pm,L,31.0,34.0,70.7,72.9,83.0,62.4,77.6,56.3,48.0,62.7,63.4,67.6,63.4,59.1,66.1,Game Reports
14.0,@,Cleveland Browns,12/10,1:00pm,L,27.0,31.0,63.6,55.4,47.8,30.3,68.3,65.4,51.4,72.2,72.2,35.7,67.7,65.3,54.9,Game Reports
15.0,,Baltimore Ravens,12/17,8:20pm,L,7.0,23.0,57.0,58.6,71.8,51.0,56.9,67.5,43.0,58.1,52.9,56.4,70.3,56.3,64.3,Game Reports
16.0,@,Tampa Bay Buccaneers,12/24,4:05pm,L,12.0,30.0,65.6,59.8,56.0,41.2,67.4,62.4,46.8,69.3,82.5,49.0,61.4,57.5,74.4,Game Reports
17.0,,Carolina Panthers,12/31,1:00pm,W,26.0,0.0,68.6,65.4,68.6,60.4,68.8,67.1,49.7,65.3,57.2,54.6,55.9,70.2,70.6,Game Reports
18.0,@,Tennessee Titans,01/07,1:00pm,L,20.0,28.0,62.4,65.8,69.0,79.9,60.9,79.4,42.8,54.6,51.1,29.6,59.7,56.8,59.1,Game Reports
,,,,,,,,,,,,,,,,,,,,,
