Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Ross Matiscik,#46,LS,17.0,133.0,0.0,0.0,0.0,61.0,0.0,72.0,92.5,-,-,-,0 (0),6.0,1.0,2.0
Brenton Strange,#85,TE,14.0,157.0,56.0,11.0,40.0,1.0,0.0,49.0,81.1,-,-,-,0 (0),0.0,0.0,0.0
Luke Farrell,#89,TE,17.0,141.0,80.0,0.0,0.0,61.0,0.0,0.0,76.7,-,-,-,0 (0),1.0,0.0,0.0
Daniel Thomas,#20,S,15.0,242.0,69.0,73.0,44.0,56.0,0.0,0.0,74.8,59.9,-,-,2 (1),7.0,0.0,2.0
Calvin Ridley,#00,WR,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,74.3,-,-,-,0 (0),0.0,0.0,0.0
Chad Muma,#48,LB,17.0,268.0,76.0,75.0,51.0,61.0,5.0,0.0,71.6,-,-,-,0 (0),2.0,0.0,1.0
Caleb Johnson,#57,LB,17.0,275.0,75.0,85.0,54.0,61.0,0.0,0.0,70.8,-,-,-,1 (0),4.0,1.0,0.0
Christian Braswell,#21,CB,3.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,68.8,-,-,-,0 (0),0.0,0.0,0.0
Shaquille Quarterman,#50,LB,17.0,223.0,59.0,84.0,18.0,61.0,1.0,0.0,66.0,-,-,-,0 (0),2.0,1.0,0.0
Josh Pederson,#87,TE,2.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,65.4,-,-,-,0 (0),0.0,0.0,0.0
Dawuane Smoot,#91,ED,6.0,8.0,0.0,0.0,7.0,0.0,1.0,0.0,64.8,-,-,-,0 (0),0.0,0.0,0.0
Devin Lloyd,#33,LB,15.0,80.0,0.0,0.0,14.0,0.0,66.0,0.0,64.1,-,-,-,0 (0),0.0,0.0,0.0
Andrew Wingard,#42,S,17.0,282.0,77.0,80.0,49.0,61.0,15.0,0.0,63.7,-,-,-,0 (0),5.0,1.0,3.0
Ben Bartch,#78,G,8.0,37.0,0.0,0.0,0.0,0.0,0.0,37.0,63.5,-,-,-,0 (0),0.0,0.0,0.0
Logan Cooke,#09,P,17.0,133.0,0.0,0.0,0.0,61.0,0.0,72.0,63.5,-,77.8,-,0 (0),0.0,0.0,0.0
Blake Hance,#73,T,17.0,72.0,0.0,0.0,0.0,0.0,0.0,72.0,63.3,-,-,-,0 (0),0.0,0.0,0.0
Ezra Cleveland,#76,G,9.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,63.3,-,-,-,0 (0),0.0,0.0,0.0
Foyesade Oluokun,#23,LB,17.0,93.0,5.0,2.0,18.0,0.0,68.0,0.0,63.3,-,-,-,0 (0),0.0,0.0,0.0
Antonio Johnson,#26,CB,13.0,238.0,37.0,67.0,43.0,46.0,45.0,0.0,63.1,-,-,-,1 (0),3.0,1.0,2.0
Luke Fortner,#79,C,15.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,62.9,-,-,-,0 (0),0.0,0.0,0.0
Folorunso Fatukasi,#94,DI,5.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0,62.8,-,-,-,0 (0),0.0,0.0,0.0
Gregory Junior,#34,CB,9.0,105.0,30.0,14.0,29.0,0.0,32.0,0.0,62.7,-,-,-,0 (0),0.0,0.0,0.0
Tim Jones,#15,WR,17.0,194.0,45.0,81.0,54.0,14.0,0.0,0.0,62.7,-,-,-,0 (0),0.0,0.0,0.0
Walker Little,#72,T,12.0,51.0,0.0,0.0,0.0,0.0,0.0,51.0,62.3,-,-,-,0 (0),0.0,0.0,0.0
Tyler Shatley,#69,G,17.0,72.0,0.0,0.0,0.0,0.0,0.0,72.0,62.3,-,-,-,0 (0),0.0,0.0,0.0
Jacob Harris,#83,WR,2.0,25.0,9.0,4.0,7.0,5.0,0.0,0.0,62.0,-,-,-,0 (0),0.0,0.0,0.0
Cole Van Lanen,#70,T,9.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,61.8,-,-,-,0 (0),0.0,0.0,0.0
Angelo Blackson,#90,DI,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,61.4,-,-,-,0 (0),0.0,0.0,0.0
Parker Washington,#11,WR,7.0,33.0,7.0,0.0,26.0,0.0,0.0,0.0,61.0,61.3,67.7,-,0 (0),0.0,0.0,0.0
Tyler Lacy,#93,DI,6.0,24.0,0.0,0.0,1.0,0.0,0.0,23.0,61.0,-,-,-,0 (0),0.0,0.0,0.0
Brandon McManus,#10,K,17.0,158.0,0.0,86.0,0.0,0.0,0.0,72.0,61.0,80.0,-,73.3,0 (0),0.0,0.0,0.0
Jamal Agnew,#39,WR,11.0,91.0,50.0,0.0,39.0,0.0,2.0,0.0,60.9,71.5,71.3,-,0 (0),0.0,0.0,0.0
Chandler Brewer,#67,G,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,60.6,-,-,-,0 (0),0.0,0.0,0.0
Tyson Campbell,#32,CB,7.0,29.0,0.0,0.0,9.0,0.0,20.0,0.0,60.5,-,-,-,0 (0),0.0,0.0,0.0
Josh Hines-Allen,#41,ED,17.0,85.0,0.0,0.0,18.0,0.0,67.0,0.0,60.3,-,-,-,0 (0),0.0,0.0,0.0
Cam Robinson,#74,T,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,60.1,-,-,-,0 (0),0.0,0.0,0.0
Trevor Lawrence,#16,QB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,-,-,-,1 (0),0.0,0.0,0.0
Travis Etienne Jr.,#01,HB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Zay Jones,#07,WR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Brandon Scherff,#68,G,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Travon Walker,#44,ED,16.0,82.0,0.0,0.0,13.0,0.0,69.0,0.0,59.8,-,-,-,0 (0),0.0,0.0,0.0
Evan Engram,#17,TE,5.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,59.6,66.3,-,-,0 (0),0.0,0.0,0.0
Darious Williams,#31,CB,15.0,58.0,0.0,2.0,22.0,0.0,34.0,0.0,59.4,-,-,-,0 (0),0.0,0.0,0.0
DaVon Hamilton,#52,DI,1.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,59.4,-,-,-,0 (0),0.0,0.0,0.0
Adam Gotsis,#96,DI,17.0,329.0,75.0,59.0,32.0,22.0,69.0,72.0,59.1,-,-,-,1 (0),0.0,0.0,0.0
Jeremiah Ledbetter,#99,DI,16.0,67.0,0.0,0.0,2.0,0.0,65.0,0.0,59.0,-,-,-,0 (0),0.0,0.0,0.0
Tevaughn Campbell,#29,CB,2.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,58.6,-,58.4,-,0 (0),0.0,0.0,0.0
Roy Robertson-Harris,#95,DI,16.0,82.0,0.0,0.0,13.0,0.0,69.0,0.0,58.3,-,-,-,0 (0),0.0,0.0,0.0
Tre Herndon,#37,CB,15.0,53.0,0.0,30.0,23.0,0.0,0.0,0.0,57.8,-,-,-,0 (0),1.0,0.0,0.0
Rayshawn Jenkins,#02,S,17.0,157.0,5.0,66.0,18.0,0.0,68.0,0.0,57.6,-,-,-,1 (1),1.0,0.0,0.0
Andre Cisco,#05,S,15.0,128.0,5.0,70.0,0.0,0.0,53.0,0.0,57.0,-,-,-,0 (0),0.0,0.0,0.0
Christian Kirk,#13,WR,5.0,12.0,5.0,0.0,7.0,0.0,0.0,0.0,57.0,-,63.0,-,0 (0),0.0,0.0,0.0
JaMycal Hasty,#22,HB,3.0,14.0,2.0,0.0,12.0,0.0,0.0,0.0,55.6,-,-,-,0 (0),0.0,0.0,0.0
Montaric Brown,#30,CB,12.0,27.0,0.0,2.0,20.0,1.0,4.0,0.0,55.4,-,-,-,1 (0),0.0,0.0,0.0
D'Ernest Johnson,#25,HB,14.0,142.0,51.0,26.0,26.0,39.0,0.0,0.0,53.2,55.6,-,-,0 (0),0.0,0.0,0.0
K'Lavon Chaisson,#45,ED,17.0,110.0,16.0,25.0,9.0,60.0,0.0,0.0,47.9,-,-,-,0 (0),0.0,1.0,1.0
Tank Bigsby,#04,HB,9.0,33.0,5.0,0.0,28.0,0.0,0.0,0.0,44.3,58.9,-,-,1 (0),0.0,0.0,0.0
Anton Harrison,#77,T,17.0,71.0,0.0,0.0,0.0,0.0,0.0,71.0,43.9,-,-,-,0 (0),0.0,0.0,0.0
Elijah Cooks,#14,WR,9.0,42.0,18.0,2.0,22.0,0.0,0.0,0.0,41.8,-,-,-,1 (0),0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,
