Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,CoverageSnaps,CoverageSnapsPercentage,CoverageGrade,CoveragePenalties,CoverageTargets,CoverageReceptionsAllowed,CoverageReceptionPercentage,CoverageYardsAllowed,CoverageYardsPerReceptionAllowed,CoverageYardsAfterCatchAllowed,CoverageAverageDepthOfTarget,CoverageLongestReceptionAllowed,CoverageForcedIncompletions,CoverageForcedIncompletionPercentage,CoveragePassBreakups,CoverageInterceptions,CoverageDrops,CoverageTouchdownsAllowed,CoveragePasserRatingAllowed,CoverageSnapsPerTarget,CoverageSnapsPerReceptionAllowed,CoverageTackles,CoverageAssists,CoverageMissedTackles,CoverageMissedTacklePercentage,CoverageStops
Trent McDuffie,#22,CB,20.0,788.0,718.0,91.1,81.5,5 (2),90.0,57.0,63.3,637.0,11.2,267.0,9.2,53.0,8.0,9.0,7.0,0.0,0.0,3.0,95.5,7.6,12.0,39.0,8.0,5.0,9.6,20.0
Chamarri Conner,#27,S,20.0,325.0,300.0,92.3,78.4,0 (0),28.0,21.0,75.0,181.0,8.6,97.0,9.1,27.0,0.0,0.0,0.0,1.0,0.0,0.0,76.6,10.3,13.7,23.0,4.0,6.0,18.2,7.0
Joshua Williams,#02,CB,20.0,314.0,310.0,98.7,75.2,2 (0),29.0,12.0,41.4,103.0,8.6,27.0,13.7,18.0,8.0,28.0,4.0,0.0,0.0,2.0,74.4,10.4,25.2,14.0,2.0,1.0,5.9,6.0
L'Jarius Sneed,#38,CB,20.0,799.0,781.0,97.7,73.8,18 (6),101.0,53.0,52.5,545.0,10.3,216.0,11.2,54.0,19.0,19.0,12.0,2.0,2.0,2.0,66.6,7.4,14.1,57.0,2.0,8.0,11.9,17.0
Malik Herring,#94,ED,11.0,128.0,5.0,3.9,71.7,1 (0),2.0,1.0,50.0,8.0,8.0,4.0,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,60.4,2.5,5.0,3.0,0.0,0.0,0.0,1.0
Chris Jones,#95,DI,20.0,635.0,2.0,0.3,69.8,4 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,3.0,0.0,6.0,66.7,15.0
Deon Bush,#26,S,8.0,75.0,74.0,98.7,69.4,0 (0),3.0,3.0,100.0,42.0,14.0,18.0,8.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,79.2,24.0,24.0,6.0,0.0,0.0,0.0,0.0
Mike Danna,#51,ED,20.0,609.0,28.0,4.6,69.1,0 (0),3.0,2.0,66.7,19.0,9.5,15.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,9.0,13.5,8.0,4.0,2.0,14.3,13.0
Drue Tranquill,#23,LB,19.0,438.0,369.0,84.2,66.9,0 (0),47.0,37.0,78.7,304.0,8.2,230.0,2.9,27.0,1.0,2.0,1.0,0.0,0.0,0.0,93.6,7.4,9.4,41.0,3.0,2.0,4.3,23.0
Ekow Boye-Doe,#40,CB,1.0,10.0,10.0,100.0,66.3,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
