DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Rank,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Player,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_JerseyNumber,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Position,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_GamesPlayed,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushTotalSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSnapsPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushGrade,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushPenalties,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushTotalPressures,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSacks,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushHits,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushHurries,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushPressureRate,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushWinPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushBattedPasses,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetTotalSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSnapsPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetGrade,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetTotalPressures,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSacks,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetHits,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetHurries,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetPressureRate,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetWinPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetBattedPasses
1.0,Trent McDuffie,#22,CB,20.0,788.0,70.0,8.9,91.6,5 (2),19.0,3.0,9.0,7.0,16.7,10.6,4.0,322.0,32.0,9.9,91.3,12.0,3.0,5.0,4.0,25.0,10.0,1.0
2.0,Chris Jones,#95,DI,20.0,635.0,633.0,99.7,90.4,4 (0),91.0,15.0,23.0,53.0,8.8,17.8,5.0,286.0,286.0,100.0,90.4,56.0,7.0,15.0,34.0,11.7,24.5,0.0
3.0,Cam Jones,#44,LB,1.0,57.0,8.0,14.0,84.3,0 (0),1.0,0.0,0.0,1.0,8.3,33.3,0.0,30.0,5.0,16.7,79.7,1.0,0.0,0.0,1.0,16.7,33.3,0.0
3.0,Drue Tranquill,#23,LB,19.0,438.0,69.0,15.8,84.3,0 (0),22.0,5.0,2.0,15.0,20.1,17.9,0.0,164.0,30.0,18.3,68.9,10.0,1.0,1.0,8.0,19.0,24.1,0.0
5.0,Justin Reid,#20,S,20.0,790.0,56.0,7.1,73.2,3 (1),12.0,5.0,3.0,4.0,16.0,13.2,1.0,323.0,29.0,9.0,76.8,8.0,4.0,2.0,2.0,23.1,19.2,1.0
6.0,Jaylen Watson,#35,CB,19.0,390.0,10.0,2.6,71.7,3 (0),2.0,2.0,0.0,0.0,20.0,0.0,0.0,188.0,6.0,3.2,81.5,2.0,2.0,0.0,0.0,33.3,0.0,0.0
7.0,Leo Chenal,#54,LB,21.0,255.0,82.0,32.2,71.6,0 (0),19.0,2.0,5.0,12.0,13.1,10.0,1.0,67.0,28.0,41.8,68.8,10.0,1.0,3.0,6.0,20.4,14.8,0.0
8.0,Charles Omenihu,#90,ED,14.0,324.0,318.0,98.1,70.6,2 (1),37.0,8.0,5.0,24.0,7.4,11.2,2.0,158.0,155.0,98.1,75.5,25.0,5.0,4.0,16.0,10.2,16.3,1.0
9.0,Nic Jones,#31,CB,2.0,52.0,5.0,9.6,67.7,0 (0),1.0,0.0,1.0,0.0,10.0,20.0,0.0,28.0,3.0,10.7,75.6,1.0,0.0,1.0,0.0,16.7,33.3,0.0
10.0,Tershawn Wharton,#98,DI,21.0,353.0,343.0,97.2,67.5,1 (0),23.0,3.0,2.0,18.0,3.9,9.4,0.0,139.0,136.0,97.8,73.5,15.0,2.0,2.0,11.0,6.5,14.6,0.0
11.0,George Karlaftis,#56,ED,20.0,650.0,605.0,93.1,65.4,1 (1),83.0,15.0,8.0,60.0,8.4,11.9,4.0,286.0,258.0,90.2,66.8,48.0,12.0,5.0,31.0,12.1,15.8,0.0
