DEFENSE_2023_DEFENSE_2023_Rank,DEFENSE_2023_DEFENSE_2023_Player,DEFENSE_2023_DEFENSE_2023_JerseyNumber,DEFENSE_2023_DEFENSE_2023_Position,DEFENSE_2023_DEFENSE_2023_GamesPlayed,DEFENSE_2023_DEFENSE_2023_DefenseTotalSnaps,DEFENSE_2023_DEFENSE_2023_DefenseRunDefenseSnaps,DEFENSE_2023_DEFENSE_2023_DefensePassRushSnaps,DEFENSE_2023_DEFENSE_2023_DefenseCoverageSnaps,DEFENSE_2023_DEFENSE_2023_DefenseOverallGrade,DEFENSE_2023_DEFENSE_2023_DefenseRunDefenseGrade,DEFENSE_2023_DEFENSE_2023_DefenseTacklingGrade,DEFENSE_2023_DEFENSE_2023_DefensePassRushGrade,DEFENSE_2023_DEFENSE_2023_DefenseCoverageGrade,DEFENSE_2023_DEFENSE_2023_DefenseTotalPressures,DEFENSE_2023_DEFENSE_2023_DefenseSacks,DEFENSE_2023_DEFENSE_2023_DefenseHits,DEFENSE_2023_DEFENSE_2023_DefenseHurries,DEFENSE_2023_DEFENSE_2023_DefenseBattedPasses,DEFENSE_2023_DEFENSE_2023_DefenseTackles,DEFENSE_2023_DEFENSE_2023_DefenseAssists,DEFENSE_2023_DEFENSE_2023_DefenseMissedTackles,DEFENSE_2023_DEFENSE_2023_DefenseMissedTacklePercentage,DEFENSE_2023_DEFENSE_2023_DefenseStops,DEFENSE_2023_DEFENSE_2023_DefenseForcedFumbles,DEFENSE_2023_DEFENSE_2023_DefenseTargets,DEFENSE_2023_DEFENSE_2023_DefenseReceptionsAllowed,DEFENSE_2023_DEFENSE_2023_DefenseReceptionPercentageAllowed,DEFENSE_2023_DEFENSE_2023_DefenseYardsAllowed,DEFENSE_2023_DEFENSE_2023_DefenseYardsPerReceptionAllowed,DEFENSE_2023_DEFENSE_2023_DefenseYardsAfterCatchAllowed,DEFENSE_2023_DEFENSE_2023_DefenseLongestReceptionAllowed,DEFENSE_2023_DEFENSE_2023_DefenseTouchdownsAllowed,DEFENSE_2023_DEFENSE_2023_DefenseInterceptions,DEFENSE_2023_DEFENSE_2023_DefensePassBreakups,DEFENSE_2023_DEFENSE_2023_DefensePasserRatingAllowed,DEFENSE_2023_DEFENSE_2023_DefensePenalties,DEFENSE_2023_DEFENSE_2023_DefenseSnapsOnDefensiveLine,DEFENSE_2023_DEFENSE_2023_DefenseSnapsInTheBox,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtFreeSafety,DEFENSE_2023_DEFENSE_2023_DefenseSnapsInTheSlot,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtCorner,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtA-Gap,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtB-Gap,DEFENSE_2023_DEFENSE_2023_DefenseSnapsOverTackle,DEFENSE_2023_DEFENSE_2023_DefenseSnapsOutside
1.0,Chris Jones,#95,DI,20.0,947,312.0,633.0,2.0,88.1,60.0,29.6,90.4,69.8,91.0,15.0,23.0,53.0,5.0,16.0,7.0,8.0,25.8,25.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,4 (0),944.0,3.0,0.0,0.0,0,5.0,464.0,321.0,154.0
2.0,Trent McDuffie,#22,CB,20.0,"1,243",455.0,70.0,718.0,84.8,71.8,49.4,91.6,81.5,19.0,3.0,9.0,7.0,4.0,67.0,16.0,14.0,14.4,35.0,5.0,90.0,57.0,63.3,637.0,11.2,267.0,53.0,3.0,0.0,7.0,95.5,5 (2),76.0,188.0,1.0,608.0,368,0.0,0.0,0.0,76.0
3.0,Leo Chenal,#54,LB,21.0,527,272.0,82.0,173.0,84.0,90.6,74.2,71.6,61.1,19.0,2.0,5.0,12.0,1.0,56.0,17.0,6.0,7.6,33.0,1.0,29.0,26.0,89.7,187.0,7.2,124.0,23.0,0.0,0.0,0.0,93.5,0 (0),168.0,306.0,0.0,48.0,1,0.0,0.0,2.0,166.0
4.0,Chamarri Conner,#27,S,21.0,468,143.0,25.0,300.0,81.0,79.6,54.3,56.0,78.4,6.0,0.0,0.0,6.0,0.0,35.0,8.0,9.0,17.3,11.0,1.0,28.0,21.0,75.0,181.0,8.6,97.0,27.0,0.0,1.0,0.0,76.6,0 (0),23.0,86.0,208.0,145.0,3,0.0,0.0,0.0,23.0
5.0,Joshua Williams,#02,CB,20.0,420,106.0,4.0,310.0,74.4,62.6,77.3,52.7,75.2,0.0,0.0,0.0,0.0,0.0,19.0,4.0,1.0,4.2,8.0,0.0,29.0,12.0,41.4,103.0,8.6,27.0,18.0,2.0,0.0,4.0,74.4,2 (0),10.0,19.0,2.0,12.0,374,0.0,0.0,0.0,10.0
6.0,L'Jarius Sneed,#38,CB,20.0,"1,260",461.0,18.0,781.0,72.5,70.8,63.5,61.6,73.8,6.0,0.0,3.0,3.0,0.0,80.0,9.0,13.0,12.7,25.0,1.0,101.0,53.0,52.5,545.0,10.3,216.0,54.0,2.0,2.0,12.0,66.6,18 (6),47.0,42.0,0.0,29.0,"1,142",0.0,0.0,0.0,47.0
7.0,Jaylen Watson,#35,CB,20.0,533,143.0,10.0,380.0,68.5,70.6,79.3,71.7,66.2,2.0,2.0,0.0,0.0,0.0,34.0,0.0,2.0,5.6,14.0,0.0,50.0,27.0,54.0,286.0,10.6,82.0,29.0,5.0,0.0,7.0,104.3,3 (0),17.0,27.0,0.0,16.0,471,0.0,0.0,0.0,17.0
8.0,Drue Tranquill,#23,LB,19.0,721,283.0,69.0,369.0,68.4,55.9,70.8,84.3,66.9,22.0,5.0,2.0,15.0,0.0,72.0,18.0,8.0,8.2,42.0,2.0,47.0,37.0,78.7,304.0,8.2,230.0,27.0,0.0,0.0,1.0,93.6,0 (0),77.0,599.0,1.0,37.0,4,0.0,0.0,0.0,77.0
9.0,Ekow Boye-Doe,#40,CB,1.0,15,5.0,0.0,10.0,66.9,60.0,-,-,66.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,1.0,0.0,0.0,14,0.0,0.0,0.0,0.0
10.0,Cam Jones,#44,LB,3.0,82,25.0,8.0,49.0,65.6,80.4,39.5,84.3,50.3,1.0,0.0,0.0,1.0,0.0,10.0,1.0,3.0,21.4,4.0,0.0,7.0,7.0,100.0,45.0,6.4,46.0,14.0,0.0,0.0,0.0,93.5,0 (0),10.0,52.0,3.0,15.0,1,0.0,0.0,0.0,10.0
