OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Rank,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Player,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_JerseyNumber,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Position,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_GamesPlayed,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnaps.1,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingGrade,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPenalties,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedSacks,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedHits,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedHurries,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotal,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedEfficiency,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnaps.1,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetGrade,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedSacks,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedHits,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedHurries,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotal,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedEfficiency
1.0,Joe Thuney,#62,G,19.0,809.0,809.0,100.0,84.5,1 (0),759.0,100.0,2.0,6.0,27.0,35.0,97.6,401.0,401.0,100.0,72.7,367.0,100.0,2.0,5.0,24.0,31.0,95.5
2.0,La'Mical Perine,#29,HB,4.0,36.0,5.0,13.9,79.2,0 (0),5.0,13.9,0.0,0.0,0.0,0.0,100.0,11.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
3.0,Travis Kelce,#87,TE,19.0,726.0,23.0,3.2,77.9,6 (3),22.0,3.2,0.0,0.0,1.0,1.0,97.7,366.0,2.0,0.5,71.7,1.0,0.3,0.0,0.0,0.0,0.0,100.0
4.0,Creed Humphrey,#52,C,21.0,923.0,923.0,100.0,74.3,2 (0),866.0,100.0,4.0,4.0,10.0,18.0,98.7,458.0,458.0,100.0,74.4,420.0,100.0,3.0,2.0,5.0,10.0,98.5
5.0,Nick Allegretti,#73,G,6.0,160.0,160.0,100.0,73.7,0 (0),153.0,100.0,2.0,1.0,9.0,12.0,95.4,72.0,72.0,100.0,60.7,68.0,100.0,2.0,1.0,6.0,9.0,91.9
6.0,Rashee Rice,#04,WR,20.0,579.0,4.0,0.7,71.7,1 (0),4.0,0.7,0.0,0.0,0.0,0.0,100.0,294.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
7.0,Matt Bushman,#89,TE,1.0,4.0,1.0,25.0,70.6,0 (0),1.0,33.3,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
8.0,Trey Smith,#65,G,21.0,912.0,912.0,100.0,68.1,7 (2),855.0,100.0,2.0,5.0,36.0,43.0,97.4,455.0,455.0,100.0,55.8,417.0,100.0,2.0,5.0,29.0,36.0,95.4
9.0,Isiah Pacheco,#10,HB,18.0,460.0,74.0,16.1,67.4,1 (0),69.0,15.9,0.0,1.0,5.0,6.0,95.7,195.0,21.0,10.8,73.4,18.0,10.1,0.0,0.0,2.0,2.0,94.4
10.0,Justin Watson,#84,WR,20.0,492.0,1.0,0.2,66.3,1 (0),1.0,0.2,0.0,0.0,0.0,0.0,100.0,259.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
11.0,Jawaan Taylor,#74,T,21.0,910.0,909.0,99.9,64.6,12 (3),852.0,99.9,5.0,12.0,42.0,59.0,96.2,453.0,453.0,100.0,60.0,415.0,100.0,3.0,9.0,33.0,45.0,94.2
12.0,Wanya Morris,#64,T,8.0,235.0,235.0,100.0,63.4,1 (1),223.0,100.0,2.0,7.0,15.0,24.0,94.2,116.0,116.0,100.0,59.7,109.0,100.0,2.0,4.0,11.0,17.0,91.3
13.0,Donovan Smith,#79,T,16.0,688.0,688.0,100.0,62.2,8 (4),643.0,100.0,3.0,9.0,41.0,53.0,95.6,339.0,339.0,100.0,50.9,308.0,100.0,3.0,6.0,30.0,39.0,93.2
14.0,Deon Bush,#26,S,1.0,1.0,1.0,100.0,60.9,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
