SCHEDULE_2023_SCHEDULE_2023_Week,SCHEDULE_2023_SCHEDULE_2023_Away,SCHEDULE_2023_SCHEDULE_2023_Opponent,SCHEDULE_2023_SCHEDULE_2023_Date,SCHEDULE_2023_SCHEDULE_2023_Time,SCHEDULE_2023_SCHEDULE_2023_Result,SCHEDULE_2023_SCHEDULE_2023_PointsFor,SCHEDULE_2023_SCHEDULE_2023_PointsAgainst,SCHEDULE_2023_SCHEDULE_2023_OverallGrade,SCHEDULE_2023_SCHEDULE_2023_OffenseGrade,SCHEDULE_2023_SCHEDULE_2023_PassingGrade,SCHEDULE_2023_SCHEDULE_2023_PassBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_ReceivingGrade,SCHEDULE_2023_SCHEDULE_2023_RushingGrade,SCHEDULE_2023_SCHEDULE_2023_RunBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_DefenseGrade,SCHEDULE_2023_SCHEDULE_2023_RunDefenseGrade,SCHEDULE_2023_SCHEDULE_2023_TacklingGrade,SCHEDULE_2023_SCHEDULE_2023_PassRushGrade,SCHEDULE_2023_SCHEDULE_2023_CoverageGrade,SCHEDULE_2023_SCHEDULE_2023_SpecialTeamsGrade,SCHEDULE_2023_SCHEDULE_2023_GameReports
1,,Detroit Lions,09/07,8:20pm,L,20.0,21.0,59.6,63.1,75.0,63.3,59.5,57.5,52.9,51.5,47.0,47.0,60.4,55.3,73.3,Game Reports
2,@,Jacksonville Jaguars,09/17,1:00pm,W,17.0,9.0,70.2,67.5,70.7,81.9,66.7,84.5,37.6,70.7,69.6,53.1,75.5,62.3,62.4,Game Reports
3,,Chicago Bears,09/24,4:25pm,W,41.0,10.0,82.3,74.5,76.1,59.6,76.1,71.7,60.0,79.7,64.3,60.5,65.1,85.4,75.0,Game Reports
4,@,New York Jets,10/01,8:20pm,W,23.0,20.0,65.5,60.7,48.4,42.3,65.0,71.1,58.6,66.6,60.2,72.1,66.3,64.1,70.6,Game Reports
5,@,Minnesota Vikings,10/08,4:25pm,W,27.0,20.0,72.1,76.3,82.4,70.3,74.3,72.5,49.6,60.1,57.1,64.8,57.8,65.3,68.4,Game Reports
6,,Denver Broncos,10/12,8:15pm,W,19.0,8.0,74.1,66.9,60.1,67.8,65.4,66.8,63.3,75.0,57.3,57.7,71.2,80.1,64.4,Game Reports
7,,Los Angeles Chargers,10/22,4:25pm,W,31.0,17.0,78.6,78.3,87.3,68.2,70.4,74.7,63.6,67.6,68.6,66.2,73.8,56.1,64.1,Game Reports
8,@,Denver Broncos,10/29,4:25pm,L,9.0,24.0,61.4,66.9,63.6,75.6,64.1,64.1,55.9,51.8,57.6,54.4,66.5,41.7,78.6,Game Reports
9,,Miami Dolphins,11/05,9:30am,W,21.0,14.0,67.4,70.6,63.0,76.2,66.1,62.6,76.0,58.1,60.2,63.5,54.9,60.1,63.6,Game Reports
11,,Philadelphia Eagles,11/20,8:15pm,L,17.0,21.0,60.9,61.7,74.3,59.8,51.2,71.7,60.4,55.6,34.0,39.1,62.9,70.3,70.0,Game Reports
12,@,Las Vegas Raiders,11/26,4:25pm,W,31.0,17.0,84.2,81.9,84.3,70.7,79.3,64.1,72.9,72.5,71.6,66.5,71.3,63.8,75.1,Game Reports
13,@,Green Bay Packers,12/03,8:20pm,L,19.0,27.0,64.0,74.2,70.8,80.6,64.3,82.6,68.4,47.1,52.5,66.5,67.3,35.4,58.6,Game Reports
14,,Buffalo Bills,12/10,4:25pm,L,17.0,20.0,78.4,75.7,76.2,65.5,72.0,64.1,75.6,72.7,70.2,67.9,60.4,73.4,69.3,Game Reports
15,@,New England Patriots,12/17,1:00pm,W,27.0,17.0,72.9,65.4,80.4,65.7,66.4,59.3,46.1,77.5,64.7,69.1,81.6,69.2,66.2,Game Reports
16,,Las Vegas Raiders,12/25,1:00pm,L,14.0,20.0,55.5,53.1,33.8,74.3,60.0,58.0,52.4,59.6,44.9,44.3,72.0,64.0,83.0,Game Reports
17,,Cincinnati Bengals,12/31,4:25pm,W,25.0,17.0,79.8,75.6,75.2,83.9,64.8,73.1,69.0,72.3,79.7,66.2,80.4,54.4,66.9,Game Reports
18,@,Los Angeles Chargers,01/07,4:25pm,W,13.0,12.0,66.4,55.5,62.7,44.3,51.2,73.0,51.5,75.5,75.5,56.2,71.6,67.8,57.1,Game Reports
WC,,Miami Dolphins,01/13,8:00pm,W,26.0,7.0,79.1,73.9,79.9,77.2,70.4,68.1,55.9,76.1,76.9,65.5,63.3,73.1,68.3,Game Reports
DP,@,Buffalo Bills,01/21,6:30pm,W,27.0,24.0,80.9,83.7,86.4,63.1,70.3,70.0,87.8,70.7,62.1,60.5,55.3,78.3,56.1,Game Reports
CC,@,Baltimore Ravens,01/28,3:00pm,W,17.0,10.0,73.8,70.7,82.1,62.2,67.7,70.7,49.3,68.1,60.7,36.6,58.2,71.0,73.9,Game Reports
SB,,San Francisco 49ers,02/11,6:30pm,W,25.0,22.0,68.4,67.5,70.7,62.0,67.5,44.3,71.4,60.1,60.1,62.3,73.7,52.9,79.4,Game Reports
,,,,,,,,,,,,,,,,,,,,,
