DEFENSE_2023_DEFENSE_2023_Rank,DEFENSE_2023_DEFENSE_2023_Player,DEFENSE_2023_DEFENSE_2023_JerseyNumber,DEFENSE_2023_DEFENSE_2023_Position,DEFENSE_2023_DEFENSE_2023_GamesPlayed,DEFENSE_2023_DEFENSE_2023_DefenseTotalSnaps,DEFENSE_2023_DEFENSE_2023_DefenseRunDefenseSnaps,DEFENSE_2023_DEFENSE_2023_DefensePassRushSnaps,DEFENSE_2023_DEFENSE_2023_DefenseCoverageSnaps,DEFENSE_2023_DEFENSE_2023_DefenseOverallGrade,DEFENSE_2023_DEFENSE_2023_DefenseRunDefenseGrade,DEFENSE_2023_DEFENSE_2023_DefenseTacklingGrade,DEFENSE_2023_DEFENSE_2023_DefensePassRushGrade,DEFENSE_2023_DEFENSE_2023_DefenseCoverageGrade,DEFENSE_2023_DEFENSE_2023_DefenseTotalPressures,DEFENSE_2023_DEFENSE_2023_DefenseSacks,DEFENSE_2023_DEFENSE_2023_DefenseHits,DEFENSE_2023_DEFENSE_2023_DefenseHurries,DEFENSE_2023_DEFENSE_2023_DefenseBattedPasses,DEFENSE_2023_DEFENSE_2023_DefenseTackles,DEFENSE_2023_DEFENSE_2023_DefenseAssists,DEFENSE_2023_DEFENSE_2023_DefenseMissedTackles,DEFENSE_2023_DEFENSE_2023_DefenseMissedTacklePercentage,DEFENSE_2023_DEFENSE_2023_DefenseStops,DEFENSE_2023_DEFENSE_2023_DefenseForcedFumbles,DEFENSE_2023_DEFENSE_2023_DefenseTargets,DEFENSE_2023_DEFENSE_2023_DefenseReceptionsAllowed,DEFENSE_2023_DEFENSE_2023_DefenseReceptionPercentageAllowed,DEFENSE_2023_DEFENSE_2023_DefenseYardsAllowed,DEFENSE_2023_DEFENSE_2023_DefenseYardsPerReceptionAllowed,DEFENSE_2023_DEFENSE_2023_DefenseYardsAfterCatchAllowed,DEFENSE_2023_DEFENSE_2023_DefenseLongestReceptionAllowed,DEFENSE_2023_DEFENSE_2023_DefenseTouchdownsAllowed,DEFENSE_2023_DEFENSE_2023_DefenseInterceptions,DEFENSE_2023_DEFENSE_2023_DefensePassBreakups,DEFENSE_2023_DEFENSE_2023_DefensePasserRatingAllowed,DEFENSE_2023_DEFENSE_2023_DefensePenalties,DEFENSE_2023_DEFENSE_2023_DefenseSnapsOnDefensiveLine,DEFENSE_2023_DEFENSE_2023_DefenseSnapsInTheBox,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtFreeSafety,DEFENSE_2023_DEFENSE_2023_DefenseSnapsInTheSlot,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtCorner,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtA-Gap,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtB-Gap,DEFENSE_2023_DEFENSE_2023_DefenseSnapsOverTackle,DEFENSE_2023_DEFENSE_2023_DefenseSnapsOutside
1.0,Maxx Crosby,#98,ED,17.0,"1,080",423.0,657.0,0.0,92.1,92.7,61.4,84.3,68.0,94.0,15.0,15.0,64.0,2.0,56.0,19.0,10.0,11.8,58.0,2.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,5 (0),"1,076",4.0,0.0,0.0,0.0,0.0,2.0,20.0,"1,054"
2.0,Luke Masterson,#59,LB,14.0,182,87.0,4.0,91.0,86.9,88.7,53.0,54.1,76.2,0.0,0.0,0.0,0.0,0.0,19.0,6.0,4.0,13.8,10.0,2.0,15.0,12.0,80.0,138.0,11.5,79.0,25.0,0.0,0.0,1.0,105.0,0 (0),4,157.0,0.0,20.0,0.0,0.0,0.0,0.0,4
3.0,Jack Jones,#18,CB,7.0,344,109.0,0.0,235.0,81.4,81.1,52.8,-,81.1,0.0,0.0,0.0,0.0,0.0,20.0,4.0,5.0,17.2,5.0,0.0,22.0,12.0,54.5,128.0,10.7,61.0,50.0,0.0,2.0,1.0,33.9,3 (1),3,20.0,1.0,8.0,312.0,0.0,0.0,0.0,3
4.0,Malcolm Koonce,#51,ED,17.0,501,148.0,344.0,9.0,81.3,66.3,51.4,78.9,67.0,52.0,8.0,10.0,34.0,0.0,25.0,5.0,8.0,21.1,27.0,3.0,2.0,2.0,100.0,43.0,21.5,30.0,38.0,1.0,0.0,0.0,158.3,1 (1),500,0.0,0.0,0.0,0.0,0.0,3.0,15.0,482
5.0,Robert Spillane,#41,LB,17.0,"1,100",439.0,55.0,606.0,77.1,89.0,69.1,87.7,59.0,19.0,4.0,2.0,13.0,0.0,96.0,44.0,17.0,10.8,52.0,1.0,67.0,52.0,77.6,557.0,10.7,360.0,45.0,2.0,3.0,2.0,92.6,2 (1),63,989.0,2.0,40.0,6.0,0.0,0.0,0.0,63
6.0,Tyler Hall,#37,CB,9.0,161,52.0,6.0,103.0,72.7,74.7,82.0,50.7,71.9,0.0,0.0,0.0,0.0,0.0,16.0,3.0,1.0,5.0,6.0,0.0,14.0,11.0,78.6,81.0,7.4,54.0,15.0,1.0,0.0,1.0,114.6,0 (0),1,21.0,2.0,129.0,7.0,0.0,0.0,0.0,1
7.0,Tre'von Moehrig,#25,S,17.0,"1,105",439.0,10.0,656.0,70.2,73.4,71.5,64.7,68.0,3.0,1.0,0.0,2.0,0.0,68.0,12.0,9.0,10.1,20.0,0.0,41.0,29.0,70.7,341.0,11.8,223.0,79.0,4.0,3.0,4.0,97.7,2 (2),17,326.0,600.0,149.0,13.0,0.0,0.0,0.0,17
7.0,DeAndre Carter,#03,WR,1.0,1,0.0,0.0,1.0,70.2,-,-,-,60.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.0,Brandon Bolden,#34,HB,1.0,1,0.0,0.0,1.0,70.2,-,-,-,60.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,Nate Hobbs,#39,CB,13.0,775,281.0,24.0,470.0,69.0,78.8,42.3,45.8,68.1,5.0,1.0,0.0,4.0,0.0,65.0,12.0,15.0,16.3,22.0,1.0,82.0,63.0,76.8,588.0,9.3,372.0,39.0,3.0,1.0,4.0,103.1,4 (1),19,140.0,1.0,504.0,111.0,0.0,0.0,0.0,19
11.0,Marcus Peters,#24,CB,12.0,732,306.0,0.0,426.0,68.8,50.7,30.0,-,71.3,0.0,0.0,0.0,0.0,0.0,35.0,8.0,12.0,21.8,10.0,0.0,50.0,35.0,70.0,356.0,10.2,163.0,72.0,3.0,1.0,4.0,101.7,3 (0),27,53.0,4.0,8.0,640.0,0.0,0.0,0.0,27
12.0,David Long Jr.,#23,CB,5.0,133,65.0,0.0,68.0,68.5,51.3,66.7,-,76.5,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,4.0,0.0,10.0,7.0,70.0,55.0,7.9,11.0,13.0,0.0,0.0,1.0,83.3,1 (0),8,19.0,0.0,9.0,97.0,0.0,0.0,0.0,8
13.0,Jerry Tillery,#90,DI,17.0,504,221.0,283.0,0.0,67.7,63.1,45.3,67.5,63.8,29.0,2.0,4.0,23.0,0.0,14.0,14.0,3.0,9.7,13.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,2 (0),504,0.0,0.0,0.0,0.0,1.0,213.0,211.0,79
14.0,Matthew Butler,#94,DI,2.0,11,4.0,7.0,0.0,65.6,62.0,66.8,63.0,-,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),11,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0
15.0,Marcus Epps,#01,S,17.0,"1,030",404.0,12.0,614.0,65.4,69.7,54.1,57.5,62.3,0.0,0.0,0.0,0.0,0.0,52.0,14.0,13.0,16.5,13.0,1.0,27.0,19.0,70.4,203.0,10.7,129.0,27.0,1.0,0.0,2.0,104.4,0 (0),25,235.0,640.0,120.0,10.0,0.0,0.0,0.0,25
16.0,Chris Smith II,#29,S,1.0,22,12.0,0.0,10.0,64.9,60.7,-,-,63.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0,2.0,18.0,2.0,0.0,0.0,0.0,0.0,0
17.0,Amik Robertson,#21,CB,14.0,674,251.0,4.0,419.0,63.4,54.5,53.2,74.7,65.8,1.0,1.0,0.0,0.0,0.0,42.0,6.0,7.0,12.7,17.0,1.0,64.0,40.0,62.5,445.0,11.1,257.0,77.0,3.0,2.0,5.0,85.7,5 (1),7,58.0,3.0,100.0,506.0,0.0,0.0,0.0,7
18.0,John Jenkins,#95,DI,17.0,595,323.0,272.0,0.0,61.2,55.6,63.0,66.7,59.1,15.0,1.0,1.0,13.0,2.0,40.0,18.0,3.0,4.9,28.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),594,0.0,0.0,0.0,0.0,124.0,468.0,2.0,0
19.0,Divine Deablo,#05,LB,15.0,771,298.0,40.0,433.0,60.6,60.4,80.4,62.3,60.2,8.0,1.0,1.0,6.0,0.0,74.0,31.0,6.0,5.4,34.0,0.0,59.0,45.0,76.3,416.0,9.2,277.0,47.0,2.0,0.0,2.0,106.3,2 (1),82,633.0,1.0,50.0,5.0,0.0,0.0,0.0,82
20.0,Adam Butler,#69,DI,17.0,526,149.0,362.0,15.0,60.1,39.4,47.1,70.2,64.0,28.0,6.0,5.0,17.0,3.0,14.0,10.0,4.0,14.3,15.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),520,6.0,0.0,0.0,0.0,82.0,373.0,62.0,3
21.0,Isaac Rochell,#96,ED,8.0,120,79.0,28.0,13.0,58.8,70.9,59.3,44.1,43.2,2.0,0.0,0.0,2.0,0.0,6.0,2.0,1.0,11.1,5.0,0.0,3.0,3.0,100.0,28.0,9.3,19.0,16.0,0.0,0.0,0.0,105.6,0 (0),118,0.0,0.0,2.0,0.0,0.0,2.0,11.0,105
22.0,Janarius Robinson,#97,ED,6.0,78,31.0,44.0,3.0,56.3,71.3,51.1,56.6,77.8,4.0,1.0,1.0,2.0,0.0,4.0,3.0,1.0,12.5,5.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,3 (1),74,0.0,0.0,3.0,0.0,0.0,2.0,4.0,68
23.0,Jaylon Smith,#15,LB,1.0,25,14.0,0.0,11.0,55.9,50.6,75.0,-,65.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1
24.0,Isaiah Pola-Mao,#20,S,10.0,130,64.0,1.0,65.0,55.4,30.4,62.5,69.1,66.6,1.0,1.0,0.0,0.0,0.0,12.0,4.0,3.0,15.8,5.0,0.0,6.0,4.0,66.7,38.0,9.5,12.0,23.0,0.0,1.0,0.0,44.4,0 (0),7,26.0,83.0,13.0,1.0,0.0,0.0,0.0,7
25.0,Amari Burney,#56,LB,4.0,89,42.0,4.0,43.0,53.9,58.1,58.7,48.8,55.2,2.0,0.0,0.0,2.0,0.0,9.0,5.0,2.0,12.5,4.0,0.0,5.0,5.0,100.0,80.0,16.0,54.0,44.0,0.0,0.0,0.0,118.8,0 (0),0,84.0,0.0,4.0,1.0,0.0,0.0,0.0,0
