"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2023,"REG","LV",1,"00-0034545","CB","Brandon Facyson","Brandon","Facyson","Shin",NA,"Out","Shin",NA,"Did Not Participate In Practice",2023-09-08 20:24:12
2023,"REG","LV",1,"00-0029585","DE","Chandler Jones","Chandler","Jones","Not injury related - personal matter",NA,"Out","Not injury related - personal matter",NA,"Did Not Participate In Practice",2023-09-08 20:24:16
2023,"REG","LV",1,"00-0031763","WR","DeAndre Carter","DeAndre","Carter","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2023-09-08 20:24:05
2023,"REG","LV",2,"00-0031381","WR","Davante Adams","Davante","Adams",NA,NA,NA,"Foot",NA,"Full Participation in Practice",2023-09-15 20:14:40
2023,"REG","LV",2,"00-0031763","WR","DeAndre Carter","DeAndre","Carter",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-15 20:15:24
2023,"REG","LV",2,"00-0033290","T","Jermaine Eluemunor","Jermaine","Eluemunor",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-15 20:19:45
2023,"REG","LV",2,"00-0031345","QB","Jimmy Garoppolo","Jimmy","Garoppolo",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-15 20:14:40
2023,"REG","LV",2,"00-0036604","G","Jordan Meredith","Jordan","Meredith",NA,NA,NA,"Calf",NA,"Full Participation in Practice",2023-09-15 20:19:23
2023,"REG","LV",2,"00-0036962","S","Trevon Moehrig","Trevon","Moehrig",NA,NA,NA,"Thumb",NA,"Full Participation in Practice",2023-09-15 20:14:40
2023,"REG","LV",2,"00-0029585","DE","Chandler Jones","Chandler","Jones","Not injury related - personal matter",NA,"Out","Not injury related - personal matter",NA,"Did Not Participate In Practice",2023-09-15 20:20:56
2023,"REG","LV",2,"00-0034960","WR","Jakobi Meyers","Jakobi","Meyers","Concussion",NA,"Out","Concussion",NA,"Did Not Participate In Practice",2023-09-15 20:21:13
2023,"REG","LV",3,"00-0031381","WR","Davante Adams","Davante","Adams",NA,NA,NA,"gameday concussion protocol evaluation",NA,"Full Participation in Practice",2023-09-20 22:14:35
2023,"REG","LV",3,"00-0039072","CB","Jakorian Bennett","Jakorian","Bennett",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2023-09-22 20:42:17
2023,"REG","LV",3,"00-0036990","LB","Divine Deablo","Divine","Deablo",NA,NA,NA,"Rib",NA,"Full Participation in Practice",2023-09-22 20:42:12
2023,"REG","LV",3,"00-0034993","S","Marcus Epps","Marcus","Epps",NA,NA,NA,"Quadricep",NA,"Full Participation in Practice",2023-09-22 20:42:12
