Week,Away,Opponent,Date,Time,Result,PointsFor,PointsAgainst,OverallGrade,OffenseGrade,PassingGrade,PassBlockingGrade,ReceivingGrade,RushingGrade,RunBlockingGrade,DefenseGrade,RunDefenseGrade,TacklingGrade,PassRushGrade,CoverageGrade,SpecialTeamsGrade,GameReports
1.0,@,Denver Broncos,09/10,4:25pm,W,17.0,16.0,72.3,72.4,85.7,72.2,70.2,60.1,57.6,69.1,62.5,72.7,66.8,70.3,48.9,Game Reports
2.0,@,Buffalo Bills,09/17,1:00pm,L,10.0,38.0,61.1,66.8,61.9,89.7,65.8,50.7,60.8,55.4,46.9,63.9,53.5,67.7,58.1,Game Reports
3.0,,Pittsburgh Steelers,09/24,8:20pm,L,18.0,23.0,67.9,69.0,59.5,59.6,74.0,62.4,67.9,60.5,64.7,62.1,68.4,50.6,63.7,Game Reports
4.0,@,Los Angeles Chargers,10/01,4:05pm,L,17.0,24.0,66.7,54.6,37.4,62.1,57.5,71.5,59.8,80.3,83.9,29.3,79.6,69.3,64.3,Game Reports
5.0,,Green Bay Packers,10/09,8:15pm,W,17.0,13.0,73.3,64.8,49.4,73.7,66.8,66.1,60.7,77.5,77.4,75.8,61.6,75.4,66.3,Game Reports
6.0,,New England Patriots,10/15,4:05pm,W,21.0,17.0,75.4,73.9,76.6,72.9,69.9,54.9,68.6,66.4,64.9,61.9,68.9,64.7,73.9,Game Reports
7.0,@,Chicago Bears,10/22,1:00pm,L,12.0,30.0,60.7,58.5,47.8,75.0,59.7,52.5,65.7,62.8,53.7,38.6,67.8,64.6,71.3,Game Reports
8.0,@,Detroit Lions,10/30,8:15pm,L,14.0,26.0,59.1,58.5,49.0,58.6,48.4,77.5,70.5,58.3,56.9,43.4,73.7,53.5,69.1,Game Reports
9.0,,New York Giants,11/05,4:25pm,W,30.0,6.0,79.5,72.6,70.6,72.5,73.4,76.0,54.5,74.4,67.2,71.0,71.0,70.0,72.5,Game Reports
10.0,,New York Jets,11/12,8:20pm,W,16.0,12.0,67.3,62.6,53.4,65.4,61.5,63.2,63.3,66.6,79.4,53.9,85.0,45.3,62.6,Game Reports
11.0,@,Miami Dolphins,11/19,1:00pm,L,13.0,20.0,61.6,59.9,59.9,63.3,60.7,57.7,54.3,63.0,45.4,58.7,66.0,72.6,53.9,Game Reports
12.0,,Kansas City Chiefs,11/26,4:25pm,L,17.0,31.0,63.7,74.4,82.8,51.5,74.6,73.4,51.9,53.1,54.2,56.0,64.0,48.0,48.1,Game Reports
14.0,,Minnesota Vikings,12/10,4:05pm,L,0.0,3.0,62.4,50.2,54.1,70.8,46.9,67.7,42.6,74.0,72.3,73.3,62.1,71.8,58.0,Game Reports
15.0,,Los Angeles Chargers,12/14,8:15pm,W,63.0,21.0,91.6,81.1,83.0,59.3,78.7,69.7,66.8,86.8,92.1,66.7,72.3,71.6,70.5,Game Reports
16.0,@,Kansas City Chiefs,12/25,1:00pm,W,20.0,14.0,69.6,59.6,57.1,54.7,50.3,65.8,65.4,78.2,77.7,35.1,60.8,80.0,44.3,Game Reports
17.0,@,Indianapolis Colts,12/31,1:00pm,L,20.0,23.0,72.4,75.9,73.6,70.7,73.4,62.4,72.2,58.7,65.5,68.2,50.6,57.0,58.0,Game Reports
18.0,,Denver Broncos,01/07,4:25pm,W,27.0,14.0,74.7,71.7,63.1,51.0,74.7,70.2,62.4,67.9,65.0,65.9,68.2,62.5,78.9,Game Reports
,,,,,,,,,,,,,,,,,,,,,
