Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties,Team
Brian Hoyer,#07,QB,3.0,80,47.0,0.0,3.0,30.0,55.2,54.6,-,60.5,60.0,0 (0),las-vegas-raiders
Brandon Bolden,#34,HB,3.0,5,0.0,0.0,5.0,0.0,77.9,-,-,73.7,-,0 (0),las-vegas-raiders
Greg Van Roten,#70,G,17.0,"1,025",0.0,626.0,0.0,399.0,75.3,-,77.4,-,68.5,0 (0),las-vegas-raiders
Jimmy Garoppolo,#10,QB,7.0,325,204.0,0.0,12.0,109.0,65.0,65.0,-,58.8,60.0,1 (0),las-vegas-raiders
Davante Adams,#17,WR,17.0,961,605.0,0.0,0.0,356.0,79.1,80.0,-,-,49.4,1 (0),las-vegas-raiders
Hroniss Grasu,#65,C,1.0,15,0.0,7.0,0.0,8.0,45.7,-,60.2,-,45.7,0 (0),las-vegas-raiders
DeAndre Carter,#03,WR,16.0,102,51.0,1.0,3.0,47.0,50.2,50.4,65.7,66.1,38.7,0 (0),las-vegas-raiders
Ameer Abdullah,#22,HB,17.0,215,150.0,48.0,15.0,2.0,55.5,61.8,17.7,69.2,60.0,0 (0),las-vegas-raiders
Austin Hooper,#81,TE,17.0,556,281.0,50.0,0.0,225.0,58.2,58.4,81.5,-,50.6,1 (0),las-vegas-raiders
Jermaine Eluemunor,#72,T,17.0,905,0.0,552.0,0.0,353.0,68.7,-,64.7,-,71.5,5 (1),las-vegas-raiders
Kolton Miller,#74,T,13.0,705,0.0,428.0,0.0,277.0,80.2,-,79.3,-,73.3,1 (0),las-vegas-raiders
Brandon Parker,#75,T,3.0,14,0.0,4.0,0.0,10.0,57.4,-,58.0,-,57.3,0 (0),las-vegas-raiders
Jakobi Meyers,#16,WR,16.0,902,559.0,2.0,3.0,338.0,69.9,71.8,71.8,70.0,36.7,6 (0),las-vegas-raiders
Hunter Renfrow,#13,WR,17.0,363,271.0,0.0,0.0,92.0,48.6,50.4,-,-,31.3,0 (0),las-vegas-raiders
Andre James,#68,C,16.0,963,0.0,583.0,0.0,380.0,74.6,-,71.2,-,75.0,3 (0),las-vegas-raiders
Zach Gentry,#88,TE,1.0,18,4.0,0.0,0.0,14.0,57.0,54.4,-,-,60.5,0 (0),las-vegas-raiders
Jesper Horsted,#80,TE,3.0,8,6.0,1.0,0.0,1.0,56.3,56.0,67.4,-,59.7,0 (0),las-vegas-raiders
Josh Jacobs,#08,HB,13.0,600,248.0,81.0,238.0,33.0,65.0,51.0,50.9,70.1,55.3,2 (0),las-vegas-raiders
Jakob Johnson,#45,FB,13.0,186,45.0,22.0,0.0,119.0,46.1,47.7,83.1,-,49.9,3 (0),las-vegas-raiders
Justin Herron,#71,T,5.0,17,0.0,8.0,0.0,9.0,65.1,-,68.7,-,61.6,0 (0),las-vegas-raiders
Kristian Wilkerson,#83,WR,2.0,42,28.0,0.0,0.0,14.0,49.5,50.0,-,-,55.6,0 (0),las-vegas-raiders
Netane Muti,#54,G,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0),las-vegas-raiders
Jordan Meredith,#61,G,8.0,93,0.0,56.0,0.0,37.0,60.5,-,56.7,-,60.1,0 (0),las-vegas-raiders
Dylan Parham,#66,G,17.0,"1,042",0.0,633.0,0.0,409.0,60.4,-,61.8,-,57.6,5 (0),las-vegas-raiders
Cole Fotheringham,#85,TE,2.0,21,6.0,2.0,0.0,13.0,55.5,74.7,12.9,-,47.9,0 (0),las-vegas-raiders
Zamir White,#35,HB,15.0,229,93.0,18.0,104.0,14.0,71.7,69.7,46.4,70.6,59.8,0 (0),las-vegas-raiders
Tre Tucker,#11,WR,16.0,334,236.0,0.0,10.0,88.0,65.2,64.3,-,67.8,59.7,1 (0),las-vegas-raiders
Aidan O'Connell,#04,QB,11.0,640,383.0,1.0,17.0,239.0,65.9,64.6,61.2,61.6,60.3,2 (0),las-vegas-raiders
Michael Mayer,#87,TE,14.0,602,282.0,60.0,0.0,260.0,58.3,66.1,51.9,-,47.6,4 (1),las-vegas-raiders
