player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Justin Herbert,2023,5,262.5,52.5,193.738375,0.234,298.231762,59.646352,220.110236,00-0036355,2023,LAC,QB,QB,10.0,1998-03-10,LAC,6.0,26.0
Easton Stick,2023,1,1.8,1.8,1.1525,0.008,2.045018,2.045018,1.309379,00-0035282,2023,LAC,QB,QB,2.0,1995-09-15,LAC,166.0,28.0
Will Grier,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0035251,2023,LAC,QB,QB,4.0,1995-04-03,CAR,100.0,29.0
Max Duggan,2023,4,3.92622,0.981555,0.08622,0.004,4.460661,1.115165,0.097956,00-0038637,2023,LAC,QB,QB,8.0,2001-03-12,LAC,239.0,23.0
Austin Ekeler,2020,4,24.5,6.125,15.0,0.031,31.570636,7.892659,19.328961,00-0033699,2023,LAC,RB,RB,30.0,1995-05-17,,,28.0
Isaiah Spiller,2022,4,4.396952,1.099238,0.736952,0.005,5.393763,1.348441,0.904023,00-0038045,2023,LAC,RB,RB,28.0,2001-08-09,LAC,123.0,22.0
Joshua Kelley,2020,4,4.075344,1.018836,0.780344,0.005,5.251478,1.312869,1.005549,00-0036370,2023,LAC,RB,RB,25.0,1997-11-20,LAC,112.0,26.0
Zander Horvath,2023,1,0.216,0.216,0.0,0.001,0.245402,0.245402,0.0,00-0037331,2023,LAC,RB,RB,46.0,1998-12-10,LAC,260.0,25.0
Aaron Shampklin,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037609,2023,LAC,RB,RB,23.0,,,,
Elijah Dotson,2023,3,2.702,0.900667,0.007,0.004,3.069799,1.023267,0.007953,00-0038862,2023,LAC,RB,RB,42.0,1999-01-19,,,25.0
Tyler Hoosman,2023,3,2.698,0.899333,0.003,0.004,3.065254,1.021751,0.003408,00-0038867,2023,LAC,RB,RB,44.0,,,,
Keenan Allen,2020,4,80.1,20.025,50.0,0.101,103.21665,25.804162,64.429869,00-0030279,2023,LAC,WR,WR,13.0,1992-04-27,SD,76.0,31.0
Mike Williams,2022,3,60.0,20.0,40.0,0.096,73.602305,24.534102,49.068204,00-0033536,2023,LAC,WR,WR,81.0,1994-10-04,LAC,7.0,29.0
Quentin Johnston,2023,4,14.188786,3.547197,14.188786,0.016,16.120178,4.030045,16.120178,00-0038544,2023,LAC,WR,WR,1.0,2001-09-06,LAC,21.0,22.0
